Date,Volume
2015-03-01,46
2015-03-02,33
2015-03-03,34
2015-03-04,33
2015-03-05,33
2015-03-06,37
2015-03-07,45
2015-03-08,45
2015-03-09,34
2015-03-10,33
2015-03-11,32
2015-03-12,36
2015-03-13,35
2015-03-14,40
2015-03-15,45
2015-03-16,35
2015-03-17,32
2015-03-18,33
2015-03-19,36
2015-03-20,33
2015-03-21,45
2015-03-22,46
2015-03-23,43
2015-03-24,40
2015-03-25,44
2015-03-26,34
2015-03-27,41
2015-03-28,51
2015-03-29,47
2015-03-30,42
2015-03-31,39
2015-04-01,36
2015-04-02,40
2015-04-03,39
2015-04-04,49
2015-04-05,47
2015-04-06,34
2015-04-07,31
2015-04-08,33
2015-04-09,32
2015-04-10,38
2015-04-11,47
2015-04-12,51
2015-04-13,34
2015-04-14,42
2015-04-15,41
2015-04-16,40
2015-04-17,39
2015-04-18,46
2015-04-19,43
2015-04-20,33
2015-04-21,35
2015-04-22,32
2015-04-23,30
2015-04-24,32
2015-04-25,37
2015-04-26,44
2015-04-27,33
2015-04-28,32
2015-04-29,33
2015-04-30,35
2015-05-01,40
2015-05-02,43
2015-05-03,44
2015-05-04,38
2015-05-05,37
2015-05-06,35
2015-05-07,33
2015-05-08,37
2015-05-09,44
2015-05-10,43
2015-05-11,31
2015-05-12,31
2015-05-13,33
2015-05-14,30
2015-05-15,33
2015-05-16,46
2015-05-17,43
2015-05-18,29
2015-05-19,28
2015-05-20,27
2015-05-21,30
2015-05-22,34
2015-05-23,33
2015-05-24,40
2015-05-25,33
2015-05-26,31
2015-05-27,31
2015-05-28,32
2015-05-29,36
2015-05-30,42
2015-05-31,43
2015-06-01,35
2015-06-02,36
2015-06-03,33
2015-06-04,36
2015-06-05,38
2015-06-06,58
2015-06-07,42
2015-06-08,35
2015-06-09,33
2015-06-10,29
2015-06-11,30
2015-06-12,34
2015-06-13,40
2015-06-14,40
2015-06-15,32
2015-06-16,31
2015-06-17,30
2015-06-18,30
2015-06-19,30
2015-06-20,33
2015-06-21,39
2015-06-22,31
2015-06-23,31
2015-06-24,36
2015-06-25,31
2015-06-26,33
2015-06-27,39
2015-06-28,38
2015-06-29,32
2015-06-30,31
2015-07-01,30
2015-07-02,31
2015-07-03,33
2015-07-04,40
2015-07-05,36
2015-07-06,30
2015-07-07,29
2015-07-08,32
2015-07-09,33
2015-07-10,37
2015-07-11,37
2015-07-12,41
2015-07-13,31
2015-07-14,36
2015-07-15,37
2015-07-16,41
2015-07-17,38
2015-07-18,45
2015-07-19,47
2015-07-20,36
2015-07-21,37
2015-07-22,52
2015-07-23,57
2015-07-24,59
2015-07-25,56
2015-07-26,40
2015-07-27,30
2015-07-28,32
2015-07-29,30
2015-07-30,32
2015-07-31,33
2015-08-01,37
2015-08-02,40
2015-08-03,35
2015-08-04,34
2015-08-05,33
2015-08-06,38
2015-08-07,37
2015-08-08,43
2015-08-09,39
2015-08-10,30
2015-08-11,31
2015-08-12,30
2015-08-13,29
2015-08-14,34
2015-08-15,42
2015-08-16,37
2015-08-17,29
2015-08-18,28
2015-08-19,29
2015-08-20,29
2015-08-21,29
2015-08-22,32
2015-08-23,34
2015-08-24,23
2015-08-25,23
2015-08-26,26
2015-08-27,25
2015-08-28,28
2015-08-30,35
2015-08-31,30
2015-09-01,27
2015-09-02,25
2015-09-03,27
2015-09-04,28
2015-09-05,31
2015-09-06,31
2015-09-07,24
2015-09-08,23
2015-09-09,21
2015-09-10,26
2015-09-11,24
2015-09-12,31
2015-09-13,31
2015-09-14,20
2015-09-15,22
2015-09-16,23
2015-09-17,22
2015-09-18,23
2015-09-19,26
2015-09-20,32
2015-09-21,23
2015-09-22,24
2015-09-23,20
2015-09-24,21
2015-09-25,21
2015-09-26,26
2015-09-27,29
2015-09-28,21
2015-09-29,22
2015-09-30,21
2015-10-01,24
2015-10-02,25
2015-10-03,30
2015-10-04,30
2015-10-05,28
2015-10-06,28
2015-10-07,24
2015-10-08,26
2015-10-09,24
2015-10-10,35
2015-10-11,29
2015-10-12,25
2015-10-13,22
2015-10-14,22
2015-10-15,22
2015-10-16,24
2015-10-17,29
2015-10-18,30
2015-10-19,22
2015-10-20,22
2015-10-21,28
2015-10-22,26
2015-10-23,25
2015-10-24,26
2015-10-25,29
2015-10-26,24
2015-10-27,27
2015-10-28,24
2015-10-29,27
2015-10-30,25
2015-10-31,29
2015-11-01,30
2015-11-02,26
2015-11-03,26
2015-11-04,25
2015-11-05,26
2015-11-06,26
2015-11-07,33
2015-11-08,40
2015-11-09,31
2015-11-10,35
2015-11-11,68
2015-11-12,46
2015-11-13,46
2015-11-14,48
2015-11-15,36
2015-11-16,26
2015-11-17,24
2015-11-18,27
2015-11-19,31
2015-11-20,31
2015-11-21,49
2015-11-22,37
2015-11-23,26
2015-11-24,22
2015-11-25,22
2015-11-26,22
2015-11-27,21
2015-11-28,28
2015-11-29,95
2015-11-30,105
2015-12-01,158
2015-12-02,380
2015-12-03,527
2015-12-04,327
2015-12-05,295
2015-12-06,61
2015-12-07,44
2015-12-08,40
2015-12-09,40
2015-12-10,37
2015-12-11,37
2015-12-12,41
2015-12-13,48
2015-12-14,40
2015-12-15,37
2015-12-16,36
2015-12-17,34
2015-12-18,42
2015-12-19,46
2015-12-20,44
2015-12-21,37
2015-12-22,39
2015-12-23,36
2015-12-24,42
2015-12-25,42
2015-12-26,37
2015-12-27,43
2015-12-28,37
2015-12-29,41
2015-12-30,44
2015-12-31,44
2016-01-01,43
2016-01-02,43
2016-01-03,35
2016-01-04,28
2016-01-05,31
2016-01-06,30
2016-01-07,28
2016-01-08,35
2016-01-09,36
2016-01-10,33
2016-01-11,26
2016-01-12,23
2016-01-13,26
2016-01-14,25
2016-01-15,25
2016-01-16,33
2016-01-17,34
2016-01-18,25
2016-01-19,22
2016-01-20,22
2016-01-21,24
2016-01-22,25
2016-01-23,31
2016-01-24,33
2016-01-25,26
2016-01-26,26
2016-01-27,26
2016-01-28,25
2016-01-29,26
2016-01-30,33
2016-01-31,33
2016-02-01,23
2016-02-02,25
2016-02-03,25
2016-02-04,25
2016-02-05,25
2016-02-06,33
2016-02-07,33
2016-02-08,28
2016-02-09,28
2016-02-10,26
2016-02-11,28
2016-02-12,26
2016-02-13,36
2016-02-14,30
2016-02-15,24
2016-02-16,22
2016-02-17,22
2016-02-18,21
2016-02-19,27
2016-02-20,31
2016-02-21,34
2016-02-22,26
2016-02-23,25
2016-02-24,26
2016-02-25,30
2016-02-27,28
2016-02-28,31
2016-02-29,22
2016-03-01,22
2016-03-02,22
2016-03-03,28
2016-03-04,26
2016-03-05,26
2016-03-06,30
2016-03-07,23
2016-03-08,20
2016-03-09,25
2016-03-10,25
2016-03-11,23
2016-03-12,32
2016-03-13,29
2016-03-14,17
2016-03-15,17
2016-03-16,19
2016-03-17,21
2016-03-18,21
2016-03-19,25
2016-03-20,31
2016-03-21,25
2016-03-22,31
2016-03-23,36
2016-03-24,36
2016-03-25,31
2016-03-26,36
2016-03-27,30
2016-03-28,25
2016-03-29,25
2016-03-30,23
2016-03-31,23
2016-04-01,25
2016-04-02,32
2016-04-03,100
2016-04-04,64
2016-04-05,714
2016-04-06,457
2016-04-07,221
2016-04-08,157
2016-04-09,157
2016-04-10,39
2016-04-11,29
2016-04-12,27
2016-04-13,22
2016-04-14,24
2016-04-15,22
2016-04-16,29
2016-04-17,34
2016-04-18,24
2016-04-19,29
2016-04-20,26
2016-04-21,31
2016-04-22,29
2016-04-23,34
2016-04-24,30
2016-04-25,25
2016-04-26,23
2016-04-27,23
2016-04-28,23
2016-04-29,27
2016-04-30,30
2016-05-01,32
2016-05-02,25
2016-05-03,27
2016-05-04,25
2016-05-05,29
2016-05-06,29
2016-05-07,27
2016-05-08,29
2016-05-09,24
2016-05-10,22
2016-05-11,22
2016-05-12,22
2016-05-13,26
2016-05-14,29
2016-05-15,32
2016-05-16,29
2016-05-17,29
2016-05-18,27
2016-05-19,27
2016-05-20,24
2016-05-21,32
2016-05-22,28
2016-05-23,21
2016-05-24,18
2016-05-25,25
2016-05-26,28
2016-05-27,23
2016-05-28,28
2016-05-29,31
2016-05-30,31
2016-05-31,31
2016-06-01,31
2016-06-02,31
2016-06-03,28
2016-06-04,39
2016-06-05,28
2016-06-06,18
2016-06-07,20
2016-06-08,20
2016-06-09,20
2016-06-10,20
2016-06-11,24
2016-06-12,29
2016-06-13,26
2016-06-14,24
2016-06-15,24
2016-06-16,21
2016-06-17,24
2016-06-18,29
2016-06-19,28
2016-06-20,21
2016-06-21,19
2016-06-22,21
2016-06-23,21
2016-06-24,23
2016-06-25,25
2016-06-26,28
2016-06-27,22
2016-06-28,25
2016-06-29,30
2016-06-30,28
2016-07-01,30
2016-07-02,33
2016-07-03,27
2016-07-04,20
2016-07-05,20
2016-07-06,20
2016-07-07,20
2016-07-08,24
2016-07-09,24
2016-07-10,26
2016-07-11,23
2016-07-12,23
2016-07-13,26
2016-07-14,23
2016-07-15,23
