Date,Volume
2015-10-18,2
2015-10-19,1
2015-10-20,0
2015-10-21,1
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,2
2015-10-26,0
2015-10-27,0
2015-10-28,1
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-08,2
2015-11-09,0
2015-11-10,0
2015-11-11,1
2015-11-12,0
2015-11-13,0
2015-11-14,2
2015-12-27,2
2015-12-28,1
2015-12-29,0
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-24,2
2016-01-25,0
2016-01-26,1
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-03-13,2
2016-03-14,0
2016-03-15,1
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-04-24,2
2016-04-25,1
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,1
2016-04-30,0
2016-05-22,2
2016-05-23,0
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-06-12,4
2016-06-13,3
2016-06-14,10
2016-06-15,3
2016-06-16,3
2016-06-17,0
2016-06-18,0
2016-06-19,3
2016-06-20,2
2016-06-21,2
2016-06-22,2
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,2
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,1
2016-07-01,0
2016-07-02,0
2016-10-16,2
2016-10-17,1
2016-10-18,1
2016-10-19,1
2016-10-20,0
2016-10-21,0
2016-10-22,0
2016-11-06,6
2016-11-07,5
2016-11-08,5
2016-11-09,5
2016-11-10,8
2016-11-11,6
2016-11-12,0
2016-11-13,7
2016-11-14,13
2016-11-15,10
2016-11-16,10
2016-11-17,6
2016-11-18,0
2016-11-19,7
2016-11-20,88
2016-11-21,125
2016-11-22,264
2016-11-23,1018
2016-11-24,766
2016-11-25,1093
2016-11-26,414
2016-11-27,100
2016-11-28,1057
2016-11-29,814
2016-11-30,728
2016-12-01,971
2016-12-02,1014
2016-12-03,200
2016-12-04,84
2016-12-05,243
2016-12-06,193
2016-12-07,172
2016-12-08,369
2016-12-09,243
2016-12-10,172
2016-12-11,74
2016-12-12,176
2016-12-13,172
2016-12-14,186
2016-12-15,112
2016-12-16,155
2016-12-17,95
2016-12-18,66
2016-12-19,207
2016-12-20,193
2016-12-21,216
2016-12-22,254
2016-12-23,339
2016-12-24,99
2016-12-25,63
2016-12-26,191
2016-12-27,100
2016-12-28,157
2016-12-29,94
2016-12-30,85
2016-12-31,42
2017-01-01,47
2017-01-02,82
2017-01-03,105
2017-01-04,102
2017-01-05,99
2017-01-06,141
2017-01-07,47
2017-01-08,69
2017-01-09,155
2017-01-10,163
2017-01-11,155
2017-01-12,176
2017-01-13,284
2017-01-14,69
2017-01-15,54
2017-01-16,192
2017-01-17,146
2017-01-18,185
2017-01-19,162
2017-01-20,173
2017-01-21,92
2017-01-22,49
2017-01-23,105
2017-01-24,128
2017-01-25,173
2017-01-26,188
2017-01-27,86
2017-01-28,45
2017-01-29,73
2017-01-30,219
2017-01-31,378
2017-02-01,424
2017-02-02,331
2017-02-03,371
2017-02-04,192
2017-02-05,66
2017-02-06,140
2017-02-07,159
2017-02-08,129
2017-02-09,165
2017-02-10,112
2017-02-11,55
2017-02-12,68
2017-02-13,166
2017-02-14,302
2017-02-15,618
2017-02-16,191
2017-02-17,129
2017-02-18,111
2017-02-19,14
2017-02-20,7
2017-02-21,13
2017-02-23,0
2017-02-24,35
2017-02-25,59
2017-02-26,7
2017-02-27,6
2017-02-28,6
2017-03-01,15
2017-03-02,6
2017-03-03,9
2017-03-04,7
2017-03-05,5
2017-03-06,4
2017-03-07,0
2017-03-08,8
2017-03-09,0
2017-03-10,4
2017-03-11,10
2017-03-12,4
2017-03-13,5
2017-03-14,3
2017-03-15,3
2017-03-16,0
2017-03-17,3
2017-03-18,0
2017-03-26,3
2017-03-27,2
2017-03-28,0
2017-03-29,2
2017-03-30,0
2017-03-31,0
