Date,Volume
2015-03-01,95
2015-03-02,96
2015-03-03,95
2015-03-04,96
2015-03-05,92
2015-03-06,90
2015-03-07,89
2015-03-08,93
2015-03-09,95
2015-03-10,95
2015-03-11,94
2015-03-12,95
2015-03-13,89
2015-03-14,88
2015-03-15,92
2015-03-16,94
2015-03-17,95
2015-03-18,94
2015-03-19,93
2015-03-20,88
2015-03-21,87
2015-03-22,91
2015-03-23,94
2015-03-24,95
2015-03-25,86
2015-03-26,88
2015-03-27,89
2015-03-28,87
2015-03-29,96
2015-03-30,99
2015-03-31,99
2015-04-01,98
2015-04-02,101
2015-04-03,104
2015-04-04,103
2015-04-05,98
2015-04-06,101
2015-04-07,98
2015-04-08,98
2015-04-09,94
2015-04-10,95
2015-04-11,93
2015-04-12,97
2015-04-13,98
2015-04-14,99
2015-04-15,97
2015-04-16,95
2015-04-17,92
2015-04-18,89
2015-04-19,95
2015-04-20,96
2015-04-21,97
2015-04-22,93
2015-04-23,94
2015-04-24,92
2015-04-25,89
2015-04-26,95
2015-04-27,98
2015-04-28,97
2015-04-29,95
2015-04-30,97
2015-05-01,97
2015-05-02,90
2015-05-03,94
2015-05-04,97
2015-05-05,97
2015-05-06,96
2015-05-07,94
2015-05-08,91
2015-05-09,88
2015-05-10,92
2015-05-11,96
2015-05-12,95
2015-05-13,94
2015-05-14,96
2015-05-15,93
2015-05-16,89
2015-05-17,91
2015-05-18,95
2015-05-19,95
2015-05-20,92
2015-05-21,91
2015-05-22,87
2015-05-23,86
2015-05-24,90
2015-05-25,86
2015-05-26,91
2015-05-27,92
2015-05-28,91
2015-05-29,90
2015-05-30,88
2015-05-31,92
2015-06-01,92
2015-06-02,92
2015-06-03,90
2015-06-04,93
2015-06-05,88
2015-06-06,87
2015-06-07,90
2015-06-08,91
2015-06-09,92
2015-06-10,91
2015-06-11,91
2015-06-12,87
2015-06-13,87
2015-06-14,90
2015-06-15,88
2015-06-16,88
2015-06-17,90
2015-06-18,87
2015-06-19,86
2015-06-20,86
2015-06-21,90
2015-06-22,91
2015-06-23,91
2015-06-24,92
2015-06-25,91
2015-06-26,87
2015-06-27,88
2015-06-28,89
2015-06-29,89
2015-06-30,89
2015-07-01,87
2015-07-02,87
2015-07-03,82
2015-07-04,85
2015-07-05,90
2015-07-06,93
2015-07-07,95
2015-07-08,94
2015-07-09,94
2015-07-10,91
2015-07-11,92
2015-07-12,90
2015-07-13,90
2015-07-14,88
2015-07-15,90
2015-07-16,87
2015-07-17,87
2015-07-18,90
2015-07-19,91
2015-07-20,93
2015-07-21,91
2015-07-22,92
2015-07-23,91
2015-07-24,89
2015-07-25,87
2015-07-26,91
2015-07-27,92
2015-07-28,92
2015-07-29,91
2015-07-30,89
2015-07-31,87
2015-08-01,88
2015-08-02,91
2015-08-03,91
2015-08-04,93
2015-08-05,94
2015-08-06,93
2015-08-07,91
2015-08-08,89
2015-08-09,90
2015-08-10,91
2015-08-11,93
2015-08-12,90
2015-08-13,91
2015-08-14,87
2015-08-15,88
2015-08-16,90
2015-08-17,91
2015-08-18,92
2015-08-19,93
2015-08-20,90
2015-08-21,88
2015-08-22,87
2015-08-23,92
2015-08-24,90
2015-08-25,93
2015-08-26,95
2015-08-27,92
2015-08-28,90
2015-08-30,94
2015-08-31,95
2015-09-01,94
2015-09-02,94
2015-09-03,94
2015-09-04,90
2015-09-05,89
2015-09-06,93
2015-09-07,91
2015-09-08,95
2015-09-09,94
2015-09-10,94
2015-09-11,93
2015-09-12,89
2015-09-13,94
2015-09-14,96
2015-09-15,98
2015-09-16,96
2015-09-17,95
2015-09-18,94
2015-09-19,91
2015-09-20,93
2015-09-21,96
2015-09-22,96
2015-09-23,95
2015-09-24,94
2015-09-25,91
2015-09-26,87
2015-09-27,93
2015-09-28,95
2015-09-29,96
2015-09-30,97
2015-10-01,93
2015-10-02,91
2015-10-03,88
2015-10-04,93
2015-10-05,96
2015-10-06,96
2015-10-07,98
2015-10-08,95
2015-10-09,93
2015-10-10,88
2015-10-11,94
2015-10-12,97
2015-10-13,98
2015-10-14,95
2015-10-15,96
2015-10-16,91
2015-10-17,89
2015-10-18,93
2015-10-19,97
2015-10-20,97
2015-10-21,97
2015-10-22,95
2015-10-23,95
2015-10-24,90
2015-10-25,93
2015-10-26,96
2015-10-27,99
2015-10-28,97
2015-10-29,94
2015-10-30,91
2015-10-31,86
2015-11-01,94
2015-11-02,100
2015-11-03,100
2015-11-04,99
2015-11-05,102
2015-11-06,97
2015-11-07,91
2015-11-08,93
2015-11-09,96
2015-11-10,98
2015-11-11,94
2015-11-12,95
2015-11-13,91
2015-11-14,86
2015-11-15,94
2015-11-16,97
2015-11-17,98
2015-11-18,99
2015-11-19,99
2015-11-20,95
2015-11-21,89
2015-11-22,91
2015-11-23,93
2015-11-24,91
2015-11-25,86
2015-11-26,83
2015-11-27,85
2015-11-28,87
2015-11-29,94
2015-11-30,96
2015-12-01,98
2015-12-02,95
2015-12-03,96
2015-12-04,94
2015-12-05,90
2015-12-06,96
2015-12-07,99
2015-12-08,101
2015-12-09,99
2015-12-10,98
2015-12-11,93
2015-12-12,90
2015-12-13,93
2015-12-14,97
2015-12-15,101
2015-12-16,97
2015-12-17,94
2015-12-18,93
2015-12-19,90
2015-12-20,89
2015-12-21,90
2015-12-22,92
2015-12-23,89
2015-12-24,89
2015-12-25,82
2015-12-26,89
2015-12-27,92
2015-12-28,90
2015-12-29,92
2015-12-30,93
2015-12-31,93
2016-01-01,93
2016-01-02,93
2016-01-03,95
2016-01-04,93
2016-01-05,97
2016-01-06,96
2016-01-07,97
2016-01-08,93
2016-01-09,91
2016-01-10,95
2016-01-11,97
2016-01-12,96
2016-01-13,95
2016-01-14,93
2016-01-15,93
2016-01-16,92
2016-01-17,96
2016-01-18,97
2016-01-19,101
2016-01-20,99
2016-01-21,99
2016-01-22,97
2016-01-23,97
2016-01-24,97
2016-01-25,99
2016-01-26,100
2016-01-27,100
2016-01-28,100
2016-01-29,97
2016-01-30,92
2016-01-31,98
2016-02-01,100
2016-02-02,99
2016-02-03,100
2016-02-04,102
2016-02-05,99
2016-02-06,96
2016-02-07,98
2016-02-08,102
2016-02-09,102
2016-02-10,101
