Date,Volume
2015-03-01,0
2015-03-02,0
2015-03-03,0
2015-03-04,0
2015-03-05,0
2015-03-06,0
2015-03-07,0
2015-03-08,0
2015-03-09,0
2015-03-10,0
2015-03-11,0
2015-03-12,0
2015-03-13,0
2015-03-14,0
2015-03-15,0
2015-03-16,0
2015-03-17,0
2015-03-18,0
2015-03-19,0
2015-03-20,0
2015-03-21,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-11-22,0
2015-11-23,0
2015-11-24,0
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,4
2016-01-25,4
2016-01-26,8
2016-01-27,108
2016-01-28,400
2016-01-29,224
2016-01-30,96
2016-01-31,2
2016-02-01,2
2016-02-02,2
2016-02-03,1
2016-02-04,1
2016-02-05,1
2016-02-06,1
2016-02-07,1
2016-02-08,1
2016-02-09,1
2016-02-10,1
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,1
2016-02-15,0
2016-02-16,0
2016-02-17,1
2016-02-18,1
2016-02-19,1
2016-02-20,0
2016-02-21,1
2016-02-22,1
2016-02-23,2
2016-02-24,1
2016-02-25,1
2016-02-27,0
2016-03-06,100
2016-03-07,200
2016-03-08,700
2016-03-09,8000
2016-03-10,9000
2016-03-11,4800
2016-03-12,8500
2016-03-13,86
2016-03-14,41
2016-03-15,65
2016-03-16,19
2016-03-17,10
2016-03-18,7
2016-03-19,6
2016-03-20,8
2016-03-21,6
2016-03-22,5
2016-03-23,4
2016-03-24,4
2016-03-25,4
2016-03-26,4
2016-03-27,5
2016-03-28,6
2016-03-29,3
2016-03-30,3
2016-03-31,3
2016-04-01,3
2016-04-02,1
2016-04-03,3
2016-04-04,3
2016-04-05,3
2016-04-06,3
2016-04-07,1
2016-04-08,1
2016-04-09,1
2016-04-10,3
2016-04-11,3
2016-04-12,3
2016-04-13,3
2016-04-14,3
2016-04-15,3
2016-04-16,3
2016-04-17,2
2016-04-18,2
2016-04-19,2
2016-04-20,2
2016-04-21,2
2016-04-22,2
2016-04-23,2
2016-04-24,2
2016-04-25,2
2016-04-26,2
2016-04-27,2
2016-04-28,2
2016-04-29,2
2016-04-30,2
2016-05-01,2
2016-05-02,2
2016-05-03,2
2016-05-04,2
2016-05-05,2
2016-05-06,2
2016-05-07,2
2016-05-08,2
2016-05-09,2
2016-05-10,2
2016-05-11,2
2016-05-12,2
2016-05-13,2
2016-05-14,2
2016-05-15,2
2016-05-16,2
2016-05-17,2
2016-05-18,2
2016-05-19,2
2016-05-20,2
2016-05-21,2
2016-05-22,2
2016-05-23,2
2016-05-24,2
2016-05-25,2
2016-05-26,0
2016-05-27,0
2016-05-28,2
2016-05-29,1
2016-05-30,1
2016-05-31,1
2016-06-01,1
2016-06-02,1
2016-06-03,1
2016-06-04,1
2016-06-05,2
2016-06-06,2
2016-06-07,2
2016-06-08,2
2016-06-09,2
2016-06-10,2
2016-06-11,2
2016-06-12,1
2016-06-13,1
2016-06-14,1
2016-06-15,1
2016-06-16,1
2016-06-17,1
2016-06-18,1
2016-06-19,1
2016-06-20,1
2016-06-21,1
2016-06-22,0
2016-06-23,1
2016-06-24,0
2016-06-25,0
2016-07-31,1
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-28,1
2016-08-29,1
2016-08-30,1
2016-08-31,2
2016-09-01,2
2016-09-02,2
2016-09-03,1
2016-09-04,1
2016-09-05,1
2016-09-06,0
2016-09-07,1
2016-09-08,1
2016-09-09,1
2016-09-10,0
2016-09-11,1
2016-09-12,1
2016-09-13,1
2016-09-14,1
2016-09-15,0
2016-09-16,1
2016-09-17,1
2016-09-18,1
2016-09-19,1
2016-09-20,1
2016-09-21,0
2016-09-22,0
2016-09-23,1
2016-09-24,0
2016-09-25,1
2016-09-26,2
2016-09-27,2
2016-09-28,2
2016-09-29,1
2016-09-30,1
2016-10-01,1
2016-10-02,1
2016-10-03,1
2016-10-04,1
2016-10-05,2
2016-10-06,1
2016-10-07,1
2016-10-08,0
2016-10-09,1
2016-10-10,1
2016-10-11,1
2016-10-12,1
2016-10-13,1
2016-10-14,1
2016-10-15,0
2016-10-16,1
2016-10-17,1
2016-10-18,0
2016-10-19,1
2016-10-20,1
2016-10-21,0
2016-10-22,0
2016-10-23,1
2016-10-24,1
2016-10-25,2
2016-10-26,1
2016-10-27,2
2016-10-28,1
2016-10-29,1
2016-10-30,1
2016-10-31,1
2016-11-01,1
2016-11-02,1
2016-11-03,0
2016-11-04,1
2016-11-05,1
2016-11-06,1
2016-11-07,2
2016-11-08,1
2016-11-09,0
2016-11-10,1
2016-11-11,1
2016-11-12,0
2016-11-13,1
2016-11-14,1
2016-11-15,2
2016-11-16,1
2016-11-17,1
2016-11-18,1
2016-11-19,2
2016-11-20,1
2016-11-21,1
2016-11-22,1
2016-11-23,1
2016-11-24,1
2016-11-25,0
2016-11-26,0
2016-11-27,1
2016-11-28,1
2016-11-29,1
2016-11-30,1
2016-12-01,1
2016-12-02,1
2016-12-03,1
2016-12-04,1
2016-12-05,2
2016-12-06,2
2016-12-07,1
2016-12-08,1
2016-12-09,1
2016-12-10,1
2016-12-11,1
2016-12-12,1
2016-12-13,0
2016-12-14,1
2016-12-15,1
2016-12-16,1
2016-12-17,1
2016-12-18,1
2016-12-19,1
2016-12-20,2
2016-12-21,1
2016-12-22,1
2016-12-23,2
2016-12-24,1
2016-12-25,1
2016-12-26,1
2016-12-27,1
2016-12-28,0
2016-12-29,1
2016-12-30,1
2016-12-31,0
2017-01-01,8
2017-01-02,7
2017-01-03,21
2017-01-04,88
2017-01-05,86
2017-01-06,44
2017-01-07,24
2017-01-08,2
2017-01-09,2
2017-01-10,1
2017-01-11,1
2017-01-12,1
2017-01-13,1
2017-01-14,0
2017-01-15,1
2017-01-16,1
2017-01-17,1
2017-01-18,1
2017-01-19,1
2017-01-20,1
2017-01-21,1
2017-01-22,1
2017-01-23,2
2017-01-24,1
2017-01-25,1
2017-01-26,1
2017-01-27,2
2017-01-28,1
2017-01-29,1
2017-01-30,1
2017-01-31,1
2017-02-01,1
2017-02-02,1
2017-02-03,2
2017-02-04,1
2017-02-05,1
2017-02-06,1
2017-02-07,1
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-11,0
2017-02-12,1
2017-02-13,1
2017-02-14,1
2017-02-15,1
2017-02-16,1
2017-02-17,1
2017-02-18,0
2017-02-19,1
2017-02-20,1
2017-02-21,1
2017-02-23,15
2017-02-24,16
2017-02-25,12
2017-02-26,1
2017-02-27,1
2017-02-28,1
2017-03-01,1
2017-03-02,0
2017-03-03,1
2017-03-04,0
2017-03-05,1
2017-03-06,0
2017-03-07,0
2017-03-08,1
2017-03-09,1
2017-03-10,0
2017-03-11,1
2017-03-12,1
2017-03-13,1
2017-03-14,1
2017-03-15,1
2017-03-16,1
2017-03-17,1
2017-03-18,0
2017-03-19,1
2017-03-20,1
2017-03-21,1
2017-03-22,1
2017-03-23,1
2017-03-24,1
2017-03-25,0
2017-03-26,1
2017-03-27,1
2017-03-28,0
2017-03-29,0
