Date,Volume
2015-03-01,11
2015-03-02,7
2015-03-03,7
2015-03-04,7
2015-03-05,7
2015-03-06,9
2015-03-07,11
2015-03-08,12
2015-03-09,7
2015-03-10,11
2015-03-11,8
2015-03-12,8
2015-03-13,9
2015-03-14,12
2015-03-15,12
2015-03-16,7
2015-03-17,8
2015-03-18,7
2015-03-19,8
2015-03-20,6
2015-03-21,9
2015-03-22,10
2015-03-23,8
2015-03-24,8
2015-03-25,8
2015-03-26,8
2015-03-27,9
2015-03-28,11
2015-03-29,11
2015-03-30,9
2015-03-31,8
2015-04-01,11
2015-04-02,11
2015-04-03,10
2015-04-04,11
2015-04-05,10
2015-04-06,10
2015-04-07,6
2015-04-08,6
2015-04-09,7
2015-04-10,9
2015-04-11,9
2015-04-12,10
2015-04-13,8
2015-04-14,7
2015-04-15,7
2015-04-16,7
2015-04-17,8
2015-04-18,11
2015-04-19,11
2015-04-20,5
2015-04-21,6
2015-04-22,6
2015-04-23,6
2015-04-24,8
2015-04-25,14
2015-04-26,13
2015-04-27,7
2015-04-28,7
2015-04-29,5
2015-04-30,6
2015-05-01,7
2015-05-02,10
2015-05-03,17
2015-05-04,17
2015-05-05,11
2015-05-06,12
2015-05-07,14
2015-05-08,12
2015-05-09,14
2015-05-10,15
2015-05-11,11
2015-05-12,12
2015-05-13,12
2015-05-14,14
2015-05-15,15
2015-05-16,15
2015-05-17,17
2015-05-18,15
2015-05-19,18
2015-05-20,14
2015-05-21,18
2015-05-22,14
2015-05-23,21
2015-05-24,27
2015-05-25,14
2015-05-26,12
2015-05-27,52
2015-05-28,48
2015-05-29,41
2015-05-30,32
2015-05-31,18
2015-06-01,11
2015-06-02,11
2015-06-03,10
2015-06-04,16
2015-06-05,14
2015-06-06,18
2015-06-07,16
2015-06-08,12
2015-06-09,12
2015-06-10,11
2015-06-11,11
2015-06-12,11
2015-06-13,12
2015-06-14,13
2015-06-15,9
2015-06-16,10
2015-06-17,11
2015-06-18,13
2015-06-19,12
2015-06-20,14
2015-06-21,14
2015-06-22,10
2015-06-23,14
2015-06-24,12
2015-06-25,13
2015-06-26,13
2015-06-27,13
2015-06-28,14
2015-06-29,9
2015-06-30,9
2015-07-01,9
2015-07-02,10
2015-07-03,11
2015-07-04,14
2015-07-05,12
2015-07-06,7
2015-07-07,6
2015-07-08,7
2015-07-09,7
2015-07-10,7
2015-07-11,9
2015-07-12,11
2015-07-13,7
2015-07-14,6
2015-07-15,7
2015-07-16,7
2015-07-17,9
2015-07-18,11
2015-07-19,11
2015-07-20,11
2015-07-21,9
2015-07-22,8
2015-07-23,8
2015-07-24,8
2015-07-25,9
2015-07-26,11
2015-07-27,7
2015-07-28,7
2015-07-29,7
2015-07-30,8
2015-07-31,7
2015-08-01,9
2015-08-02,10
2015-08-03,6
2015-08-04,7
2015-08-05,5
2015-08-06,5
2015-08-07,6
2015-08-08,8
2015-08-09,12
2015-08-10,8
2015-08-11,6
2015-08-12,8
2015-08-13,9
2015-08-14,8
2015-08-15,9
2015-08-16,13
2015-08-17,10
2015-08-18,10
2015-08-19,10
2015-08-20,9
2015-08-21,13
2015-08-22,14
2015-08-23,13
2015-08-24,8
2015-08-25,9
2015-08-26,8
2015-08-27,8
