Date,Volume
2015-03-01,57
2015-03-02,46
2015-03-03,41
2015-03-04,41
2015-03-05,39
2015-03-06,47
2015-03-07,55
2015-03-08,56
2015-03-09,42
2015-03-10,36
2015-03-11,41
2015-03-12,36
2015-03-13,41
2015-03-14,50
2015-03-15,57
2015-03-16,47
2015-03-17,45
2015-03-18,50
2015-03-19,50
2015-03-20,53
2015-03-21,67
2015-03-22,58
2015-03-23,42
2015-03-24,37
2015-03-25,47
2015-03-26,37
2015-03-27,42
2015-03-28,54
2015-03-29,56
2015-03-30,43
2015-03-31,43
2015-04-01,43
2015-04-02,43
2015-04-03,56
2015-04-04,57
2015-04-05,55
2015-04-06,48
2015-04-07,43
2015-04-08,42
2015-04-09,40
2015-04-10,46
2015-04-11,60
2015-04-12,55
2015-04-13,44
2015-04-14,41
2015-04-15,44
2015-04-16,44
2015-04-17,53
2015-04-18,75
2015-04-19,58
2015-04-20,41
2015-04-21,40
2015-04-22,39
2015-04-23,37
2015-04-24,35
2015-04-25,50
2015-04-26,52
2015-04-27,37
2015-04-28,38
2015-04-29,42
2015-04-30,45
2015-05-01,45
2015-05-02,50
2015-05-03,51
2015-05-04,43
2015-05-05,38
2015-05-06,40
2015-05-07,40
2015-05-08,42
2015-05-09,52
2015-05-10,50
2015-05-11,38
2015-05-12,41
2015-05-13,36
2015-05-14,42
2015-05-15,41
2015-05-16,55
2015-05-17,54
2015-05-18,40
2015-05-19,42
2015-05-20,44
2015-05-21,45
2015-05-22,65
2015-05-23,73
2015-05-24,51
2015-05-25,33
2015-05-26,32
2015-05-27,35
2015-05-28,34
2015-05-29,38
2015-05-30,46
2015-05-31,52
2015-06-01,38
2015-06-02,38
2015-06-03,38
2015-06-04,38
2015-06-05,31
2015-06-06,45
2015-06-07,48
2015-06-08,33
2015-06-09,37
2015-06-10,34
2015-06-11,37
2015-06-12,37
2015-06-13,45
2015-06-14,47
2015-06-15,33
2015-06-16,34
2015-06-17,38
2015-06-18,34
2015-06-19,40
2015-06-20,48
2015-06-21,52
2015-06-22,37
2015-06-23,37
2015-06-24,38
2015-06-25,39
2015-06-26,42
2015-06-27,50
2015-06-28,56
2015-06-29,42
2015-06-30,44
2015-07-01,43
2015-07-02,42
2015-07-03,52
2015-07-04,62
2015-07-05,53
2015-07-06,46
2015-07-07,43
2015-07-08,43
2015-07-09,42
2015-07-10,47
2015-07-11,54
2015-07-12,98
2015-07-13,86
2015-07-14,93
2015-07-15,167
2015-07-16,239
2015-07-17,196
2015-07-18,222
2015-07-19,100
2015-07-20,78
2015-07-21,76
2015-07-22,74
2015-07-23,76
2015-07-24,77
2015-07-25,95
2015-07-26,89
2015-07-27,60
2015-07-28,59
2015-07-29,62
2015-07-30,66
2015-07-31,75
2015-08-01,80
2015-08-02,83
2015-08-03,55
2015-08-04,64
2015-08-05,57
2015-08-06,55
2015-08-07,68
2015-08-08,73
2015-08-09,79
2015-08-10,58
2015-08-11,61
2015-08-12,65
2015-08-13,65
2015-08-14,62
2015-08-15,79
2015-08-16,70
2015-08-17,52
2015-08-18,51
2015-08-19,43
2015-08-20,45
2015-08-21,47
2015-08-22,63
2015-08-23,66
2015-08-24,42
2015-08-25,42
2015-08-26,47
2015-08-27,44
2015-08-28,51
2015-08-30,66
2015-08-31,47
2015-09-01,40
2015-09-02,42
2015-09-03,41
2015-09-04,45
2015-09-05,58
2015-09-06,57
2015-09-07,38
2015-09-08,34
2015-09-09,35
2015-09-10,34
2015-09-11,40
2015-09-12,53
2015-09-13,53
2015-09-14,37
2015-09-15,39
2015-09-16,38
2015-09-17,39
2015-09-18,39
2015-09-19,47
2015-09-20,53
2015-09-21,42
2015-09-22,42
2015-09-23,37
2015-09-24,39
2015-09-25,45
2015-09-26,47
2015-09-27,52
2015-09-28,41
2015-09-29,47
2015-09-30,37
2015-10-01,38
2015-10-02,43
2015-10-03,54
2015-10-04,52
2015-10-05,36
2015-10-06,34
2015-10-07,34
2015-10-08,34
2015-10-09,37
2015-10-10,44
2015-10-11,49
2015-10-12,37
2015-10-13,36
2015-10-14,40
2015-10-15,36
2015-10-16,36
