Date,Volume
2015-03-01,62
2015-03-02,49
2015-03-03,46
2015-03-04,46
2015-03-05,45
2015-03-06,50
2015-03-07,61
2015-03-08,62
2015-03-09,49
2015-03-10,47
2015-03-11,48
2015-03-12,48
2015-03-13,51
2015-03-14,61
2015-03-15,61
2015-03-16,48
2015-03-17,46
2015-03-18,46
2015-03-19,47
2015-03-20,49
2015-03-21,61
2015-03-22,60
2015-03-23,49
2015-03-24,46
2015-03-25,42
2015-03-26,44
2015-03-27,46
2015-03-28,55
2015-03-29,59
2015-03-30,48
2015-03-31,47
2015-04-01,46
2015-04-02,47
2015-04-03,52
2015-04-04,55
2015-04-05,59
2015-04-06,56
2015-04-07,55
2015-04-08,54
2015-04-09,53
2015-04-10,55
2015-04-11,62
2015-04-12,59
2015-04-13,49
2015-04-14,46
2015-04-15,46
2015-04-16,47
2015-04-17,50
2015-04-18,57
2015-04-19,61
2015-04-20,50
2015-04-21,48
2015-04-22,47
2015-04-23,49
2015-04-24,49
2015-04-25,58
2015-04-26,59
2015-04-27,46
2015-04-28,44
2015-04-29,44
2015-04-30,45
2015-05-01,48
2015-05-02,52
2015-05-03,60
2015-05-04,51
2015-05-05,51
2015-05-06,51
2015-05-07,51
2015-05-08,54
2015-05-09,64
2015-05-10,59
2015-05-11,52
2015-05-12,51
2015-05-13,51
2015-05-14,51
2015-05-15,53
2015-05-16,60
2015-05-17,61
2015-05-18,50
2015-05-19,49
2015-05-20,49
2015-05-21,49
2015-05-22,51
2015-05-23,56
2015-05-24,62
2015-05-25,61
2015-05-26,50
2015-05-27,49
2015-05-28,50
2015-05-29,51
2015-05-30,62
2015-05-31,64
2015-06-01,50
2015-06-02,50
2015-06-03,50
2015-06-04,51
2015-06-05,52
2015-06-06,56
2015-06-07,61
2015-06-08,50
2015-06-09,49
2015-06-10,48
2015-06-11,49
2015-06-12,51
2015-06-13,58
2015-06-14,62
2015-06-15,53
2015-06-16,52
2015-06-17,51
2015-06-18,52
2015-06-19,56
2015-06-20,62
2015-06-21,64
2015-06-22,55
2015-06-23,56
2015-06-24,55
2015-06-25,57
2015-06-26,58
2015-06-27,70
2015-06-28,67
2015-06-29,54
2015-06-30,53
2015-07-01,50
2015-07-02,50
2015-07-03,53
2015-07-04,56
2015-07-05,67
2015-07-06,59
2015-07-07,58
2015-07-08,61
2015-07-09,63
2015-07-10,64
2015-07-11,70
2015-07-12,69
2015-07-13,55
2015-07-14,55
2015-07-15,57
2015-07-16,55
2015-07-17,56
2015-07-18,64
2015-07-19,67
2015-07-20,54
2015-07-21,53
2015-07-22,53
2015-07-23,51
2015-07-24,52
2015-07-25,58
2015-07-26,65
2015-07-27,54
2015-07-28,52
2015-07-29,50
2015-07-30,50
2015-07-31,52
2015-08-01,59
2015-08-02,66
2015-08-03,56
2015-08-04,56
2015-08-05,55
2015-08-06,54
2015-08-07,55
2015-08-08,63
2015-08-09,67
2015-08-10,55
2015-08-11,56
2015-08-12,55
2015-08-13,54
2015-08-14,59
2015-08-15,68
2015-08-16,67
2015-08-17,54
2015-08-18,51
2015-08-19,51
2015-08-20,50
2015-08-21,52
2015-08-22,58
2015-08-23,63
2015-08-24,50
2015-08-25,49
2015-08-26,48
2015-08-27,48
2015-08-28,50
2015-08-30,61
2015-08-31,46
2015-09-01,44
2015-09-02,44
2015-09-03,43
2015-09-04,47
2015-09-05,52
2015-09-06,61
2015-09-07,59
2015-09-08,49
2015-09-09,47
2015-09-10,47
2015-09-11,51
2015-09-12,57
2015-09-13,57
2015-09-14,45
2015-09-15,43
2015-09-16,42
2015-09-17,41
2015-09-18,45
2015-09-19,52
2015-09-20,56
2015-09-21,46
2015-09-22,44
2015-09-23,44
2015-09-24,44
2015-09-25,47
2015-09-26,55
2015-09-27,58
2015-09-28,44
2015-09-29,44
2015-09-30,44
2015-10-01,44
2015-10-02,47
2015-10-03,57
2015-10-04,56
2015-10-05,44
2015-10-06,43
2015-10-07,42
2015-10-08,42
2015-10-09,43
2015-10-10,53
2015-10-11,56
2015-10-12,49
2015-10-13,43
2015-10-14,42
2015-10-15,43
2015-10-16,44
2015-10-17,51
2015-10-18,54
2015-10-19,44
2015-10-20,41
2015-10-21,42
2015-10-22,41
2015-10-23,44
2015-10-24,51
2015-10-25,55
2015-10-26,46
2015-10-27,44
2015-10-28,45
2015-10-29,44
2015-10-30,45
2015-10-31,49
2015-11-01,60
2015-11-02,54
2015-11-03,51
2015-11-04,49
2015-11-05,49
2015-11-06,51
2015-11-07,59
2015-11-08,61
2015-11-09,51
2015-11-10,49
2015-11-11,52
2015-11-12,47
2015-11-13,49
2015-11-14,56
2015-11-15,65
2015-11-16,55
2015-11-17,53
2015-11-18,55
2015-11-19,56
2015-11-20,59
2015-11-21,72
2015-11-22,83
2015-11-23,73
2015-11-24,69
2015-11-25,69
2015-11-26,69
2015-11-27,110
2015-11-28,96
2015-11-29,84
2015-11-30,83
2015-12-01,72
2015-12-02,63
2015-12-03,61
2015-12-04,65
2015-12-05,78
2015-12-06,83
2015-12-07,70
2015-12-08,67
2015-12-09,65
2015-12-10,68
2015-12-11,68
2015-12-12,80
2015-12-13,95
2015-12-14,105
2015-12-15,105
2015-12-16,89
2015-12-17,88
2015-12-18,91
2015-12-19,107
2015-12-20,94
2015-12-21,86
2015-12-22,87
2015-12-23,91
2015-12-24,88
2015-12-25,49
2015-12-26,79
2015-12-27,78
2015-12-28,65
2015-12-29,62
2015-12-30,61
2015-12-31,62
2016-01-01,61
2016-01-02,64
2016-01-03,59
2016-01-04,45
2016-01-05,43
2016-01-06,42
2016-01-07,40
2016-01-08,41
2016-01-09,51
2016-01-10,54
2016-01-11,41
2016-01-12,38
2016-01-13,38
2016-01-14,38
2016-01-15,43
2016-01-16,50
2016-01-17,54
2016-01-18,46
2016-01-19,43
2016-01-20,42
2016-01-21,40
2016-01-22,40
2016-01-23,45
2016-01-24,52
2016-01-25,43
2016-01-26,41
2016-01-27,42
2016-01-28,41
2016-01-29,42
2016-01-30,51
2016-01-31,53
2016-02-01,41
2016-02-02,38
2016-02-03,38
2016-02-04,39
2016-02-05,40
2016-02-06,49
2016-02-07,52
2016-02-08,44
2016-02-09,43
2016-02-10,42
2016-02-11,43
2016-02-12,43
2016-02-13,51
2016-02-14,52
2016-02-15,45
2016-02-16,42
2016-02-17,41
2016-02-18,39
2016-02-19,40
2016-02-20,49
2016-02-21,53
2016-02-22,42
2016-02-23,39
2016-02-24,39
2016-02-25,40
2016-02-27,35
2016-02-28,53
2016-02-29,42
2016-03-01,42
2016-03-02,41
2016-03-03,42
2016-03-04,43
2016-03-05,51
2016-03-06,55
2016-03-07,44
2016-03-08,41
2016-03-09,42
2016-03-10,45
2016-03-11,45
2016-03-12,55
2016-03-13,57
2016-03-14,46
2016-03-15,43
2016-03-16,43
2016-03-17,49
2016-03-18,46
2016-03-19,55
2016-03-20,55
2016-03-21,43
2016-03-22,40
2016-03-23,40
2016-03-24,43
2016-03-25,43
2016-03-26,47
2016-03-27,53
2016-03-28,47
2016-03-29,47
2016-03-30,44
2016-03-31,47
2016-04-01,47
2016-04-02,55
2016-04-03,54
2016-04-04,41
2016-04-05,41
2016-04-06,42
2016-04-07,42
2016-04-08,43
2016-04-09,50
2016-04-10,53
2016-04-11,41
2016-04-12,40
2016-04-13,40
2016-04-14,39
2016-04-15,40
2016-04-16,47
2016-04-17,54
2016-04-18,45
2016-04-19,44
2016-04-20,45
2016-04-21,45
2016-04-22,45
2016-04-23,54
2016-04-24,54
2016-04-25,44
2016-04-26,40
2016-04-27,42
2016-04-28,43
2016-04-29,43
2016-04-30,51
2016-05-01,57
2016-05-02,46
2016-05-03,45
2016-05-04,45
2016-05-05,45
2016-05-06,45
2016-05-07,51
2016-05-08,54
2016-05-09,46
2016-05-10,45
2016-05-11,45
2016-05-12,48
2016-05-13,46
2016-05-14,55
2016-05-15,59
2016-05-16,43
2016-05-17,40
2016-05-18,40
2016-05-19,39
2016-05-20,41
2016-05-21,57
2016-05-22,58
2016-05-23,47
2016-05-24,44
2016-05-25,44
2016-05-26,46
2016-05-27,44
2016-05-28,47
2016-05-29,56
2016-05-30,54
2016-05-31,47
2016-06-01,47
2016-06-02,48
2016-06-03,48
2016-06-04,54
2016-06-05,54
2016-06-06,43
2016-06-07,43
2016-06-08,42
2016-06-09,42
2016-06-10,43
2016-06-11,51
2016-06-12,54
2016-06-13,46
2016-06-14,48
2016-06-15,46
2016-06-16,46
2016-06-17,49
2016-06-18,54
2016-06-19,55
2016-06-20,49
2016-06-21,45
2016-06-22,45
2016-06-23,45
2016-06-24,44
2016-06-25,50
2016-06-26,58
2016-06-27,49
2016-06-28,50
2016-06-29,49
2016-06-30,49
2016-07-01,50
2016-07-02,59
2016-07-03,63
2016-07-04,55
2016-07-05,52
2016-07-06,54
2016-07-07,55
2016-07-08,58
2016-07-09,70
2016-07-10,68
2016-07-11,55
2016-07-12,56
2016-07-13,56
2016-07-14,54
2016-07-15,58
2016-07-16,72
2016-07-17,99
2016-07-18,82
2016-07-19,88
2016-07-20,97
2016-07-21,111
2016-07-22,140
2016-07-23,178
2016-07-24,100
2016-07-25,73
2016-07-26,59
2016-07-27,55
2016-07-28,53
2016-07-29,54
2016-07-30,65
2016-07-31,79
2016-08-01,59
2016-08-02,55
2016-08-03,53
2016-08-04,51
2016-08-05,53
2016-08-06,63
2016-08-07,70
2016-08-08,53
2016-08-09,52
2016-08-10,50
2016-08-11,50
2016-08-12,51
2016-08-13,67
2016-08-14,70
2016-08-15,56
2016-08-16,55
2016-08-17,54
2016-08-18,51
2016-08-19,54
2016-08-20,66
2016-08-21,66
2016-08-22,53
2016-08-23,50
2016-08-24,50
2016-08-26,75
2016-08-27,90
2016-08-28,61
2016-08-29,45
2016-08-30,42
2016-08-31,42
2016-09-01,40
2016-09-02,45
2016-09-03,55
2016-09-04,59
2016-09-05,55
2016-09-06,45
2016-09-07,41
2016-09-08,43
2016-09-09,44
2016-09-10,53
2016-09-11,56
2016-09-12,45
2016-09-13,41
2016-09-14,41
2016-09-15,40
2016-09-16,44
2016-09-17,52
2016-09-18,52
2016-09-19,41
2016-09-20,38
2016-09-21,39
2016-09-22,39
2016-09-23,40
2016-09-24,49
2016-09-25,57
2016-09-26,45
2016-09-27,45
2016-09-28,44
2016-09-29,50
2016-09-30,53
2016-10-01,63
2016-10-02,58
2016-10-03,46
2016-10-04,45
2016-10-05,46
2016-10-06,44
2016-10-07,45
2016-10-08,54
2016-10-09,56
2016-10-10,43
2016-10-11,41
2016-10-12,42
2016-10-13,41
2016-10-14,41
2016-10-15,50
2016-10-16,55
2016-10-17,42
2016-10-18,42
2016-10-19,42
2016-10-20,42
2016-10-21,44
2016-10-22,53
2016-10-23,54
2016-10-24,43
2016-10-25,42
2016-10-26,41
2016-10-27,42
2016-10-28,43
2016-10-29,52
2016-10-30,57
2016-10-31,45
2016-11-01,47
2016-11-02,50
2016-11-03,48
2016-11-04,52
2016-11-05,65
2016-11-06,58
2016-11-07,43
2016-11-08,38
2016-11-09,31
2016-11-10,37
2016-11-11,44
2016-11-12,54
2016-11-13,63
2016-11-14,49
2016-11-15,47
2016-11-16,52
2016-11-17,50
2016-11-18,51
2016-11-19,64
2016-11-20,79
2016-11-21,62
2016-11-22,59
2016-11-23,62
2016-11-24,62
2016-11-25,101
2016-11-26,91
2016-11-27,73
2016-11-28,69
2016-11-29,58
2016-11-30,50
2016-12-01,51
2016-12-02,51
2016-12-03,64
2016-12-04,70
2016-12-05,55
2016-12-06,54
2016-12-07,52
2016-12-08,53
2016-12-09,53
2016-12-10,68
2016-12-11,76
2016-12-12,61
2016-12-13,60
2016-12-14,60
2016-12-15,62
2016-12-16,66
2016-12-17,79
2016-12-18,89
2016-12-19,78
2016-12-20,75
2016-12-21,76
2016-12-22,78
2016-12-23,90
2016-12-24,85
2016-12-25,68
2016-12-26,103
2016-12-27,94
2016-12-28,92
2016-12-29,89
2016-12-30,90
2016-12-31,96
2017-01-01,74
2017-01-02,80
2017-01-03,73
2017-01-04,61
2017-01-05,57
2017-01-06,57
2017-01-07,66
2017-01-08,61
2017-01-09,45
2017-01-10,45
2017-01-11,42
2017-01-12,43
2017-01-13,43
2017-01-14,52
2017-01-15,56
2017-01-16,48
2017-01-17,41
2017-01-18,39
2017-01-19,37
2017-01-20,37
2017-01-21,47
2017-01-22,51
2017-01-23,40
2017-01-24,38
2017-01-25,38
2017-01-26,36
2017-01-27,37
2017-01-28,47
2017-01-29,52
2017-01-30,42
2017-01-31,41
2017-02-01,40
2017-02-02,40
2017-02-03,41
2017-02-04,48
2017-02-05,49
2017-02-06,38
2017-02-07,39
2017-02-08,38
2017-02-09,39
2017-02-10,39
2017-02-11,46
2017-02-12,50
2017-02-13,40
2017-02-14,36
2017-02-15,35
2017-02-16,37
2017-02-17,38
2017-02-18,46
2017-02-19,51
2017-02-20,44
2017-02-21,41
2017-02-23,64
2017-02-24,64
2017-02-25,76
2017-02-26,53
2017-02-27,44
2017-02-28,41
2017-03-01,39
2017-03-02,41
2017-03-03,42
2017-03-04,48
2017-03-05,53
2017-03-06,43
2017-03-07,41
2017-03-08,41
2017-03-09,44
2017-03-10,45
2017-03-11,54
2017-03-12,53
2017-03-13,40
2017-03-14,39
2017-03-15,39
