Date,Volume
2015-03-01,26
2015-03-02,20
2015-03-03,23
2015-03-04,19
2015-03-05,48
2015-03-06,45
2015-03-07,42
2015-03-08,23
2015-03-09,16
2015-03-10,12
2015-03-11,15
2015-03-12,12
2015-03-13,13
2015-03-14,19
2015-03-15,18
2015-03-16,15
2015-03-17,13
2015-03-18,13
2015-03-19,14
2015-03-20,14
2015-03-21,18
2015-03-22,17
2015-03-23,14
2015-03-24,19
2015-03-25,13
2015-03-26,11
2015-03-27,14
2015-03-28,17
2015-03-29,14
2015-03-30,11
2015-03-31,14
2015-04-01,8
2015-04-02,12
2015-04-03,14
2015-04-04,18
2015-04-05,21
2015-04-06,15
2015-04-07,16
2015-04-08,15
2015-04-09,11
2015-04-10,14
2015-04-11,17
2015-04-12,14
2015-04-13,7
2015-04-14,7
2015-04-15,8
2015-04-16,8
2015-04-17,7
2015-04-18,9
2015-04-19,13
2015-04-20,9
2015-04-21,10
2015-04-22,7
2015-04-23,8
2015-04-24,12
2015-04-25,13
2015-04-26,12
2015-04-27,7
2015-04-28,5
2015-04-29,6
2015-04-30,5
2015-05-01,10
2015-05-02,7
2015-05-03,13
2015-05-04,13
2015-05-05,10
2015-05-06,9
2015-05-07,7
2015-05-08,8
2015-05-09,12
2015-05-10,11
2015-05-11,7
2015-05-12,8
2015-05-13,10
2015-05-14,14
2015-05-15,14
2015-05-16,15
2015-05-17,17
2015-05-18,15
2015-05-19,15
2015-05-20,29
2015-05-21,34
2015-05-22,15
2015-05-23,27
2015-05-24,20
2015-05-25,8
2015-05-26,8
2015-05-27,6
2015-05-28,7
2015-05-29,7
2015-05-30,12
2015-05-31,13
2015-06-01,8
2015-06-02,9
2015-06-03,8
2015-06-04,6
2015-06-05,6
2015-06-06,12
2015-06-07,13
2015-06-08,6
2015-06-09,7
2015-06-10,7
2015-06-11,8
2015-06-12,6
2015-06-13,12
2015-06-14,15
2015-06-15,9
2015-06-16,8
2015-06-17,6
2015-06-18,6
2015-06-19,7
2015-06-20,8
2015-06-21,12
2015-06-22,8
2015-06-23,13
2015-06-24,6
2015-06-25,7
2015-06-26,7
2015-06-27,11
2015-06-28,11
2015-06-29,6
2015-06-30,7
2015-07-01,6
2015-07-02,4
2015-07-03,10
2015-07-04,7
2015-07-05,10
2015-07-06,7
2015-07-07,7
2015-07-08,10
2015-07-09,4
2015-07-10,7
2015-07-11,4
2015-07-12,10
2015-07-13,6
2015-07-14,7
2015-07-15,5
2015-07-16,7
2015-07-17,8
2015-07-18,8
2015-07-19,10
2015-07-20,10
2015-07-21,11
2015-07-22,6
2015-07-23,13
2015-07-24,9
2015-07-25,13
2015-07-26,10
2015-07-27,9
2015-07-28,8
2015-07-29,8
2015-07-30,7
2015-07-31,6
2015-08-01,12
2015-08-02,13
2015-08-03,35
2015-08-04,13
2015-08-05,12
2015-08-06,11
2015-08-07,13
2015-08-08,9
2015-08-09,11
2015-08-10,22
2015-08-11,23
2015-08-12,24
2015-08-13,24
2015-08-14,22
2015-08-15,18
2015-08-16,9
2015-08-17,6
2015-08-18,9
2015-08-19,4
2015-08-20,10
2015-08-21,6
2015-08-22,10
2015-08-23,9
2015-08-24,6
2015-08-25,7
2015-08-26,6
2015-08-27,8
2015-08-28,6
2015-08-30,10
2015-08-31,9
2015-09-01,13
2015-09-02,12
2015-09-03,13
2015-09-04,11
2015-09-05,14
2015-09-06,11
2015-09-07,5
2015-09-08,6
2015-09-09,4
2015-09-10,6
2015-09-11,8
2015-09-12,15
2015-09-13,10
2015-09-14,5
2015-09-15,4
2015-09-16,5
2015-09-17,6
2015-09-18,4
2015-09-19,8
2015-09-20,10
2015-09-21,3
2015-09-22,8
2015-09-23,6
2015-09-24,4
2015-09-25,8
2015-09-26,6
2015-09-27,9
2015-09-28,9
2015-09-29,9
2015-09-30,9
2015-10-01,7
2015-10-02,9
2015-10-03,10
2015-10-04,7
2015-10-05,4
2015-10-06,3
2015-10-07,2
2015-10-08,4
2015-10-09,3
2015-10-10,6
2015-10-11,8
2015-10-12,4
2015-10-13,4
2015-10-14,4
2015-10-15,3
2015-10-16,4
2015-10-17,6
2015-10-18,8
2015-10-19,10
2015-10-20,9
2015-10-21,8
2015-10-22,17
2015-10-23,14
2015-10-24,15
2015-10-25,7
2015-10-26,5
2015-10-27,6
2015-10-28,5
2015-10-29,5
2015-10-30,6
2015-10-31,4
2015-11-01,8
2015-11-02,4
2015-11-03,8
2015-11-04,5
2015-11-05,3
2015-11-06,5
2015-11-07,7
2015-11-08,9
2015-11-09,5
2015-11-10,8
2015-11-11,9
2015-11-12,9
2015-11-13,8
2015-11-14,13
2015-11-15,12
2015-11-16,13
2015-11-17,16
2015-11-18,4
2015-11-19,14
2015-11-20,15
2015-11-21,13
2015-11-22,8
2015-11-23,8
2015-11-24,8
2015-11-25,5
2015-11-26,8
2015-11-27,5
2015-11-28,9
2015-11-29,14
2015-11-30,11
2015-12-01,8
2015-12-02,9
2015-12-03,21
2015-12-04,31
2015-12-05,22
2015-12-06,8
2015-12-07,4
2015-12-08,5
2015-12-09,4
2015-12-10,4
2015-12-11,4
2015-12-12,4
2015-12-13,10
2015-12-14,8
2015-12-15,8
2015-12-16,5
2015-12-17,14
2015-12-18,11
2015-12-19,16
2015-12-20,13
2015-12-21,10
2015-12-22,9
2015-12-23,21
2015-12-24,17
2015-12-25,13
2015-12-26,11
2015-12-27,10
2015-12-28,9
2015-12-29,6
