Date,Volume
2015-03-01,99
2015-03-02,94
2015-03-03,94
2015-03-04,96
2015-03-05,97
2015-03-06,99
2015-03-07,104
2015-03-08,98
2015-03-09,92
2015-03-10,93
2015-03-11,95
2015-03-12,94
2015-03-13,95
2015-03-14,99
2015-03-15,99
2015-03-16,95
2015-03-17,95
2015-03-18,97
2015-03-19,95
2015-03-20,99
2015-03-21,101
2015-03-22,99
2015-03-23,94
2015-03-24,93
2015-03-25,94
2015-03-26,95
2015-03-27,102
2015-03-28,104
2015-03-29,98
2015-03-30,92
2015-03-31,92
2015-04-01,94
2015-04-02,95
2015-04-03,94
2015-04-04,99
2015-04-05,100
2015-04-06,98
2015-04-07,94
2015-04-08,95
2015-04-09,94
2015-04-10,97
2015-04-11,101
2015-04-12,99
2015-04-13,95
2015-04-14,94
2015-04-15,95
2015-04-16,96
2015-04-17,97
2015-04-18,102
2015-04-19,98
2015-04-20,94
2015-04-21,94
2015-04-22,94
2015-04-23,95
2015-04-24,98
2015-04-25,101
2015-04-26,98
2015-04-27,92
2015-04-28,93
2015-04-29,93
2015-04-30,96
2015-05-01,94
2015-05-02,99
2015-05-03,99
2015-05-04,95
2015-05-05,94
2015-05-06,93
2015-05-07,94
2015-05-08,97
2015-05-09,100
2015-05-10,99
2015-05-11,92
2015-05-12,91
2015-05-13,92
2015-05-14,94
2015-05-15,94
2015-05-16,97
2015-05-17,98
2015-05-18,94
2015-05-19,93
2015-05-20,94
2015-05-21,94
2015-05-22,96
2015-05-23,101
2015-05-24,99
2015-05-25,95
2015-05-26,92
2015-05-27,93
2015-05-28,94
2015-05-29,97
2015-05-30,99
2015-05-31,99
2015-06-01,95
2015-06-02,93
2015-06-03,95
2015-06-04,96
2015-06-05,97
2015-06-06,102
2015-06-07,99
2015-06-08,93
2015-06-09,95
2015-06-10,94
2015-06-11,95
2015-06-12,96
2015-06-13,99
2015-06-14,97
2015-06-15,90
2015-06-16,92
2015-06-17,94
2015-06-18,93
2015-06-19,94
2015-06-20,100
2015-06-21,100
2015-06-22,95
2015-06-23,95
2015-06-24,96
2015-06-25,97
2015-06-26,97
2015-06-27,101
2015-06-28,99
2015-06-29,94
2015-06-30,94
2015-07-01,94
2015-07-02,94
2015-07-03,99
2015-07-04,101
2015-07-05,98
2015-07-06,91
2015-07-07,91
2015-07-08,91
2015-07-09,90
2015-07-10,93
2015-07-11,96
2015-07-12,97
2015-07-13,92
2015-07-14,92
2015-07-15,93
2015-07-16,92
2015-07-17,94
2015-07-18,98
2015-07-19,98
2015-07-20,96
2015-07-21,95
2015-07-22,96
2015-07-23,95
2015-07-24,98
2015-07-25,101
2015-07-26,97
2015-07-27,91
2015-07-28,92
2015-07-29,93
2015-07-30,93
2015-07-31,94
2015-08-01,95
2015-08-02,96
2015-08-03,91
2015-08-04,91
2015-08-05,92
2015-08-06,93
2015-08-07,93
2015-08-08,98
2015-08-09,98
2015-08-10,93
2015-08-11,93
2015-08-12,93
2015-08-13,94
2015-08-14,96
2015-08-15,98
2015-08-16,96
2015-08-17,93
2015-08-18,92
2015-08-19,93
2015-08-20,93
2015-08-21,93
2015-08-22,98
2015-08-23,95
2015-08-24,90
2015-08-25,91
2015-08-26,91
2015-08-27,92
2015-08-28,95
2015-08-30,91
2015-08-31,85
2015-09-01,86
2015-09-02,82
2015-09-03,82
2015-09-04,82
2015-09-05,87
2015-09-06,88
2015-09-07,84
2015-09-08,82
2015-09-09,81
2015-09-10,83
2015-09-11,85
2015-09-12,86
2015-09-13,93
2015-09-14,89
2015-09-15,89
2015-09-16,94
2015-09-17,98
2015-09-18,98
2015-09-19,103
2015-09-20,95
2015-09-21,90
2015-09-22,90
2015-09-23,91
2015-09-24,98
2015-09-25,93
2015-09-26,97
2015-09-27,96
2015-09-28,105
2015-09-29,94
2015-09-30,91
2015-10-01,91
2015-10-02,92
2015-10-03,96
2015-10-04,93
2015-10-05,91
2015-10-06,91
2015-10-07,91
2015-10-08,91
2015-10-09,93
2015-10-10,98
2015-10-11,94
2015-10-12,90
2015-10-13,86
2015-10-14,89
2015-10-15,89
2015-10-16,91
2015-10-17,94
2015-10-18,91
2015-10-19,87
2015-10-20,88
2015-10-21,87
2015-10-22,89
2015-10-23,91
2015-10-24,92
2015-10-25,91
2015-10-26,88
2015-10-27,91
2015-10-28,91
2015-10-29,91
2015-10-30,91
2015-10-31,93
2015-11-01,91
2015-11-02,87
2015-11-03,87
2015-11-04,85
2015-11-05,86
2015-11-06,87
2015-11-07,89
2015-11-08,92
2015-11-09,88
2015-11-10,88
2015-11-11,90
2015-11-12,92
2015-11-13,90
2015-11-14,97
2015-11-15,92
2015-11-16,87
2015-11-17,87
2015-11-18,87
2015-11-19,88
2015-11-20,90
2015-11-21,92
2015-11-22,90
2015-11-23,86
2015-11-24,85
2015-11-25,86
2015-11-26,88
2015-11-27,87
2015-11-28,91
2015-11-29,88
2015-11-30,83
2015-12-01,84
2015-12-02,85
2015-12-03,88
2015-12-04,88
2015-12-05,92
2015-12-06,89
2015-12-07,84
2015-12-08,86
2015-12-09,84
2015-12-10,85
2015-12-11,87
2015-12-12,90
2015-12-13,87
2015-12-14,84
2015-12-15,84
2015-12-16,85
2015-12-17,85
2015-12-18,88
2015-12-19,88
2015-12-20,90
2015-12-21,90
2015-12-22,90
2015-12-23,92
2015-12-24,94
2015-12-25,97
2015-12-26,94
2015-12-27,94
2015-12-28,90
2015-12-29,91
2015-12-30,91
2015-12-31,96
2016-01-01,111
2016-01-02,106
2016-01-03,97
2016-01-04,89
2016-01-05,89
2016-01-06,88
2016-01-07,89
2016-01-08,90
2016-01-09,95
2016-01-10,93
2016-01-11,86
2016-01-12,86
2016-01-13,87
2016-01-14,86
2016-01-15,90
2016-01-16,97
2016-01-17,93
2016-01-18,87
2016-01-19,87
2016-01-20,86
2016-01-21,87
2016-01-22,90
2016-01-23,93
2016-01-24,95
2016-01-25,89
2016-01-26,90
2016-01-27,89
2016-01-28,89
2016-01-29,91
2016-01-30,96
2016-01-31,94
2016-02-01,86
2016-02-02,85
2016-02-03,86
2016-02-04,89
2016-02-05,90
2016-02-06,92
2016-02-07,93
2016-02-08,86
2016-02-09,86
2016-02-10,85
2016-02-11,87
2016-02-12,88
2016-02-13,94
2016-02-14,92
2016-02-15,84
2016-02-16,82
2016-02-17,82
2016-02-18,83
2016-02-19,82
2016-02-20,90
2016-02-21,92
2016-02-22,84
2016-02-23,86
2016-02-24,86
2016-02-25,86
2016-02-27,102
2016-02-28,92
2016-02-29,82
2016-03-01,85
2016-03-02,84
2016-03-03,87
2016-03-04,89
2016-03-05,92
2016-03-06,91
2016-03-07,85
2016-03-08,87
2016-03-09,86
2016-03-10,86
2016-03-11,88
2016-03-12,91
2016-03-13,91
2016-03-14,86
2016-03-15,85
2016-03-16,83
2016-03-17,85
2016-03-18,87
2016-03-19,92
2016-03-20,93
2016-03-21,85
2016-03-22,85
2016-03-23,86
2016-03-24,87
2016-03-25,89
2016-03-26,93
2016-03-27,93
2016-03-28,85
2016-03-29,83
2016-03-30,83
2016-03-31,82
2016-04-01,85
2016-04-02,89
2016-04-03,90
2016-04-04,82
2016-04-05,82
2016-04-06,81
2016-04-07,83
2016-04-08,86
2016-04-09,90
2016-04-10,91
2016-04-11,86
2016-04-12,86
2016-04-13,87
2016-04-14,86
2016-04-15,89
2016-04-16,93
