Date,Volume
2015-03-01,63
2015-03-02,51
2015-03-03,49
2015-03-04,54
2015-03-05,43
2015-03-06,58
2015-03-07,72
2015-03-08,63
2015-03-09,58
2015-03-10,37
2015-03-11,46
2015-03-12,33
2015-03-13,55
2015-03-14,66
2015-03-15,65
2015-03-16,48
2015-03-17,51
2015-03-18,47
2015-03-19,49
2015-03-20,50
2015-03-21,50
2015-03-22,55
2015-03-23,34
2015-03-24,50
2015-03-25,39
2015-03-26,38
2015-03-27,44
2015-03-28,53
2015-03-29,67
2015-03-30,48
2015-03-31,53
2015-04-01,50
2015-04-02,50
2015-04-03,88
2015-04-04,100
2015-04-05,62
2015-04-06,49
2015-04-07,38
2015-04-08,30
2015-04-09,38
2015-04-10,36
2015-04-11,45
2015-04-12,62
2015-04-13,47
2015-04-14,50
2015-04-15,45
2015-04-16,43
2015-04-17,45
2015-04-18,45
2015-04-19,58
2015-04-20,45
2015-04-21,45
2015-04-22,37
2015-04-23,35
2015-04-24,37
2015-04-25,63
2015-04-26,64
2015-04-27,41
2015-04-28,46
2015-04-29,46
2015-04-30,51
2015-05-01,81
2015-05-02,64
2015-05-03,70
2015-05-04,81
2015-05-05,68
2015-05-06,67
2015-05-07,75
2015-05-08,64
2015-05-09,88
2015-05-10,62
2015-05-11,38
2015-05-12,45
2015-05-13,48
2015-05-14,43
2015-05-15,41
2015-05-16,66
2015-05-17,64
2015-05-18,40
2015-05-19,62
2015-05-20,51
2015-05-21,53
2015-05-22,69
2015-05-23,70
2015-05-24,56
2015-05-25,68
2015-05-26,57
2015-05-27,71
2015-05-28,57
2015-05-29,53
2015-05-30,70
2015-05-31,74
2015-06-01,62
2015-06-02,76
2015-06-03,62
2015-06-04,76
2015-06-05,88
2015-06-06,97
2015-06-07,80
2015-06-08,64
2015-06-09,69
2015-06-10,66
2015-06-11,76
2015-06-12,68
2015-06-13,78
2015-06-14,79
2015-06-15,63
2015-06-16,73
2015-06-17,65
2015-06-18,88
2015-06-19,99
2015-06-20,112
2015-06-21,76
2015-06-22,69
2015-06-23,54
2015-06-24,52
2015-06-25,53
2015-06-26,68
2015-06-27,65
2015-06-28,80
2015-06-29,88
2015-06-30,93
2015-07-01,116
2015-07-02,101
2015-07-03,111
2015-07-04,111
2015-07-05,81
2015-07-06,47
2015-07-07,49
2015-07-08,64
2015-07-09,66
2015-07-10,57
2015-07-11,71
2015-07-12,74
2015-07-13,61
2015-07-14,60
2015-07-15,57
2015-07-16,60
2015-07-17,67
2015-07-18,74
2015-07-19,76
2015-07-20,66
2015-07-21,55
2015-07-22,70
2015-07-23,61
2015-07-24,66
2015-07-25,81
2015-07-26,80
2015-07-27,81
2015-07-28,75
2015-07-29,71
2015-07-30,75
2015-07-31,72
2015-08-01,93
2015-08-02,80
2015-08-03,58
2015-08-04,49
2015-08-05,62
2015-08-06,56
2015-08-07,59
2015-08-08,80
2015-08-09,81
2015-08-10,68
2015-08-11,63
2015-08-12,75
2015-08-13,77
2015-08-14,70
2015-08-15,87
2015-08-16,100
2015-08-17,122
2015-08-18,129
2015-08-19,77
2015-08-20,81
2015-08-21,55
2015-08-22,83
2015-08-23,92
2015-08-24,87
2015-08-25,71
2015-08-26,61
2015-08-27,119
2015-08-28,85
2015-08-30,78
2015-08-31,46
2015-09-01,55
2015-09-02,61
2015-09-03,60
2015-09-04,57
2015-09-05,65
2015-09-06,66
2015-09-07,55
2015-09-08,51
2015-09-09,48
2015-09-10,50
2015-09-11,59
2015-09-12,63
2015-09-13,62
2015-09-14,42
2015-09-15,54
2015-09-16,44
2015-09-17,34
2015-09-18,49
2015-09-19,54
2015-09-20,62
2015-09-21,46
2015-09-22,40
2015-09-23,57
2015-09-24,53
2015-09-25,58
2015-09-26,71
2015-09-27,71
2015-09-28,62
