Date,Volume
2015-03-01,37
2015-03-02,27
2015-03-03,27
2015-03-04,30
2015-03-05,32
2015-03-06,30
2015-03-07,36
2015-03-08,40
2015-03-09,27
2015-03-10,29
2015-03-11,30
2015-03-12,29
2015-03-13,33
2015-03-14,42
2015-03-15,41
2015-03-16,31
2015-03-17,31
2015-03-18,31
2015-03-19,28
2015-03-20,32
2015-03-21,38
2015-03-22,40
2015-03-23,34
2015-03-24,31
2015-03-25,33
2015-03-26,31
2015-03-27,38
2015-03-28,49
2015-03-29,40
2015-03-30,33
2015-03-31,30
2015-04-01,32
2015-04-02,32
2015-04-03,34
2015-04-04,36
2015-04-05,36
2015-04-06,31
2015-04-07,26
2015-04-08,29
2015-04-09,28
2015-04-10,31
2015-04-11,37
2015-04-12,34
2015-04-13,27
2015-04-14,24
2015-04-15,24
2015-04-16,26
2015-04-17,27
2015-04-18,34
2015-04-19,33
2015-04-20,25
2015-04-21,25
2015-04-22,24
2015-04-23,26
2015-04-24,26
2015-04-25,32
2015-04-26,36
2015-04-27,26
2015-04-28,29
2015-04-29,29
2015-04-30,28
2015-05-01,39
2015-05-02,44
2015-05-03,33
2015-05-04,27
2015-05-05,25
2015-05-06,25
2015-05-07,26
2015-05-08,27
2015-05-09,33
2015-05-10,30
2015-05-11,25
2015-05-12,23
2015-05-13,23
2015-05-14,23
2015-05-15,22
2015-05-16,28
2015-05-17,28
2015-05-18,22
2015-05-19,20
2015-05-20,20
2015-05-21,19
2015-05-22,20
2015-05-23,27
2015-05-24,31
2015-05-25,25
2015-05-26,27
2015-05-27,25
2015-05-28,23
2015-05-29,25
2015-05-30,33
2015-05-31,33
2015-06-01,26
2015-06-02,25
2015-06-03,25
2015-06-04,27
2015-06-05,25
2015-06-06,32
2015-06-07,33
2015-06-08,25
2015-06-09,24
2015-06-10,26
2015-06-11,27
2015-06-12,29
2015-06-13,33
2015-06-14,29
2015-06-15,21
2015-06-16,23
2015-06-17,22
2015-06-18,21
2015-06-19,24
2015-06-20,28
2015-06-21,27
2015-06-22,19
2015-06-23,20
2015-06-24,20
2015-06-25,19
2015-06-26,19
2015-06-27,25
2015-06-28,29
2015-06-29,21
2015-06-30,28
2015-07-01,25
2015-07-02,27
2015-07-03,29
2015-07-04,30
2015-07-05,33
2015-07-06,26
2015-07-07,25
2015-07-08,27
2015-07-09,30
2015-07-10,32
2015-07-11,34
2015-07-12,70
2015-07-13,86
2015-07-14,76
2015-07-15,67
2015-07-16,62
2015-07-17,67
2015-07-18,76
2015-07-19,56
2015-07-20,44
2015-07-21,47
2015-07-22,44
2015-07-23,43
2015-07-24,45
2015-07-25,47
2015-07-26,50
2015-07-27,36
2015-07-28,36
2015-07-29,36
2015-07-30,39
2015-07-31,40
2015-08-01,48
2015-08-02,47
2015-08-03,36
2015-08-04,31
2015-08-05,34
2015-08-06,33
2015-08-07,37
2015-08-08,43
2015-08-09,46
2015-08-10,36
2015-08-11,38
2015-08-12,36
2015-08-13,35
2015-08-14,36
2015-08-15,46
2015-08-16,43
2015-08-17,34
2015-08-18,32
2015-08-19,33
2015-08-20,30
2015-08-21,34
2015-08-22,37
2015-08-23,39
2015-08-24,27
2015-08-25,27
2015-08-26,25
2015-08-27,27
2015-08-28,28
2015-08-30,40
2015-08-31,28
2015-09-01,27
2015-09-02,29
2015-09-03,36
2015-09-04,36
2015-09-05,40
2015-09-06,35
2015-09-07,25
2015-09-08,23
2015-09-09,21
2015-09-10,22
2015-09-11,22
2015-09-12,29
2015-09-13,37
2015-09-14,26
2015-09-15,29
2015-09-16,34
2015-09-17,32
2015-09-18,32
2015-09-19,42
2015-09-20,45
2015-09-21,37
2015-09-22,38
2015-09-23,37
2015-09-24,37
2015-09-25,39
2015-09-26,48
2015-09-27,74
2015-09-28,89
2015-09-29,127
2015-09-30,108
2015-10-01,102
2015-10-02,100
2015-10-03,121
2015-10-04,66
2015-10-05,52
2015-10-06,53
2015-10-07,50
2015-10-08,50
2015-10-09,50
2015-10-10,59
2015-10-11,61
2015-10-12,50
2015-10-13,44
2015-10-14,47
2015-10-15,55
2015-10-16,55
2015-10-17,62
2015-10-18,62
2015-10-19,50
2015-10-20,47
2015-10-21,50
2015-10-22,49
2015-10-23,55
2015-10-24,65
2015-10-25,55
2015-10-26,43
2015-10-27,41
2015-10-28,42
2015-10-29,40
2015-10-30,40
2015-10-31,47
2015-11-01,50
2015-11-02,35
2015-11-03,34
2015-11-04,32
2015-11-05,34
2015-11-06,36
2015-11-07,43
2015-11-08,52
2015-11-09,41
2015-11-10,39
2015-11-11,43
2015-11-12,41
2015-11-13,47
2015-11-14,55
2015-11-15,52
2015-11-16,41
2015-11-17,38
2015-11-18,35
2015-11-19,38
2015-11-20,38
2015-11-21,43
2015-11-22,60
2015-11-23,54
2015-11-24,47
2015-11-25,43
2015-11-26,45
2015-11-27,45
2015-11-28,62
2015-11-29,57
2015-11-30,44
2015-12-01,40
2015-12-02,44
2015-12-03,45
2015-12-04,49
2015-12-05,55
2015-12-06,53
2015-12-07,38
2015-12-08,38
2015-12-09,37
2015-12-10,38
2015-12-11,36
2015-12-12,44
2015-12-13,50
2015-12-14,41
2015-12-15,43
2015-12-16,41
2015-12-17,41
2015-12-18,45
2015-12-19,55
2015-12-20,59
2015-12-21,50
2015-12-22,49
2015-12-23,53
2015-12-24,56
2015-12-25,58
2015-12-26,56
2015-12-27,61
2015-12-28,55
2015-12-29,51
2015-12-30,53
2015-12-31,58
2016-01-01,63
2016-01-02,62
2016-01-03,55
2016-01-04,42
2016-01-05,45
2016-01-06,44
2016-01-07,40
2016-01-08,42
2016-01-09,51
2016-01-10,49
2016-01-11,37
2016-01-12,37
2016-01-13,36
2016-01-14,35
2016-01-15,39
2016-01-16,51
2016-01-17,48
2016-01-18,34
2016-01-19,33
2016-01-20,33
2016-01-21,35
2016-01-22,34
2016-01-23,41
2016-01-24,45
2016-01-25,34
2016-01-26,33
2016-01-27,35
2016-01-28,32
2016-01-29,39
2016-01-30,48
2016-01-31,48
2016-02-01,36
2016-02-02,36
2016-02-03,37
2016-02-04,37
2016-02-05,41
2016-02-06,50
2016-02-07,47
2016-02-08,41
2016-02-09,39
2016-02-10,39
2016-02-11,38
2016-02-12,40
2016-02-13,49
2016-02-14,43
2016-02-15,32
2016-02-16,29
2016-02-17,30
2016-02-18,31
2016-02-19,31
2016-02-20,41
2016-02-21,43
2016-02-22,31
2016-02-23,29
2016-02-24,31
2016-02-25,33
2016-02-27,38
2016-02-28,44
2016-02-29,34
2016-03-01,31
2016-03-02,31
2016-03-03,31
2016-03-04,38
2016-03-05,42
2016-03-06,47
2016-03-07,39
2016-03-08,37
2016-03-09,39
2016-03-10,42
2016-03-11,46
2016-03-12,55
2016-03-13,51
2016-03-14,44
2016-03-15,39
2016-03-16,41
2016-03-17,44
2016-03-18,48
2016-03-19,50
2016-03-20,87
2016-03-21,93
2016-03-22,72
2016-03-23,66
2016-03-24,74
2016-03-25,75
2016-03-26,80
2016-03-27,78
2016-03-28,62
2016-03-29,57
2016-03-30,58
2016-03-31,60
2016-04-01,59
2016-04-02,68
2016-04-03,69
2016-04-04,51
2016-04-05,52
2016-04-06,50
2016-04-07,50
2016-04-08,52
2016-04-09,60
2016-04-10,62
2016-04-11,51
2016-04-12,49
2016-04-13,44
2016-04-14,43
2016-04-15,50
2016-04-16,55
2016-04-17,61
2016-04-18,47
2016-04-19,47
2016-04-20,45
2016-04-21,48
2016-04-22,52
2016-04-23,63
2016-04-24,66
2016-04-25,53
2016-04-26,52
2016-04-27,53
2016-04-28,64
2016-04-29,71
2016-04-30,94
2016-05-01,67
2016-05-02,47
2016-05-03,40
2016-05-04,42
2016-05-05,42
2016-05-06,44
2016-05-07,53
2016-05-08,59
2016-05-09,48
2016-05-10,48
2016-05-11,50
2016-05-12,51
2016-05-13,49
2016-05-14,57
2016-05-15,54
2016-05-16,41
2016-05-17,40
2016-05-18,40
2016-05-19,43
2016-05-20,47
2016-05-21,57
