Date,Volume
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,0
2015-11-07,0
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-04-03,34
2016-04-04,65
2016-04-05,99
2016-04-06,75
2016-04-07,72
2016-04-08,60
2016-04-09,70
2016-04-10,28
2016-04-11,26
2016-04-12,24
2016-04-13,17
2016-04-14,16
2016-04-15,20
2016-04-16,24
2016-04-17,27
2016-04-18,17
2016-04-19,14
2016-04-20,17
2016-04-21,21
2016-04-22,28
2016-04-23,51
2016-04-24,47
2016-04-25,32
2016-04-26,29
2016-04-27,48
2016-04-28,30
2016-04-29,44
2016-04-30,58
2016-05-01,90
2016-05-02,82
2016-05-03,62
2016-05-04,183
2016-05-05,168
2016-05-06,132
2016-05-07,159
2016-05-08,65
2016-05-09,45
2016-05-10,49
2016-05-11,43
2016-05-12,44
2016-05-13,43
2016-05-14,43
2016-05-15,48
2016-05-16,34
2016-05-17,37
2016-05-18,32
2016-05-19,41
2016-05-20,37
2016-05-21,58
2016-05-22,47
2016-05-23,37
2016-05-24,35
2016-05-25,41
2016-05-26,34
2016-05-27,36
2016-05-28,45
2016-05-29,43
2016-05-30,31
2016-05-31,29
2016-06-01,43
2016-06-02,32
2016-06-03,38
2016-06-04,58
2016-06-05,38
2016-06-06,27
2016-06-07,35
2016-06-08,35
2016-06-09,29
2016-06-10,32
2016-06-11,40
2016-06-12,39
2016-06-13,28
2016-06-14,33
2016-06-15,37
2016-06-16,36
2016-06-17,48
2016-06-18,54
2016-06-19,32
2016-06-20,22
2016-06-21,20
2016-06-22,22
2016-06-23,27
2016-06-24,24
2016-06-25,23
2016-06-26,29
2016-06-27,17
2016-06-28,23
2016-06-29,24
2016-06-30,21
2016-07-01,29
2016-07-02,22
2016-07-03,28
2016-07-04,23
2016-07-05,16
2016-07-06,13
2016-07-07,16
2016-07-08,18
2016-07-09,25
2016-07-10,27
2016-07-11,33
2016-07-12,27
2016-07-13,28
2016-07-14,20
2016-07-15,34
2016-07-16,49
2016-07-17,28
2016-07-18,26
2016-07-19,23
2016-07-20,28
2016-07-21,38
2016-07-22,26
2016-07-23,40
2016-07-24,26
2016-07-25,30
2016-07-26,23
2016-07-27,13
2016-07-28,26
2016-07-29,24
2016-07-30,35
2016-07-31,32
2016-08-01,27
2016-08-02,27
2016-08-03,17
2016-08-04,49
2016-08-05,46
2016-08-06,59
2016-08-07,67
2016-08-08,223
2016-08-09,297
2016-08-10,152
2016-08-11,201
2016-08-12,189
2016-08-13,186
2016-08-14,51
2016-08-15,45
2016-08-16,41
2016-08-17,46
2016-08-18,45
2016-08-19,59
2016-08-20,46
2016-08-21,42
2016-08-22,30
2016-08-23,24
2016-08-24,30
2016-08-26,42
2016-08-27,30
2016-08-28,45
2016-08-29,30
2016-08-30,53
2016-08-31,53
2016-09-01,48
2016-09-02,58
2016-09-03,65
2016-09-04,42
2016-09-05,36
2016-09-06,30
2016-09-07,32
2016-09-08,29
2016-09-09,38
2016-09-10,40
2016-09-11,33
2016-09-12,23
2016-09-13,21
2016-09-14,23
2016-09-15,22
2016-09-16,24
2016-09-17,27
2016-09-18,31
2016-09-19,20
2016-09-20,19
2016-09-21,22
2016-09-22,19
2016-09-23,25
2016-09-24,26
2016-09-25,28
2016-09-26,24
2016-09-27,17
