Date,Volume
2015-03-01,68
2015-03-02,57
2015-03-03,117
2015-03-04,59
2015-03-05,0
2015-03-06,62
2015-03-07,69
2015-03-15,54
2015-03-16,47
2015-03-17,47
2015-03-18,47
2015-03-19,47
2015-03-20,0
2015-03-21,55
2015-03-29,28
2015-03-30,22
2015-03-31,0
2015-04-01,0
2015-04-02,24
2015-04-03,0
2015-04-04,28
2015-04-26,42
2015-04-27,35
2015-04-28,35
2015-04-29,0
2015-04-30,74
2015-05-01,0
2015-05-02,43
2015-05-10,34
2015-05-11,28
2015-05-12,28
2015-05-13,0
2015-05-14,29
2015-05-15,29
2015-05-16,0
2015-05-17,75
2015-05-18,62
2015-05-19,61
2015-05-20,0
2015-05-21,62
2015-05-22,131
2015-05-23,150
2015-06-07,62
2015-06-08,50
2015-06-09,0
2015-06-10,0
2015-06-11,53
2015-06-12,0
2015-06-13,0
2015-06-21,62
2015-06-22,51
2015-06-23,0
2015-06-24,51
2015-06-25,0
2015-06-26,54
2015-06-27,0
2015-07-19,42
2015-07-20,34
2015-07-21,66
2015-07-22,32
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-08-02,41
2015-08-03,0
2015-08-04,34
2015-08-05,34
2015-08-06,35
2015-08-07,0
2015-08-08,0
2015-08-16,61
2015-08-17,34
2015-08-18,0
2015-08-19,34
2015-08-20,34
2015-08-21,35
2015-08-22,40
2015-08-23,33
2015-08-24,0
2015-08-25,0
2015-08-26,14
2015-08-27,14
2015-08-28,0
2015-08-30,40
2015-08-31,32
2015-09-01,0
2015-09-02,32
2015-09-03,67
2015-09-04,0
2015-09-05,0
2015-09-06,66
2015-09-07,0
2015-09-08,0
2015-09-09,109
2015-09-10,55
2015-09-11,85
2015-09-12,0
2015-09-27,58
2015-09-28,0
2015-09-29,47
2015-09-30,48
2015-10-01,48
2015-10-02,0
2015-10-03,56
2015-10-11,77
2015-10-12,0
2015-10-13,0
2015-10-14,66
2015-10-15,66
2015-10-16,0
2015-10-17,77
2015-10-18,63
2015-10-19,54
2015-10-20,54
2015-10-21,0
2015-10-22,73
2015-10-23,57
2015-10-24,0
2015-10-25,70
2015-10-26,60
2015-10-27,60
2015-10-28,122
2015-10-29,62
2015-10-30,64
2015-10-31,72
2015-11-01,95
2015-11-02,79
2015-11-03,79
2015-11-04,118
2015-11-05,0
2015-11-06,0
2015-11-07,95
2015-12-06,48
2015-12-07,41
2015-12-08,0
2015-12-09,41
2015-12-10,42
2015-12-11,43
2015-12-12,49
2015-12-20,36
2015-12-21,62
2015-12-22,32
2015-12-23,50
2015-12-24,0
2015-12-25,0
2015-12-26,37
2016-01-03,20
2016-01-04,0
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,0
2016-01-31,70
2016-02-01,62
2016-02-02,60
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,71
2016-02-07,100
2016-02-08,0
2016-02-09,89
2016-02-10,65
2016-02-11,43
2016-02-12,45
2016-02-13,49
2016-02-21,52
2016-02-22,44
2016-02-23,0
2016-02-24,46
2016-02-25,46
2016-02-27,73
2016-03-06,66
2016-03-07,0
2016-03-08,59
2016-03-09,59
2016-03-10,0
2016-03-11,0
2016-03-12,0
2016-03-13,65
2016-03-14,0
2016-03-15,57
2016-03-16,57
2016-03-17,58
2016-03-18,59
2016-03-19,0
2016-03-20,72
2016-03-21,31
2016-03-22,32
2016-03-23,0
2016-03-24,34
2016-03-25,35
2016-03-26,38
2016-03-27,80
2016-03-28,137
2016-03-29,0
2016-03-30,66
2016-03-31,132
2016-04-01,69
2016-04-02,76
2016-04-10,40
2016-04-11,0
2016-04-12,35
2016-04-13,46
2016-04-14,24
2016-04-15,49
2016-04-16,27
2016-04-17,60
2016-04-18,77
2016-04-19,0
2016-04-20,0
2016-04-21,52
2016-04-22,0
2016-04-23,0
2016-04-24,39
2016-04-25,0
2016-04-26,33
2016-04-27,68
2016-04-28,35
2016-04-29,36
2016-04-30,40
2016-05-01,81
2016-05-02,71
2016-05-03,138
2016-05-04,71
2016-05-05,73
2016-05-06,74
2016-05-07,0
2016-05-08,66
2016-05-09,57
2016-05-10,55
2016-05-11,83
2016-05-12,57
2016-05-13,118
2016-05-14,0
2016-05-15,60
2016-05-16,51
2016-05-17,51
2016-05-18,51
2016-05-19,0
2016-05-20,0
2016-05-21,62
2016-06-19,41
2016-06-20,0
2016-06-21,0
2016-06-22,34
2016-06-23,35
2016-06-24,37
2016-06-25,0
2016-06-26,31
2016-06-27,0
2016-06-28,0
2016-06-29,26
2016-06-30,0
2016-07-01,0
2016-07-02,31
2016-07-17,32
2016-07-18,0
2016-07-19,0
2016-07-20,0
2016-07-21,55
2016-07-22,28
2016-07-23,0
2016-08-07,22
2016-08-08,0
2016-08-09,37
2016-08-10,0
2016-08-11,19
2016-08-12,0
2016-08-13,0
2016-08-28,56
2016-08-29,46
2016-08-30,48
2016-08-31,0
2016-09-01,48
2016-09-02,50
2016-09-03,0
2016-09-04,42
2016-09-05,36
2016-09-06,35
2016-09-07,37
2016-09-08,37
2016-09-09,38
2016-09-10,42
2016-09-25,68
2016-09-26,0
2016-09-27,89
2016-09-28,119
2016-09-29,79
2016-09-30,61
2016-10-01,0
2016-11-06,26
2016-11-07,0
2016-11-08,22
2016-11-09,0
2016-11-10,0
2016-11-11,24
2016-11-12,26
2016-11-13,40
2016-11-14,17
2016-11-15,17
2016-11-16,0
2016-11-17,17
2016-11-18,18
2016-11-19,0
2016-11-20,46
2016-11-21,80
2016-11-22,40
2016-11-23,40
2016-11-24,41
2016-11-25,41
2016-11-26,0
2016-12-25,56
2016-12-26,47
2016-12-27,0
2016-12-28,92
2016-12-29,46
2016-12-30,48
2016-12-31,0
2017-01-08,56
2017-01-09,0
2017-01-10,48
2017-01-11,0
2017-01-12,50
2017-01-13,0
2017-01-14,57
2017-01-22,56
2017-01-23,49
2017-01-24,49
2017-01-25,49
2017-01-26,49
2017-01-27,0
2017-01-28,0
2017-01-29,74
2017-01-30,0
2017-01-31,126
2017-02-01,0
2017-02-02,194
2017-02-03,66
2017-02-04,74
2017-02-19,43
2017-02-20,18
2017-02-21,36
2017-02-23,25
2017-02-24,0
2017-02-25,43
2017-02-26,82
2017-02-27,0
2017-02-28,71
2017-03-01,68
2017-03-02,70
2017-03-03,0
2017-03-04,80
2017-03-05,77
2017-03-06,64
2017-03-07,64
2017-03-08,66
2017-03-09,133
2017-03-10,70
2017-03-11,77
2017-03-12,59
2017-03-13,50
2017-03-14,53
2017-03-15,53
2017-03-16,81
2017-03-17,56
2017-03-18,61
2017-03-19,67
2017-03-20,61
2017-03-21,60
2017-03-22,60
2017-03-23,60
2017-03-24,0
2017-03-25,0
2017-03-26,49
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,21
2017-03-31,0
