Date,Volume
2015-03-01,84
2015-03-02,80
2015-03-03,91
2015-03-04,78
2015-03-05,73
2015-03-06,73
2015-03-07,80
2015-03-08,80
2015-03-09,89
2015-03-10,95
2015-03-11,83
2015-03-12,85
2015-03-13,97
2015-03-14,72
2015-03-15,68
2015-03-16,88
2015-03-17,82
2015-03-18,64
2015-03-19,79
2015-03-20,79
2015-03-21,71
2015-03-22,91
2015-03-23,109
2015-03-24,179
2015-03-25,98
2015-03-26,98
2015-03-27,93
2015-03-28,107
2015-03-29,100
2015-03-30,58
2015-03-31,52
2015-04-01,44
2015-04-02,45
2015-04-03,41
2015-04-04,37
2015-04-05,77
2015-04-06,87
2015-04-07,79
2015-04-08,93
2015-04-09,89
2015-04-10,93
2015-04-11,81
2015-04-12,90
2015-04-13,104
2015-04-14,128
2015-04-15,135
2015-04-16,106
2015-04-17,65
2015-04-18,81
2015-04-19,81
2015-04-20,66
2015-04-21,71
2015-04-22,71
2015-04-23,76
2015-04-24,68
2015-04-25,71
2015-04-26,73
2015-04-27,74
2015-04-28,71
2015-04-29,64
2015-04-30,79
2015-05-01,69
2015-05-02,76
2015-05-03,74
2015-05-04,95
2015-05-05,78
2015-05-06,97
2015-05-07,128
2015-05-08,78
2015-05-09,78
2015-05-10,76
2015-05-11,136
2015-05-12,99
2015-05-13,99
2015-05-14,104
2015-05-15,117
2015-05-16,94
2015-05-17,87
2015-05-18,95
2015-05-19,103
2015-05-20,99
2015-05-21,127
2015-05-22,118
2015-05-23,91
2015-05-24,99
2015-05-25,112
2015-05-26,160
2015-05-27,269
2015-05-28,170
2015-05-29,273
2015-05-30,163
2015-05-31,90
2015-06-01,132
2015-06-02,117
2015-06-03,122
2015-06-04,122
2015-06-05,130
2015-06-06,137
2015-06-07,78
2015-06-08,68
2015-06-09,62
2015-06-10,76
2015-06-11,61
2015-06-12,59
2015-06-13,58
2015-06-14,72
2015-06-15,72
2015-06-16,91
2015-06-17,76
2015-06-18,80
2015-06-19,88
2015-06-20,97
2015-06-21,76
2015-06-22,107
2015-06-23,82
2015-06-24,88
2015-06-25,84
2015-06-26,73
2015-06-27,88
2015-06-28,64
2015-06-29,62
2015-06-30,64
2015-07-01,74
2015-07-02,65
2015-07-03,60
2015-07-04,58
2015-07-05,66
2015-07-06,66
2015-07-07,66
2015-07-08,73
2015-07-09,69
2015-07-10,71
2015-07-11,51
2015-07-12,65
2015-07-13,73
