Date,Volume
2015-03-01,80
2015-03-02,125
2015-03-03,205
2015-03-04,172
2015-03-05,162
2015-03-06,174
2015-03-07,184
2015-03-08,65
2015-03-09,46
2015-03-10,37
2015-03-11,43
2015-03-12,37
2015-03-13,43
2015-03-14,61
2015-03-15,75
2015-03-16,56
2015-03-17,54
2015-03-18,68
2015-03-19,81
2015-03-20,87
2015-03-21,97
2015-03-22,70
2015-03-23,53
2015-03-24,50
2015-03-25,65
2015-03-26,45
2015-03-27,52
2015-03-28,75
2015-03-29,58
2015-03-30,39
2015-03-31,33
2015-04-01,38
2015-04-02,42
2015-04-03,55
2015-04-04,48
2015-04-05,55
2015-04-06,41
2015-04-07,33
2015-04-08,34
2015-04-09,27
2015-04-10,33
2015-04-11,53
2015-04-12,51
2015-04-13,27
2015-04-14,28
2015-04-15,29
2015-04-16,30
2015-04-17,41
2015-04-18,49
2015-04-19,51
2015-04-20,41
2015-04-21,32
2015-04-22,32
2015-04-23,35
2015-04-24,31
2015-04-25,43
2015-04-26,47
2015-04-27,35
2015-04-28,27
2015-04-29,28
2015-04-30,28
2015-05-01,39
2015-05-02,43
2015-05-03,41
2015-05-04,30
2015-05-05,28
2015-05-06,31
2015-05-07,31
2015-05-08,35
2015-05-09,44
2015-05-10,37
2015-05-11,21
2015-05-12,23
2015-05-13,24
2015-05-14,29
2015-05-15,27
2015-05-16,41
2015-05-17,33
2015-05-18,21
2015-05-19,20
2015-05-20,24
2015-05-21,18
2015-05-22,29
2015-05-23,35
2015-05-24,31
2015-05-25,22
2015-05-26,20
2015-05-27,21
2015-05-28,18
2015-05-29,21
2015-05-30,26
2015-05-31,33
2015-06-01,20
2015-06-02,22
2015-06-03,20
2015-06-04,23
2015-06-05,22
2015-06-06,23
2015-06-07,28
2015-06-08,16
2015-06-09,18
2015-06-10,16
2015-06-11,21
2015-06-12,19
2015-06-13,23
2015-06-14,31
2015-06-15,23
2015-06-16,26
2015-06-17,17
2015-06-18,26
2015-06-19,28
2015-06-20,33
2015-06-21,27
2015-06-22,18
2015-06-23,18
2015-06-24,18
2015-06-25,17
2015-06-26,17
2015-06-27,24
2015-06-28,25
2015-06-29,14
2015-06-30,16
2015-07-01,12
2015-07-02,15
2015-07-03,15
2015-07-04,18
2015-07-05,23
2015-07-06,20
2015-07-07,17
2015-07-08,17
2015-07-09,15
2015-07-10,17
2015-07-11,20
2015-07-12,25
2015-07-13,20
2015-07-14,18
2015-07-15,19
2015-07-16,18
2015-07-17,14
2015-07-18,17
2015-07-19,20
2015-07-20,18
2015-07-21,20
2015-07-22,17
2015-07-23,18
2015-07-24,16
2015-07-25,25
2015-07-26,20
2015-07-27,15
2015-07-28,16
2015-07-29,16
2015-07-30,12
2015-07-31,14
2015-08-01,22
2015-08-02,23
2015-08-03,14
2015-08-04,13
2015-08-05,12
2015-08-06,14
2015-08-07,12
2015-08-08,23
2015-08-09,24
2015-08-10,16
2015-08-11,12
2015-08-12,13
2015-08-13,16
2015-08-14,16
2015-08-15,20
2015-08-16,19
2015-08-17,14
2015-08-18,10
2015-08-19,17
2015-08-20,13
2015-08-21,15
2015-08-22,17
2015-08-23,31
2015-08-24,25
2015-08-25,23
2015-08-26,38
2015-08-27,63
2015-08-28,54
2015-08-30,32
2015-08-31,19
2015-09-01,18
2015-09-02,18
2015-09-03,21
2015-09-04,23
2015-09-05,26
2015-09-06,35
2015-09-07,29
2015-09-08,20
2015-09-09,20
2015-09-10,18
2015-09-11,23
2015-09-12,37
2015-09-13,51
2015-09-14,45
2015-09-15,34
2015-09-16,28
2015-09-17,32
2015-09-18,27
2015-09-19,32
2015-09-20,37
2015-09-21,26
2015-09-22,31
2015-09-23,35
2015-09-24,30
2015-09-25,24
2015-09-26,32
2015-09-27,68
2015-09-28,64
2015-09-29,45
2015-09-30,99
2015-10-01,158
2015-10-02,174
2015-10-03,167
2015-10-04,74
2015-10-05,64
2015-10-06,50
2015-10-07,59
2015-10-08,52
2015-10-09,61
2015-10-10,72
2015-10-11,58
2015-10-12,46
2015-10-13,39
2015-10-14,43
2015-10-15,33
2015-10-16,39
2015-10-17,56
2015-10-18,51
2015-10-19,31
2015-10-20,36
2015-10-21,33
2015-10-22,37
2015-10-23,41
2015-10-24,37
2015-10-25,43
2015-10-26,28
2015-10-27,25
2015-10-28,21
2015-10-29,22
2015-10-30,27
2015-10-31,34
2015-11-01,37
2015-11-02,28
2015-11-03,20
2015-11-04,17
2015-11-05,21
2015-11-06,19
2015-11-07,24
2015-11-08,39
2015-11-09,34
2015-11-10,33
2015-11-11,30
2015-11-12,29
2015-11-13,36
2015-11-14,50
2015-11-15,40
2015-11-16,30
2015-11-17,24
2015-11-18,26
2015-11-19,27
2015-11-20,29
2015-11-21,29
2015-11-22,41
2015-11-23,34
2015-11-24,34
2015-11-25,47
2015-11-26,44
2015-11-27,46
2015-11-28,70
2015-11-29,37
2015-11-30,28
2015-12-01,27
2015-12-02,25
2015-12-03,32
2015-12-04,29
2015-12-05,36
2015-12-06,68
2015-12-07,81
2015-12-08,67
2015-12-09,54
2015-12-10,40
2015-12-11,57
2015-12-12,63
2015-12-13,54
2015-12-14,30
2015-12-15,37
2015-12-16,39
2015-12-17,30
2015-12-18,40
2015-12-19,38
2015-12-20,63
2015-12-21,59
2015-12-22,65
2015-12-23,59
2015-12-24,86
2015-12-25,89
2015-12-26,95
2015-12-27,74
2015-12-28,74
2015-12-29,75
2015-12-30,64
2015-12-31,86
2016-01-01,75
2016-01-02,91
2016-01-03,62
2016-01-04,41
2016-01-05,41
2016-01-06,41
2016-01-07,40
2016-01-08,41
2016-01-09,54
2016-01-10,49
2016-01-11,35
2016-01-12,41
2016-01-13,38
2016-01-14,40
2016-01-15,38
2016-01-16,53
2016-01-17,45
2016-01-18,27
2016-01-19,26
2016-01-20,28
2016-01-21,27
2016-01-22,31
2016-01-23,28
2016-01-24,44
2016-01-25,32
2016-01-26,29
2016-01-27,31
2016-01-28,28
2016-01-29,30
2016-01-30,43
2016-01-31,40
2016-02-01,24
2016-02-02,25
2016-02-03,30
2016-02-04,25
2016-02-05,34
2016-02-06,38
2016-02-07,48
2016-02-08,33
2016-02-09,38
2016-02-10,47
2016-02-11,36
2016-02-12,40
2016-02-13,42
2016-02-14,43
2016-02-15,28
2016-02-16,36
2016-02-17,42
2016-02-18,39
2016-02-19,33
2016-02-20,43
2016-02-21,40
2016-02-22,32
2016-02-23,40
2016-02-24,34
2016-02-25,38
2016-02-27,39
2016-02-28,38
2016-02-29,26
2016-03-01,28
2016-03-02,23
2016-03-03,26
2016-03-04,30
2016-03-05,30
2016-03-06,34
2016-03-07,23
2016-03-08,23
2016-03-09,26
2016-03-10,23
2016-03-11,30
2016-03-12,30
2016-03-13,35
2016-03-14,31
2016-03-15,31
2016-03-16,27
2016-03-17,32
2016-03-18,31
2016-03-19,38
2016-03-20,38
2016-03-21,31
2016-03-22,24
2016-03-23,27
2016-03-24,27
2016-03-25,38
2016-03-26,35
2016-03-27,35
2016-03-28,23
2016-03-29,25
2016-03-30,23
2016-03-31,25
2016-04-01,29
2016-04-02,29
2016-04-03,37
2016-04-04,27
2016-04-05,38
2016-04-06,27
2016-04-07,31
2016-04-08,33
2016-04-09,39
2016-04-10,36
2016-04-11,34
2016-04-12,27
2016-04-13,24
2016-04-14,27
2016-04-15,37
2016-04-16,42
2016-04-17,41
2016-04-18,29
2016-04-19,31
2016-04-20,23
2016-04-21,26
2016-04-22,29
2016-04-23,39
2016-04-24,100
2016-04-25,112
2016-04-26,82
2016-04-27,74
2016-04-28,71
2016-04-29,73
2016-04-30,80
2016-05-01,64
2016-05-02,41
2016-05-03,40
2016-05-04,35
2016-05-05,38
2016-05-06,43
2016-05-07,47
2016-05-08,52
2016-05-09,39
2016-05-10,40
2016-05-11,45
2016-05-12,36
2016-05-13,40
2016-05-14,53
2016-05-15,50
2016-05-16,29
2016-05-17,26
2016-05-18,30
2016-05-19,39
2016-05-20,40
2016-05-21,46
2016-05-22,43
2016-05-23,29
2016-05-24,27
2016-05-25,34
2016-05-26,32
2016-05-27,37
2016-05-28,38
2016-05-29,49
2016-05-30,33
2016-05-31,33
2016-06-01,33
2016-06-02,33
2016-06-03,43
2016-06-04,59
2016-06-05,45
2016-06-06,36
2016-06-07,35
2016-06-08,29
2016-06-09,31
2016-06-10,28
2016-06-11,35
2016-06-12,40
2016-06-13,25
2016-06-14,27
2016-06-15,30
2016-06-16,32
2016-06-17,40
2016-06-18,40
2016-06-19,40
2016-06-20,28
2016-06-21,24
2016-06-22,37
2016-06-23,32
2016-06-24,34
2016-06-25,40
2016-06-26,37
2016-06-27,27
2016-06-28,23
2016-06-29,25
2016-06-30,24
2016-07-01,29
2016-07-02,34
2016-07-03,33
2016-07-04,25
2016-07-05,26
2016-07-06,26
2016-07-07,23
2016-07-08,29
2016-07-09,34
2016-07-10,36
2016-07-11,25
2016-07-12,23
2016-07-13,23
2016-07-14,26
2016-07-15,24
2016-07-16,23
2016-07-17,32
2016-07-18,26
2016-07-19,22
2016-07-20,19
2016-07-21,20
2016-07-22,22
2016-07-23,27
2016-07-24,33
2016-07-25,23
2016-07-26,28
2016-07-27,29
2016-07-28,33
2016-07-29,33
2016-07-30,40
2016-07-31,28
2016-08-01,24
2016-08-02,20
2016-08-03,20
2016-08-04,23
2016-08-05,20
2016-08-06,23
