Date,Volume
2015-03-01,79
2015-03-02,70
2015-03-03,73
2015-03-04,68
2015-03-05,75
2015-03-06,80
2015-03-07,82
2015-03-08,78
2015-03-09,67
2015-03-10,65
2015-03-11,67
2015-03-12,68
2015-03-13,71
2015-03-14,78
2015-03-15,77
2015-03-16,68
2015-03-17,65
2015-03-18,66
2015-03-19,68
2015-03-20,71
2015-03-21,75
2015-03-22,85
2015-03-23,77
2015-03-24,75
2015-03-25,74
2015-03-26,128
2015-03-27,86
2015-03-28,99
2015-03-29,86
2015-03-30,76
2015-03-31,74
2015-04-01,78
2015-04-02,86
2015-04-03,87
2015-04-04,114
2015-04-05,85
2015-04-06,78
2015-04-07,88
2015-04-08,83
2015-04-09,85
2015-04-10,87
2015-04-11,98
2015-04-12,88
2015-04-13,80
2015-04-14,69
2015-04-15,67
2015-04-16,72
2015-04-17,72
2015-04-18,101
2015-04-19,81
2015-04-20,71
2015-04-21,75
2015-04-22,72
2015-04-23,75
2015-04-24,72
2015-04-25,82
2015-04-26,79
2015-04-27,65
2015-04-28,62
2015-04-29,64
2015-04-30,66
2015-05-01,72
2015-05-02,82
2015-05-03,78
2015-05-04,68
2015-05-05,69
2015-05-06,69
2015-05-07,74
2015-05-08,72
2015-05-09,84
2015-05-10,79
2015-05-11,63
2015-05-12,61
2015-05-13,65
2015-05-14,69
2015-05-15,73
2015-05-16,76
2015-05-17,78
2015-05-18,69
2015-05-19,69
2015-05-20,65
2015-05-21,69
2015-05-22,71
2015-05-23,79
2015-05-24,80
2015-05-25,73
2015-05-26,69
2015-05-27,72
2015-05-28,72
2015-05-29,74
2015-05-30,78
2015-05-31,92
2015-06-01,76
2015-06-02,92
2015-06-03,90
2015-06-04,92
2015-06-05,110
2015-06-06,110
2015-06-07,90
2015-06-08,75
2015-06-09,76
2015-06-10,78
2015-06-11,79
2015-06-12,83
2015-06-13,84
2015-06-14,83
2015-06-15,68
2015-06-16,69
2015-06-17,66
2015-06-18,76
2015-06-19,75
2015-06-20,74
2015-06-21,83
2015-06-22,75
2015-06-23,71
