Date,Volume
2015-03-01,24
2015-03-02,16
2015-03-03,15
2015-03-04,16
2015-03-05,21
2015-03-06,13
2015-03-07,18
2015-03-08,60
2015-03-09,41
2015-03-10,30
2015-03-11,37
2015-03-12,171
2015-03-13,137
2015-03-14,152
2015-03-15,66
2015-03-16,57
2015-03-17,53
2015-03-18,53
2015-03-19,38
2015-03-20,41
2015-03-21,61
2015-03-22,50
2015-03-23,27
2015-03-24,24
2015-03-25,24
2015-03-26,26
2015-03-27,22
2015-03-28,31
2015-03-29,37
2015-03-30,29
2015-03-31,27
2015-04-01,28
2015-04-02,22
2015-04-03,30
2015-04-04,38
2015-04-05,41
2015-04-06,36
2015-04-07,28
2015-04-08,18
2015-04-09,30
2015-04-10,42
2015-04-11,41
2015-04-12,33
2015-04-13,19
2015-04-14,19
2015-04-15,24
2015-04-16,24
2015-04-17,27
2015-04-18,44
2015-04-19,35
2015-04-20,26
2015-04-21,28
2015-04-22,27
2015-04-23,30
2015-04-24,29
2015-04-25,35
2015-04-26,34
2015-04-27,19
2015-04-28,36
2015-04-29,34
2015-04-30,29
2015-05-01,27
2015-05-02,23
2015-05-03,29
2015-05-04,29
2015-05-05,17
2015-05-06,19
2015-05-07,20
2015-05-08,22
2015-05-09,21
2015-05-10,32
2015-05-11,16
2015-05-12,14
2015-05-13,8
2015-05-14,21
2015-05-15,17
2015-05-16,24
2015-05-17,30
2015-05-18,18
2015-05-19,14
2015-05-20,12
2015-05-21,14
2015-05-22,12
2015-05-23,15
2015-05-24,28
2015-05-25,26
2015-05-26,19
2015-05-27,29
2015-05-28,21
2015-05-29,21
2015-05-30,21
2015-05-31,20
2015-06-01,10
2015-06-02,14
2015-06-03,7
2015-06-04,10
2015-06-05,13
2015-06-06,12
2015-06-07,20
2015-06-08,35
2015-06-09,29
2015-06-10,24
2015-06-11,38
2015-06-12,30
2015-06-13,29
2015-06-14,23
2015-06-15,15
2015-06-16,12
2015-06-17,19
2015-06-18,12
2015-06-19,12
2015-06-20,24
2015-06-21,20
2015-06-22,19
2015-06-23,15
2015-06-24,15
2015-06-25,13
2015-06-26,15
2015-06-27,13
2015-06-28,19
2015-06-29,16
2015-06-30,15
2015-07-01,17
2015-07-02,12
2015-07-03,15
2015-07-04,23
2015-07-05,17
2015-07-06,29
2015-07-07,22
2015-07-08,22
2015-07-09,11
2015-07-10,31
2015-07-11,18
2015-07-12,17
2015-07-13,10
2015-07-14,23
2015-07-15,15
2015-07-16,14
2015-07-17,15
2015-07-18,19
2015-07-19,16
2015-07-20,14
2015-07-21,12
2015-07-22,22
2015-07-23,16
2015-07-24,18
2015-07-25,9
2015-07-26,14
2015-07-27,10
2015-07-28,6
2015-07-29,8
2015-07-30,7
2015-07-31,14
2015-08-01,9
2015-08-02,16
2015-08-03,9
2015-08-04,8
2015-08-05,9
2015-08-06,5
2015-08-07,9
2015-08-08,10
2015-08-09,23
2015-08-10,28
2015-08-11,28
2015-08-12,44
2015-08-13,42
2015-08-14,44
2015-08-15,51
2015-08-16,22
2015-08-17,14
2015-08-18,18
2015-08-19,15
2015-08-20,19
2015-08-21,15
2015-08-22,16
2015-08-23,16
2015-08-24,11
2015-08-25,19
2015-08-26,15
2015-08-27,7
2015-08-28,9
2015-08-30,17
2015-08-31,11
2015-09-01,10
2015-09-02,16
2015-09-03,11
2015-09-04,17
2015-09-05,17
2015-09-06,16
2015-09-07,7
2015-09-08,8
2015-09-09,9
2015-09-10,11
2015-09-11,11
2015-09-12,22
2015-09-13,15
2015-09-14,18
2015-09-15,8
2015-09-16,7
2015-09-17,7
2015-09-18,9
2015-09-19,20
2015-09-20,17
2015-09-21,8
2015-09-22,9
2015-09-23,6
2015-09-24,11
2015-09-25,10
2015-09-26,12
2015-09-27,14
2015-09-28,21
2015-09-29,20
2015-09-30,15
2015-10-01,24
2015-10-02,24
2015-10-03,24
2015-10-04,12
2015-10-05,20
2015-10-06,25
2015-10-07,14
2015-10-08,18
2015-10-09,13
2015-10-10,28
2015-10-11,15
2015-10-12,8
2015-10-13,9
2015-10-14,7
2015-10-15,13
2015-10-16,11
2015-10-17,26
2015-10-18,17
2015-10-19,8
2015-10-20,4
2015-10-21,5
2015-10-22,5
2015-10-23,6
2015-10-24,9
2015-10-25,16
2015-10-26,15
2015-10-27,9
2015-10-28,5
2015-10-29,14
2015-10-30,12
2015-10-31,14
2015-11-01,16
2015-11-02,4
2015-11-03,10
2015-11-04,15
2015-11-05,14
2015-11-06,16
2015-11-07,13
2015-11-08,49
2015-11-09,37
2015-11-10,24
2015-11-11,24
2015-11-12,163
2015-11-13,119
2015-11-14,133
2015-11-15,45
2015-11-16,25
2015-11-17,24
2015-11-18,20
2015-11-19,22
2015-11-20,24
2015-11-21,27
2015-11-22,47
2015-11-23,34
2015-11-24,57
2015-11-25,58
2015-11-26,44
2015-11-27,57
2015-11-28,57
2015-11-29,36
2015-11-30,32
2015-12-01,44
2015-12-02,26
2015-12-03,37
2015-12-04,29
2015-12-05,35
2015-12-06,37
2015-12-07,29
2015-12-08,31
2015-12-09,29
2015-12-10,28
2015-12-11,33
2015-12-12,40
2015-12-13,42
2015-12-14,42
2015-12-15,44
2015-12-16,54
2015-12-17,63
2015-12-18,68
2015-12-19,86
2015-12-20,47
2015-12-21,46
2015-12-22,50
2015-12-23,59
2015-12-24,46
2015-12-25,44
2015-12-26,44
2015-12-27,49
2015-12-28,28
2015-12-29,60
2015-12-30,64
2015-12-31,36
2016-01-01,60
2016-01-02,47
2016-01-03,47
2016-01-04,36
2016-01-05,37
2016-01-06,39
2016-01-07,33
2016-01-08,30
2016-01-09,38
2016-01-10,36
2016-01-11,24
2016-01-12,34
2016-01-13,36
2016-01-14,26
2016-01-15,22
2016-01-16,37
2016-01-17,36
2016-01-18,37
2016-01-19,30
2016-01-20,19
2016-01-21,34
2016-01-22,27
2016-01-23,50
2016-01-24,41
2016-01-25,28
2016-01-26,30
2016-01-27,37
2016-01-28,48
2016-01-29,47
2016-01-30,41
2016-01-31,38
2016-02-01,23
2016-02-02,38
2016-02-03,38
2016-02-04,42
2016-02-05,35
2016-02-06,58
2016-02-07,42
2016-02-08,21
2016-02-09,35
2016-02-10,26
2016-02-11,28
2016-02-12,23
2016-02-13,29
2016-02-14,34
2016-02-15,16
2016-02-16,27
2016-02-17,24
2016-02-18,22
2016-02-19,18
2016-02-20,20
2016-02-21,26
2016-02-22,17
2016-02-23,18
2016-02-24,14
2016-02-25,23
2016-02-27,13
2016-02-28,28
2016-02-29,16
2016-03-01,19
2016-03-02,20
2016-03-03,19
2016-03-04,22
2016-03-05,20
2016-03-06,29
2016-03-07,20
2016-03-08,19
2016-03-09,19
2016-03-10,17
2016-03-11,27
2016-03-12,29
2016-03-13,30
2016-03-14,24
2016-03-15,33
2016-03-16,30
2016-03-17,24
2016-03-18,26
2016-03-19,46
2016-03-20,38
2016-03-21,38
2016-03-22,36
2016-03-23,28
2016-03-24,32
2016-03-25,43
2016-03-26,38
2016-03-27,41
2016-03-28,29
2016-03-29,31
2016-03-30,25
2016-03-31,31
2016-04-01,26
2016-04-02,36
2016-04-03,38
2016-04-04,26
2016-04-05,29
2016-04-06,29
2016-04-07,21
2016-04-08,23
2016-04-09,21
2016-04-10,32
2016-04-11,18
2016-04-12,22
2016-04-13,15
2016-04-14,25
2016-04-15,28
2016-04-16,24
2016-04-17,31
2016-04-18,23
2016-04-19,31
2016-04-20,23
2016-04-21,21
2016-04-22,44
2016-04-23,21
2016-04-24,28
2016-04-25,12
2016-04-26,24
2016-04-27,17
2016-04-28,23
2016-04-29,18
2016-04-30,31
2016-05-01,31
2016-05-02,17
2016-05-03,24
2016-05-04,16
2016-05-05,16
2016-05-06,17
2016-05-07,47
2016-05-08,72
2016-05-09,28
2016-05-10,14
2016-05-11,12
2016-05-12,8
2016-05-13,13
2016-05-14,27
2016-05-15,66
2016-05-16,40
2016-05-17,30
2016-05-18,25
2016-05-19,28
2016-05-20,27
2016-05-21,42
2016-05-22,70
2016-05-23,40
2016-05-24,29
2016-05-25,22
2016-05-26,26
2016-05-27,26
2016-05-28,32
2016-05-29,69
2016-05-30,35
2016-05-31,36
2016-06-01,23
2016-06-02,23
2016-06-03,25
2016-06-04,28
2016-06-05,47
2016-06-06,34
2016-06-07,29
2016-06-08,30
2016-06-09,28
2016-06-10,24
2016-06-11,34
2016-06-12,54
2016-06-13,35
2016-06-14,37
2016-06-15,42
2016-06-16,43
2016-06-17,54
