Date,Volume
2015-03-01,18
2015-03-02,12
2015-03-03,12
2015-03-04,14
2015-03-05,15
2015-03-06,14
2015-03-07,16
2015-03-08,18
2015-03-09,12
2015-03-10,13
2015-03-11,13
2015-03-12,13
2015-03-13,15
2015-03-14,15
2015-03-15,18
2015-03-16,13
2015-03-17,15
2015-03-18,13
2015-03-19,15
2015-03-20,14
2015-03-21,18
2015-03-22,17
2015-03-23,13
2015-03-24,13
2015-03-25,14
2015-03-26,11
2015-03-27,12
2015-03-28,15
2015-03-29,19
2015-03-30,14
2015-03-31,14
2015-04-01,16
2015-04-02,17
2015-04-03,18
2015-04-04,18
2015-04-05,21
2015-04-06,14
2015-04-07,13
2015-04-08,15
2015-04-09,15
2015-04-10,15
2015-04-11,17
2015-04-12,25
2015-04-13,21
2015-04-14,23
2015-04-15,23
2015-04-16,33
2015-04-17,19
2015-04-18,34
2015-04-19,32
2015-04-20,22
2015-04-21,22
2015-04-22,22
2015-04-23,22
2015-04-24,24
2015-04-25,28
2015-04-26,30
2015-04-27,20
2015-04-28,19
2015-04-29,22
2015-04-30,19
2015-05-01,22
2015-05-02,18
2015-05-03,29
2015-05-04,16
2015-05-05,20
2015-05-06,19
2015-05-07,19
2015-05-08,15
2015-05-09,26
2015-05-10,34
2015-05-11,23
2015-05-12,25
2015-05-13,26
2015-05-14,27
2015-05-15,34
2015-05-16,32
2015-05-17,31
2015-05-18,18
2015-05-19,19
2015-05-20,34
2015-05-21,24
2015-05-22,24
2015-05-23,25
2015-05-24,30
2015-05-25,27
2015-05-26,26
2015-05-27,25
2015-05-28,31
2015-05-29,14
2015-05-30,13
2015-05-31,27
2015-06-01,22
2015-06-02,24
2015-06-03,24
2015-06-04,42
2015-06-05,102
2015-06-06,39
2015-06-07,44
2015-06-08,67
2015-06-09,31
2015-06-10,72
2015-06-11,33
2015-06-12,80
2015-06-13,31
2015-06-14,41
2015-06-15,63
2015-06-16,32
2015-06-17,93
2015-06-18,19
2015-06-19,15
2015-06-20,14
2015-06-21,24
2015-06-22,24
2015-06-23,25
2015-06-24,27
2015-06-25,56
2015-06-26,97
2015-06-27,32
2015-06-28,15
2015-06-29,13
2015-06-30,12
2015-07-01,16
2015-07-02,16
2015-07-03,15
2015-07-04,17
2015-07-05,14
2015-07-06,12
2015-07-07,12
2015-07-08,10
2015-07-09,12
2015-07-10,11
2015-07-11,12
2015-07-12,11
2015-07-13,9
2015-07-14,9
2015-07-15,8
2015-07-16,8
2015-07-17,8
2015-07-18,8
2015-07-19,9
2015-07-20,8
2015-07-21,8
2015-07-22,8
2015-07-23,8
2015-07-24,7
2015-07-25,8
2015-07-26,7
2015-07-27,6
2015-07-28,6
2015-07-29,6
2015-07-30,5
2015-07-31,6
2015-08-01,7
2015-08-02,7
2015-08-03,6
2015-08-04,6
2015-08-05,6
2015-08-06,6
2015-08-07,6
2015-08-08,7
2015-08-09,7
2015-08-10,6
2015-08-11,6
2015-08-12,7
2015-08-13,7
2015-08-14,6
2015-08-15,6
2015-08-16,6
2015-08-17,6
2015-08-18,6
2015-08-19,5
2015-08-20,6
2015-08-21,6
2015-08-22,6
2015-08-23,6
2015-08-24,5
2015-08-25,5
2015-08-26,5
2015-08-27,5
2015-08-28,5
2015-08-30,6
2015-08-31,5
2015-09-01,5
2015-09-02,5
2015-09-03,5
2015-09-04,5
2015-09-05,6
2015-09-06,6
2015-09-07,5
2015-09-08,5
2015-09-09,5
2015-09-10,5
2015-09-11,5
2015-09-12,6
2015-09-13,7
2015-09-14,6
2015-09-15,6
2015-09-16,5
2015-09-17,6
2015-09-18,6
2015-09-19,7
2015-09-20,9
2015-09-21,7
2015-09-22,8
2015-09-23,8
2015-09-24,9
2015-09-25,14
2015-09-26,14
2015-09-27,10
2015-09-28,8
2015-09-29,9
2015-09-30,8
2015-10-01,8
2015-10-02,8
2015-10-03,10
2015-10-04,11
2015-10-05,10
2015-10-06,11
2015-10-07,11
2015-10-08,11
2015-10-09,11
2015-10-10,11
2015-10-11,10
2015-10-12,8
2015-10-13,8
2015-10-14,10
2015-10-15,9
2015-10-16,9
2015-10-17,10
2015-10-18,11
2015-10-19,8
2015-10-20,10
2015-10-21,10
2015-10-22,10
2015-10-23,11
2015-10-24,11
2015-10-25,20
2015-10-26,20
2015-10-27,32
2015-10-28,56
2015-10-29,55
2015-10-30,40
2015-10-31,48
2015-11-01,22
2015-11-02,18
2015-11-03,22
2015-11-04,20
2015-11-05,23
2015-11-06,19
2015-11-07,23
2015-11-08,21
2015-11-09,15
2015-11-10,18
2015-11-11,18
2015-11-12,19
