Date,Volume
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,0
2015-11-07,0
2015-12-06,3
2015-12-07,4
2015-12-08,1
2015-12-09,2
2015-12-10,3
2015-12-11,1
2015-12-12,3
2015-12-13,2
2015-12-14,1
2015-12-15,2
2015-12-16,1
2015-12-17,1
2015-12-18,1
2015-12-19,2
2015-12-20,3
2015-12-21,1
2015-12-22,0
2015-12-23,1
2015-12-24,1
2015-12-25,0
2015-12-26,0
2015-12-27,2
2015-12-28,1
2015-12-29,1
2015-12-30,0
2015-12-31,0
2016-01-01,1
2016-01-02,1
2016-01-03,2
2016-01-04,0
2016-01-05,0
2016-01-06,1
2016-01-07,1
2016-01-08,1
2016-01-09,1
2016-01-10,1
2016-01-11,1
2016-01-12,1
2016-01-13,1
2016-01-14,1
2016-01-15,0
2016-01-16,1
2016-01-17,1
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,1
2016-01-24,1
2016-01-25,0
2016-01-26,1
2016-01-27,0
2016-01-28,0
2016-01-29,1
2016-01-30,0
2016-01-31,1
2016-02-01,0
2016-02-02,1
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,1
2016-02-08,1
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,2
2016-02-15,2
2016-02-16,3
2016-02-17,4
2016-02-18,2
2016-02-19,1
2016-02-20,2
2016-02-21,4
2016-02-22,3
2016-02-23,5
2016-02-24,4
2016-02-25,8
2016-02-27,1
2016-02-28,4
2016-02-29,6
2016-03-01,4
2016-03-02,4
2016-03-03,4
2016-03-04,4
2016-03-05,6
2016-03-06,4
2016-03-07,4
2016-03-08,4
2016-03-09,2
2016-03-10,2
2016-03-11,2
2016-03-12,4
2016-03-13,3
2016-03-14,2
2016-03-15,1
2016-03-16,1
2016-03-17,2
2016-03-18,3
2016-03-19,4
2016-03-20,6
2016-03-21,3
2016-03-22,3
2016-03-23,3
2016-03-24,2
2016-03-25,3
2016-03-26,3
2016-03-27,5
2016-03-28,2
2016-03-29,3
2016-03-30,3
2016-03-31,2
2016-04-01,5
2016-04-02,5
2016-04-03,3
2016-04-04,3
2016-04-05,3
2016-04-06,3
2016-04-07,3
2016-04-08,1
2016-04-09,3
2016-04-10,3
2016-04-11,1
2016-04-12,3
2016-04-13,1
2016-04-14,1
2016-04-15,1
2016-04-16,3
2016-04-17,3
2016-04-18,1
2016-04-19,3
2016-04-20,1
2016-04-21,4
2016-04-22,3
2016-04-23,3
2016-04-24,3
2016-04-25,2
2016-04-26,2
2016-04-27,2
2016-04-28,3
2016-04-29,2
2016-04-30,3
2016-05-01,3
2016-05-02,1
2016-05-03,1
2016-05-04,2
2016-05-05,2
2016-05-06,1
2016-05-07,2
2016-05-08,3
2016-05-09,3
2016-05-10,3
2016-05-11,3
2016-05-12,3
2016-05-13,4
2016-05-14,3
2016-05-15,7
2016-05-16,7
2016-05-17,16
2016-05-18,14
2016-05-19,4
2016-05-20,7
2016-05-21,11
2016-05-22,5
2016-05-23,3
2016-05-24,3
2016-05-25,3
2016-05-26,3
2016-05-27,2
2016-05-28,3
2016-05-29,5
2016-05-30,5
2016-05-31,3
2016-06-01,3
2016-06-02,5
2016-06-03,5
2016-06-04,6
2016-06-05,4
2016-06-06,3
2016-06-07,2
2016-06-08,2
2016-06-09,2
2016-06-10,3
2016-06-11,3
2016-06-12,6
2016-06-13,4
2016-06-14,4
2016-06-15,3
2016-06-16,4
2016-06-17,7
2016-06-18,7
2016-06-19,7
2016-06-20,5
2016-06-21,4
2016-06-22,5
2016-06-23,4
2016-06-24,5
2016-06-25,7
2016-06-26,6
2016-06-27,6
2016-06-28,3
2016-06-29,3
2016-06-30,3
2016-07-01,4
2016-07-02,4
2016-07-03,16
2016-07-04,18
2016-07-05,16
2016-07-06,20
2016-07-07,14
2016-07-08,18
2016-07-09,26
2016-07-10,14
2016-07-11,10
2016-07-12,7
2016-07-13,8
2016-07-14,8
2016-07-15,7
2016-07-16,11
2016-07-17,46
2016-07-18,36
2016-07-19,32
2016-07-20,36
2016-07-21,50
2016-07-22,80
2016-07-23,190
2016-07-24,100
2016-07-25,61
2016-07-26,62
2016-07-27,51
2016-07-28,46
2016-07-29,47
2016-07-30,56
2016-07-31,75
2016-08-01,50
2016-08-02,48
2016-08-03,45
2016-08-04,43
2016-08-05,51
2016-08-06,54
2016-08-07,61
2016-08-08,43
2016-08-09,35
2016-08-10,34
2016-08-11,35
2016-08-12,40
2016-08-13,44
2016-08-14,51
2016-08-15,34
2016-08-16,29
2016-08-17,28
2016-08-18,24
2016-08-19,27
2016-08-20,36
2016-08-21,53
2016-08-22,36
2016-08-23,35
2016-08-24,33
2016-08-26,82
2016-08-27,115
2016-08-28,66
2016-08-29,47
2016-08-30,43
2016-08-31,46
2016-09-01,38
2016-09-02,39
2016-09-03,53
2016-09-04,57
2016-09-05,33
2016-09-06,31
2016-09-07,38
2016-09-08,38
2016-09-09,39
2016-09-10,47
2016-09-11,49
2016-09-12,36
2016-09-13,38
2016-09-14,31
2016-09-15,27
2016-09-16,34
2016-09-17,40
2016-09-18,42
2016-09-19,26
2016-09-20,21
2016-09-21,23
2016-09-22,25
2016-09-23,23
2016-09-24,30
2016-09-25,36
2016-09-26,24
2016-09-27,24
2016-09-28,23
2016-09-29,22
2016-09-30,22
2016-10-01,30
2016-10-02,32
2016-10-03,20
2016-10-04,20
2016-10-05,22
2016-10-06,21
2016-10-07,22
2016-10-08,26
2016-10-09,31
2016-10-10,26
2016-10-11,26
2016-10-12,24
2016-10-13,23
2016-10-14,26
2016-10-15,29
2016-10-16,31
2016-10-17,23
2016-10-18,21
2016-10-19,26
2016-10-20,21
2016-10-21,24
2016-10-22,27
2016-10-23,28
2016-10-24,21
2016-10-25,20
2016-10-26,21
2016-10-27,21
2016-10-28,21
2016-10-29,32
2016-10-30,33
2016-10-31,24
2016-11-01,28
2016-11-02,25
2016-11-03,25
2016-11-04,31
2016-11-05,33
2016-11-06,31
2016-11-07,18
2016-11-08,18
2016-11-09,18
2016-11-10,20
2016-11-11,24
2016-11-12,26
2016-11-13,32
2016-11-14,19
2016-11-15,18
2016-11-16,22
2016-11-17,21
2016-11-18,22
2016-11-19,28
2016-11-20,50
2016-11-21,46
2016-11-22,51
2016-11-23,55
2016-11-24,74
2016-11-25,83
2016-11-26,91
2016-11-27,47
2016-11-28,28
2016-11-29,28
2016-11-30,25
2016-12-01,27
2016-12-02,28
2016-12-03,33
2016-12-04,34
2016-12-05,25
2016-12-06,23
2016-12-07,21
2016-12-08,20
2016-12-09,23
2016-12-10,34
2016-12-11,36
2016-12-12,39
2016-12-13,29
2016-12-14,23
2016-12-15,23
2016-12-16,26
2016-12-17,33
2016-12-18,30
2016-12-19,22
2016-12-20,19
2016-12-21,19
2016-12-22,21
2016-12-23,22
2016-12-24,26
2016-12-25,41
2016-12-26,32
2016-12-27,37
2016-12-28,40
2016-12-29,42
2016-12-30,36
2016-12-31,44
2017-01-01,62
2017-01-02,46
2017-01-03,62
2017-01-04,86
2017-01-05,65
2017-01-06,69
2017-01-07,72
2017-01-08,50
2017-01-09,37
2017-01-10,43
2017-01-11,41
2017-01-12,39
2017-01-13,34
2017-01-14,43
2017-01-15,28
2017-01-16,16
2017-01-17,17
2017-01-18,16
2017-01-19,11
2017-01-20,14
2017-01-21,17
2017-01-22,18
2017-01-23,11
2017-01-24,12
2017-01-25,10
2017-01-26,9
2017-01-27,9
2017-01-28,12
2017-01-29,14
2017-01-30,7
2017-01-31,9
2017-02-01,9
2017-02-02,7
2017-02-03,9
2017-02-04,11
2017-02-05,13
2017-02-06,9
2017-02-07,8
2017-02-08,10
2017-02-09,7
2017-02-10,7
2017-02-11,13
2017-02-12,11
2017-02-13,5
2017-02-14,6
2017-02-15,5
2017-02-16,6
2017-02-17,7
2017-02-18,9
2017-02-19,10
2017-02-20,8
2017-02-21,7
2017-02-23,50
2017-02-24,58
2017-02-25,60
2017-02-26,9
2017-02-27,6
2017-02-28,6
2017-03-01,6
2017-03-02,5
2017-03-03,5
2017-03-04,9
2017-03-05,7
2017-03-06,4
2017-03-07,3
2017-03-08,3
2017-03-09,3
2017-03-10,3
2017-03-11,6
2017-03-12,7
2017-03-13,6
2017-03-14,4
2017-03-15,5
2017-03-16,4
2017-03-17,6
2017-03-18,6
2017-03-19,8
2017-03-20,6
2017-03-21,6
2017-03-22,6
2017-03-23,6
2017-03-24,6
2017-03-25,8
2017-03-26,7
2017-03-27,5
2017-03-28,4
2017-03-29,4
2017-03-30,3
2017-03-31,4
