Date,Volume
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-10-25,1
2015-10-26,1
2015-10-27,1
2015-10-28,1
2015-10-29,1
2015-10-30,1
2015-10-31,1
2015-11-08,4
2015-11-09,4
2015-11-10,4
2015-11-11,6
2015-11-12,8
2015-11-13,6
2015-11-14,8
2015-11-15,28
2015-11-16,74
2015-11-17,252
2015-11-18,289
2015-11-19,214
2015-11-20,196
2015-11-21,196
2015-11-22,47
2015-11-23,69
2015-11-24,113
2015-11-25,111
2015-11-26,74
2015-11-27,61
2015-11-28,69
2015-11-29,64
2015-11-30,105
2015-12-01,194
2015-12-02,169
2015-12-03,111
2015-12-04,97
2015-12-05,102
2015-12-06,74
2015-12-07,118
2015-12-08,177
2015-12-09,156
2015-12-10,100
2015-12-11,85
2015-12-12,85
2015-12-13,77
2015-12-14,111
2015-12-15,171
2015-12-16,156
2015-12-17,102
2015-12-18,91
2015-12-19,89
2015-12-20,89
2015-12-21,128
2015-12-22,199
2015-12-23,199
2015-12-24,138
2015-12-25,131
2015-12-26,119
2015-12-27,98
2015-12-28,144
2015-12-29,220
2015-12-30,198
2015-12-31,131
2016-01-01,129
2016-01-02,115
2016-01-03,100
2016-01-04,142
2016-01-05,212
2016-01-06,202
2016-01-07,131
2016-01-08,112
2016-01-09,108
2016-01-10,47
2016-01-11,39
2016-01-12,36
2016-01-13,32
2016-01-14,31
2016-01-15,30
2016-01-16,34
2016-01-17,36
2016-01-18,28
2016-01-19,25
2016-01-20,24
2016-01-21,23
2016-01-22,24
2016-01-23,29
2016-01-24,27
2016-01-25,22
2016-01-26,19
2016-01-27,19
2016-01-28,19
2016-01-29,20
2016-01-30,23
2016-01-31,22
2016-02-01,17
2016-02-02,16
2016-02-03,16
2016-02-04,15
2016-02-05,17
2016-02-06,19
2016-02-07,19
2016-02-08,15
2016-02-09,14
2016-02-10,14
2016-02-11,14
2016-02-12,15
2016-02-13,16
2016-02-14,15
2016-02-15,11
2016-02-16,11
2016-02-17,11
2016-02-18,11
2016-02-19,12
2016-02-20,13
2016-02-21,15
2016-02-22,13
2016-02-23,12
2016-02-24,13
2016-02-25,13
2016-02-27,43
2016-02-28,14
2016-02-29,10
2016-03-01,10
2016-03-02,9
2016-03-03,12
2016-03-04,12
2016-03-05,13
2016-03-06,15
2016-03-07,12
2016-03-08,11
2016-03-09,12
2016-03-10,13
2016-03-11,13
2016-03-12,16
2016-03-13,15
2016-03-14,13
2016-03-15,13
2016-03-16,12
2016-03-17,13
2016-03-18,13
2016-03-19,16
2016-03-20,13
2016-03-21,10
2016-03-22,10
2016-03-23,11
2016-03-24,12
2016-03-25,11
2016-03-26,13
2016-03-27,12
2016-03-28,8
2016-03-29,8
2016-03-30,8
2016-03-31,8
2016-04-01,8
2016-04-02,11
2016-04-03,11
2016-04-04,8
2016-04-05,8
2016-04-06,8
2016-04-07,7
2016-04-08,9
2016-04-09,10
2016-04-10,11
2016-04-11,9
2016-04-12,9
2016-04-13,10
2016-04-14,9
2016-04-15,9
2016-04-16,10
2016-04-17,10
2016-04-18,7
2016-04-19,7
2016-04-20,8
2016-04-21,8
2016-04-22,7
2016-04-23,9
2016-04-24,9
2016-04-25,7
2016-04-26,8
2016-04-27,8
2016-04-28,8
2016-04-29,9
2016-04-30,9
2016-05-01,10
2016-05-02,8
2016-05-03,7
2016-05-04,7
2016-05-05,8
2016-05-06,8
2016-05-07,10
2016-05-08,8
2016-05-09,6
2016-05-10,5
2016-05-11,6
2016-05-12,5
2016-05-13,6
2016-05-14,8
2016-05-15,8
2016-05-16,6
2016-05-17,7
2016-05-18,5
2016-05-19,6
2016-05-20,6
2016-05-21,8
2016-05-22,8
2016-05-23,6
2016-05-24,5
2016-05-25,6
2016-05-26,5
2016-05-27,6
2016-05-28,7
2016-05-29,8
2016-05-30,6
2016-05-31,6
2016-06-01,5
2016-06-02,6
2016-06-03,6
2016-06-04,6
2016-06-05,8
2016-06-06,7
2016-06-07,8
2016-06-08,8
2016-06-09,7
2016-06-10,9
2016-06-11,9
2016-06-12,8
2016-06-13,7
2016-06-14,7
2016-06-15,6
2016-06-16,7
2016-06-17,6
2016-06-18,8
2016-06-19,10
2016-06-20,8
2016-06-21,8
2016-06-22,9
2016-06-23,8
2016-06-24,9
2016-06-25,10
2016-06-26,14
2016-06-27,12
2016-06-28,11
2016-06-29,12
2016-06-30,13
2016-07-01,12
2016-07-02,45
2016-07-03,30
2016-07-04,19
2016-07-05,15
2016-07-06,12
2016-07-07,12
2016-07-08,12
2016-07-09,21
2016-07-10,25
2016-07-11,16
2016-07-12,13
2016-07-13,11
2016-07-14,11
2016-07-15,12
2016-07-16,17
2016-07-17,22
2016-07-18,17
2016-07-19,15
2016-07-20,13
2016-07-21,12
2016-07-22,12
2016-07-23,17
2016-07-24,17
2016-07-25,11
2016-07-26,10
2016-07-27,8
2016-07-28,9
2016-07-29,9
2016-07-30,12
2016-07-31,14
2016-08-01,10
2016-08-02,9
2016-08-03,8
2016-08-04,7
2016-08-05,8
2016-08-06,11
2016-08-07,10
2016-08-08,6
2016-08-09,6
2016-08-10,7
2016-08-11,7
2016-08-12,7
2016-08-13,8
2016-08-14,9
2016-08-15,6
2016-08-16,6
2016-08-17,6
2016-08-18,6
2016-08-19,6
2016-08-20,7
2016-08-21,8
2016-08-22,5
2016-08-23,6
2016-08-24,6
2016-08-26,37
2016-08-27,41
2016-08-28,6
2016-08-29,5
