Date,Volume
2016-09-25,100
2016-09-26,160
2016-09-27,357
2016-09-28,267
2016-09-29,182
2016-09-30,139
2016-10-01,132
2016-10-02,34
2016-10-03,26
2016-10-04,25
2016-10-05,23
2016-10-06,22
2016-10-07,25
2016-10-08,28
2016-10-09,19
2016-10-10,10
2016-10-11,17
2016-10-12,16
2016-10-13,17
2016-10-14,11
2016-10-15,7
2016-10-16,12
2016-10-17,10
2016-10-18,12
2016-10-19,10
2016-10-20,7
2016-10-21,9
2016-10-22,6
2016-10-23,29
2016-10-24,25
2016-10-25,7
2016-10-26,21
2016-10-27,18
2016-10-28,195
2016-10-29,166
2016-10-30,25
2016-10-31,13
2016-11-01,7
2016-11-02,18
2016-11-03,10
2016-11-04,13
2016-11-05,5
2016-11-06,11
2016-11-07,15
2016-11-08,15
2016-11-09,6
2016-11-10,11
2016-11-11,13
2016-11-12,6
2016-11-13,6
2016-11-14,3
2016-11-15,3
2016-11-16,5
2016-11-17,3
2016-11-18,3
2016-11-19,0
2016-11-20,6
2016-11-21,3
2016-11-22,3
2016-11-23,2
2016-11-24,6
2016-11-25,1
2016-11-26,4
2016-11-27,4
2016-11-28,5
2016-11-29,3
2016-11-30,3
2016-12-01,2
2016-12-02,0
2016-12-03,3
2016-12-04,15
2016-12-05,5
2016-12-06,15
2016-12-07,35
2016-12-08,57
2016-12-09,20
2016-12-10,7
2016-12-11,4
2016-12-12,2
2016-12-13,2
2016-12-14,3
2016-12-15,1
2016-12-16,2
2016-12-17,3
2016-12-18,3
2016-12-19,0
2016-12-20,1
2016-12-21,1
2016-12-22,0
2016-12-23,0
2016-12-24,2
2016-12-25,3
2016-12-26,2
2016-12-27,5
2016-12-28,0
2016-12-29,0
2016-12-30,2
2016-12-31,4
2017-01-01,5
2017-01-02,3
2017-01-03,4
2017-01-04,4
2017-01-05,5
2017-01-06,5
2017-01-07,4
2017-01-08,7
2017-01-09,14
2017-01-10,8
2017-01-11,8
2017-01-12,12
2017-01-13,2
2017-01-14,2
2017-01-15,2
2017-01-16,2
2017-01-17,2
2017-01-18,2
2017-01-19,2
2017-01-20,0
2017-01-21,2
2017-01-22,2
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,1
2017-01-27,0
2017-01-28,0
2017-02-12,1
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,1
2017-02-19,2
2017-02-20,2
2017-02-21,0
2017-02-23,0
2017-02-24,46
2017-02-25,100
2017-02-26,1
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-19,1
2017-03-20,1
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,0
