Date,Volume
2015-03-01,62
2015-03-02,62
2015-03-03,65
2015-03-04,64
2015-03-05,62
2015-03-06,63
2015-03-07,59
2015-03-08,63
2015-03-09,63
2015-03-10,63
2015-03-11,72
2015-03-12,70
2015-03-13,68
2015-03-14,60
2015-03-15,62
2015-03-16,62
2015-03-17,70
2015-03-18,64
2015-03-19,67
2015-03-20,64
2015-03-21,65
2015-03-22,60
2015-03-23,62
2015-03-24,62
2015-03-25,65
2015-03-26,64
2015-03-27,63
2015-03-28,58
2015-03-29,60
2015-03-30,62
2015-03-31,61
2015-04-01,64
2015-04-02,63
2015-04-03,63
2015-04-04,60
2015-04-05,60
2015-04-06,63
2015-04-07,66
2015-04-08,65
2015-04-09,63
2015-04-10,67
2015-04-11,68
2015-04-12,63
2015-04-13,65
2015-04-14,75
2015-04-15,66
2015-04-16,66
2015-04-17,66
2015-04-18,63
2015-04-19,60
2015-04-20,60
2015-04-21,61
2015-04-22,62
2015-04-23,62
2015-04-24,60
2015-04-25,55
2015-04-26,58
2015-04-27,65
2015-04-28,59
2015-04-29,57
2015-04-30,60
2015-05-01,59
2015-05-02,56
2015-05-03,58
2015-05-04,61
2015-05-05,61
2015-05-06,58
2015-05-07,60
2015-05-08,63
2015-05-09,58
2015-05-10,60
2015-05-11,67
2015-05-12,66
2015-05-13,68
2015-05-14,65
2015-05-15,65
2015-05-16,66
2015-05-17,60
2015-05-18,59
2015-05-19,62
2015-05-20,60
2015-05-21,58
2015-05-22,60
2015-05-23,50
2015-05-24,57
2015-05-25,59
2015-05-26,60
2015-05-27,60
2015-05-28,59
2015-05-29,58
2015-05-30,54
2015-05-31,57
2015-06-01,61
2015-06-02,59
2015-06-03,63
2015-06-04,64
2015-06-05,61
2015-06-06,59
2015-06-07,57
2015-06-08,60
2015-06-09,63
2015-06-10,61
2015-06-11,60
2015-06-12,61
2015-06-13,58
2015-06-14,57
2015-06-15,59
2015-06-16,57
2015-06-17,57
2015-06-18,60
2015-06-19,57
2015-06-20,56
2015-06-21,57
2015-06-22,59
2015-06-23,62
2015-06-24,59
2015-06-25,62
2015-06-26,58
2015-06-27,55
2015-06-28,55
2015-06-29,56
2015-06-30,55
2015-07-01,51
2015-07-02,52
2015-07-03,51
2015-07-04,48
2015-07-05,60
2015-07-06,66
2015-07-07,77
2015-07-08,74
2015-07-09,67
2015-07-10,71
2015-07-11,65
2015-07-12,59
2015-07-13,61
2015-07-14,59
2015-07-15,58
2015-07-16,59
2015-07-17,59
2015-07-18,54
2015-07-19,57
2015-07-20,60
2015-07-21,65
2015-07-22,61
2015-07-23,62
2015-07-24,63
2015-07-25,60
2015-07-26,56
2015-07-27,56
2015-07-28,54
2015-07-29,56
2015-07-30,56
2015-07-31,53
2015-08-01,49
2015-08-02,56
2015-08-03,56
2015-08-04,62
2015-08-05,63
2015-08-06,63
2015-08-07,59
2015-08-08,57
2015-08-09,56
2015-08-10,54
2015-08-11,57
2015-08-12,59
2015-08-13,56
2015-08-14,56
2015-08-15,52
2015-08-16,58
2015-08-17,58
2015-08-18,60
2015-08-19,63
2015-08-20,61
2015-08-21,67
2015-08-22,66
2015-08-23,56
2015-08-24,54
2015-08-25,53
2015-08-26,52
2015-08-27,53
2015-08-28,55
2015-08-30,54
2015-08-31,58
2015-09-01,58
2015-09-02,56
2015-09-03,54
2015-09-04,51
2015-09-05,54
2015-09-06,53
2015-09-07,55
2015-09-08,57
2015-09-09,55
2015-09-10,57
2015-09-11,57
2015-09-12,53
2015-09-13,69
2015-09-14,71
2015-09-15,71
2015-09-16,79
2015-09-17,76
2015-09-18,122
2015-09-19,119
2015-09-20,72
2015-09-21,70
2015-09-22,64
2015-09-23,59
2015-09-24,60
2015-09-25,59
2015-09-26,59
2015-09-27,66
2015-09-28,61
2015-09-29,61
2015-09-30,66
2015-10-01,66
2015-10-02,63
2015-10-03,66
2015-10-04,63
2015-10-05,65
2015-10-06,58
2015-10-07,58
2015-10-08,56
2015-10-09,56
2015-10-10,58
2015-10-11,61
2015-10-12,65
2015-10-13,58
2015-10-14,65
2015-10-15,61
2015-10-16,61
2015-10-17,56
2015-10-18,74
2015-10-19,74
2015-10-20,79
2015-10-21,79
2015-10-22,95
2015-10-23,150
2015-10-24,123
2015-10-25,63
2015-10-26,56
2015-10-27,52
2015-10-28,50
2015-10-29,49
2015-10-30,47
2015-10-31,43
2015-11-01,54
2015-11-02,60
2015-11-03,58
2015-11-04,58
2015-11-05,60
2015-11-06,60
2015-11-07,54
2015-11-08,58
2015-11-09,58
2015-11-10,55
2015-11-11,58
2015-11-12,55
2015-11-13,64
2015-11-14,75
2015-11-15,100
2015-11-16,106
2015-11-17,96
2015-11-18,322
2015-11-19,183
2015-11-20,135
2015-11-21,100
2015-11-22,56
2015-11-23,54
2015-11-24,56
2015-11-25,52
2015-11-26,48
2015-11-27,46
2015-11-28,44
2015-11-29,54
2015-11-30,58
2015-12-01,58
2015-12-02,60
2015-12-03,58
2015-12-04,56
2015-12-05,54
2015-12-06,55
2015-12-07,59
2015-12-08,61
2015-12-09,61
2015-12-10,61
2015-12-11,59
2015-12-12,57
2015-12-13,56
2015-12-14,63
2015-12-15,77
2015-12-16,70
2015-12-17,65
2015-12-18,65
2015-12-19,58
2015-12-20,53
2015-12-21,59
2015-12-22,61
2015-12-23,59
2015-12-24,55
2015-12-25,50
2015-12-26,50
2015-12-27,54
2015-12-28,56
2015-12-29,62
2015-12-30,58
2015-12-31,49
2016-01-01,49
2016-01-02,49
2016-01-03,58
2016-01-04,58
2016-01-05,62
2016-01-06,60
2016-01-07,67
2016-01-08,69
2016-01-09,62
2016-01-10,56
2016-01-11,58
2016-01-12,67
2016-01-13,60
2016-01-14,60
2016-01-15,60
2016-01-16,56
