Date,Volume
2015-03-01,41
2015-03-02,31
2015-03-03,31
2015-03-04,34
2015-03-05,32
2015-03-06,35
2015-03-07,41
2015-03-08,41
2015-03-09,35
2015-03-10,31
2015-03-11,29
2015-03-12,33
2015-03-13,35
2015-03-14,42
2015-03-15,41
2015-03-16,33
2015-03-17,32
2015-03-18,35
2015-03-19,38
2015-03-20,35
2015-03-21,40
2015-03-22,43
2015-03-23,36
2015-03-24,41
2015-03-25,38
2015-03-26,43
2015-03-27,47
2015-03-28,62
2015-03-29,42
2015-03-30,32
2015-03-31,30
2015-04-01,35
2015-04-02,33
2015-04-03,35
2015-04-04,36
2015-04-05,40
2015-04-06,31
2015-04-07,27
2015-04-08,31
2015-04-09,30
2015-04-10,31
2015-04-11,38
2015-04-12,38
2015-04-13,30
2015-04-14,33
2015-04-15,33
2015-04-16,38
2015-04-17,39
2015-04-18,40
2015-04-19,38
2015-04-20,29
2015-04-21,31
2015-04-22,29
2015-04-23,30
2015-04-24,33
2015-04-25,42
2015-04-26,38
2015-04-27,31
2015-04-28,33
2015-04-29,31
2015-04-30,31
2015-05-01,35
2015-05-02,38
2015-05-03,37
2015-05-04,30
2015-05-05,30
2015-05-06,32
2015-05-07,29
2015-05-08,31
2015-05-09,37
2015-05-10,38
2015-05-11,32
2015-05-12,35
2015-05-13,34
2015-05-14,35
2015-05-15,36
2015-05-16,42
2015-05-17,36
2015-05-18,28
2015-05-19,26
2015-05-20,25
2015-05-21,29
2015-05-22,29
2015-05-23,36
2015-05-24,37
2015-05-25,29
2015-05-26,29
2015-05-27,29
2015-05-28,29
2015-05-29,32
2015-05-30,36
2015-05-31,40
2015-06-01,33
2015-06-02,35
2015-06-03,34
2015-06-04,42
2015-06-05,38
2015-06-06,45
2015-06-07,39
2015-06-08,27
2015-06-09,27
2015-06-10,30
2015-06-11,28
2015-06-12,34
2015-06-13,35
2015-06-14,47
2015-06-15,48
2015-06-16,49
2015-06-17,45
2015-06-18,43
2015-06-19,45
2015-06-20,50
2015-06-21,88
2015-06-22,169
2015-06-23,130
2015-06-24,133
2015-06-25,128
2015-06-26,118
2015-06-27,132
2015-06-28,70
2015-06-29,53
2015-06-30,52
2015-07-01,53
2015-07-02,52
2015-07-03,54
2015-07-04,61
2015-07-05,61
2015-07-06,47
2015-07-07,50
2015-07-08,50
2015-07-09,52
2015-07-10,54
2015-07-11,59
2015-07-12,62
2015-07-13,50
2015-07-14,55
2015-07-15,50
2015-07-16,49
2015-07-17,51
2015-07-18,61
2015-07-19,58
2015-07-20,44
2015-07-21,46
2015-07-22,44
2015-07-23,45
2015-07-24,46
2015-07-25,48
2015-07-26,59
2015-07-27,53
2015-07-28,52
2015-07-29,51
2015-07-30,51
2015-07-31,50
2015-08-01,59
2015-08-02,53
2015-08-03,43
2015-08-04,44
2015-08-05,39
2015-08-06,44
