Date,Volume
2015-03-01,70
2015-03-02,110
2015-03-03,148
2015-03-04,75
2015-03-05,122
2015-03-06,84
2015-03-07,67
2015-03-08,76
2015-03-09,126
2015-03-10,202
2015-03-11,162
2015-03-12,133
2015-03-13,191
2015-03-14,115
2015-03-15,72
2015-03-16,123
2015-03-17,102
2015-03-18,108
2015-03-19,102
2015-03-20,97
2015-03-21,92
2015-03-22,72
2015-03-23,153
2015-03-24,216
2015-03-25,166
2015-03-26,234
2015-03-27,121
2015-03-28,162
2015-03-29,64
2015-03-30,144
2015-03-31,108
2015-04-01,115
2015-04-02,76
2015-04-03,140
2015-04-04,76
2015-04-05,86
2015-04-06,103
2015-04-07,160
2015-04-08,97
2015-04-09,137
2015-04-10,151
2015-04-11,94
2015-04-12,76
2015-04-13,158
2015-04-14,115
2015-04-15,155
2015-04-16,85
2015-04-17,105
2015-04-18,99
2015-04-19,80
2015-04-20,70
2015-04-21,112
2015-04-22,124
2015-04-23,110
2015-04-24,91
2015-04-25,49
2015-04-26,66
2015-04-27,101
2015-04-28,77
2015-04-29,120
2015-04-30,110
2015-05-01,68
2015-05-02,58
2015-05-03,81
2015-05-04,108
2015-05-05,141
2015-05-06,108
2015-05-07,131
2015-05-08,98
2015-05-09,88
2015-05-10,74
2015-05-11,94
2015-05-12,99
2015-05-13,130
2015-05-14,84
2015-05-15,76
2015-05-16,76
2015-05-17,60
2015-05-18,69
2015-05-19,76
2015-05-20,124
2015-05-21,103
2015-05-22,80
2015-05-23,30
2015-05-24,62
2015-05-25,91
2015-05-26,97
2015-05-27,121
2015-05-28,135
2015-05-29,118
2015-05-30,79
2015-05-31,84
2015-06-01,141
2015-06-02,136
2015-06-03,150
2015-06-04,115
2015-06-05,118
2015-06-06,78
2015-06-07,78
2015-06-08,104
2015-06-09,78
2015-06-10,106
2015-06-11,98
2015-06-12,142
2015-06-13,69
2015-06-14,68
2015-06-15,142
2015-06-16,178
2015-06-17,139
2015-06-18,158
2015-06-19,148
2015-06-20,87
2015-06-21,65
2015-06-22,114
2015-06-23,107
2015-06-24,107
2015-06-25,123
2015-06-26,100
2015-06-27,38
2015-06-28,66
2015-06-29,134
2015-06-30,71
2015-07-01,110
2015-07-02,137
2015-07-03,126
2015-07-04,63
2015-07-05,64
2015-07-06,160
2015-07-07,170
2015-07-08,160
2015-07-09,128
2015-07-10,149
2015-07-11,124
2015-07-12,78
2015-07-13,100
2015-07-14,141
2015-07-15,182
2015-07-16,122
2015-07-17,130
2015-07-18,85
2015-07-19,100
2015-07-20,185
2015-07-21,171
2015-07-22,223
2015-07-23,214
2015-07-24,352
2015-07-25,476
2015-07-26,77
2015-07-27,85
2015-07-28,90
2015-07-29,55
2015-07-30,60
2015-07-31,58
2015-08-01,38
2015-08-02,69
2015-08-03,155
2015-08-04,322
2015-08-05,253
2015-08-06,161
2015-08-07,172
2015-08-08,120
2015-08-09,66
2015-08-10,78
2015-08-11,92
2015-08-12,124
2015-08-13,100
2015-08-14,85
2015-08-15,66
2015-08-16,77
2015-08-17,69
2015-08-18,113
2015-08-19,108
2015-08-20,101
2015-08-21,110
2015-08-22,81
2015-08-23,69
2015-08-24,100
2015-08-25,90
2015-08-26,70
2015-08-27,92
2015-08-28,74
2015-08-30,74
2015-08-31,84
2015-09-01,92
2015-09-02,78
2015-09-03,77
2015-09-04,47
2015-09-05,29
2015-09-06,76
2015-09-07,101
2015-09-08,123
2015-09-09,140
2015-09-10,101
2015-09-11,104
2015-09-12,97
2015-09-13,68
2015-09-14,107
2015-09-15,119
2015-09-16,96
2015-09-17,106
2015-09-18,101
2015-09-19,51
2015-09-20,70
2015-09-21,92
2015-09-22,122
2015-09-23,128
2015-09-24,100
2015-09-25,64
2015-09-26,64
2015-09-27,81
2015-09-28,63
2015-09-29,110
2015-09-30,94
2015-10-01,53
2015-10-02,89
2015-10-03,55
2015-10-04,73
2015-10-05,110
2015-10-06,113
2015-10-07,117
2015-10-08,115
2015-10-09,66
2015-10-10,50
2015-10-11,74
2015-10-12,142
2015-10-13,93
2015-10-14,101
2015-10-15,102
2015-10-16,61
2015-10-17,42
2015-10-18,75
2015-10-19,165
2015-10-20,175
2015-10-21,191
2015-10-22,150
2015-10-23,175
2015-10-24,131
2015-10-25,74
2015-10-26,91
2015-10-27,112
2015-10-28,133
2015-10-29,142
2015-10-30,107
2015-10-31,37
2015-11-01,84
2015-11-02,108
2015-11-03,168
2015-11-04,168
2015-11-05,159
2015-11-06,168
2015-11-07,116
2015-11-08,79
2015-11-09,135
2015-11-10,87
2015-11-11,119
2015-11-12,124
2015-11-13,93
2015-11-14,70
2015-11-15,74
2015-11-16,85
2015-11-17,79
2015-11-18,99
2015-11-19,125
2015-11-20,99
2015-11-21,74
2015-11-22,71
2015-11-23,89
2015-11-24,133
2015-11-25,103
2015-11-26,55
2015-11-27,98
2015-11-28,94
2015-11-29,78
2015-11-30,89
2015-12-01,79
2015-12-02,105
2015-12-03,101
2015-12-04,84
2015-12-05,61
2015-12-06,80
2015-12-07,141
2015-12-08,120
2015-12-09,103
2015-12-10,128
2015-12-11,100
2015-12-12,58
2015-12-13,81
2015-12-14,203
2015-12-15,164
2015-12-16,144
2015-12-17,153
2015-12-18,133
2015-12-19,107
2015-12-20,67
2015-12-21,139
