Date,Volume
2015-03-01,97
2015-03-02,86
2015-03-03,84
2015-03-04,84
2015-03-05,83
2015-03-06,84
2015-03-07,90
2015-03-08,97
2015-03-09,87
2015-03-10,85
2015-03-11,86
2015-03-12,85
2015-03-13,87
2015-03-14,92
2015-03-15,96
2015-03-16,86
2015-03-17,83
2015-03-18,83
2015-03-19,81
2015-03-20,83
2015-03-21,90
2015-03-22,98
2015-03-23,90
2015-03-24,87
2015-03-25,89
2015-03-26,86
2015-03-27,89
2015-03-28,92
2015-03-29,99
2015-03-30,90
2015-03-31,86
2015-04-01,87
2015-04-02,89
2015-04-03,93
2015-04-04,95
2015-04-05,100
2015-04-06,92
2015-04-07,87
2015-04-08,86
2015-04-09,85
2015-04-10,87
2015-04-11,94
2015-04-12,95
2015-04-13,83
2015-04-14,80
2015-04-15,80
2015-04-16,78
2015-04-17,80
2015-04-18,84
2015-04-19,95
2015-04-20,85
2015-04-21,84
2015-04-22,82
2015-04-23,84
2015-04-24,84
2015-04-25,89
2015-04-26,95
2015-04-27,85
2015-04-28,84
2015-04-29,83
2015-04-30,85
2015-05-01,88
2015-05-02,90
2015-05-03,95
2015-05-04,87
2015-05-05,84
2015-05-06,84
2015-05-07,83
2015-05-08,82
2015-05-09,89
2015-05-10,93
2015-05-11,83
2015-05-12,81
2015-05-13,82
2015-05-14,83
2015-05-15,83
2015-05-16,88
2015-05-17,94
2015-05-18,85
2015-05-19,81
2015-05-20,81
2015-05-21,80
2015-05-22,80
2015-05-23,87
2015-05-24,94
2015-05-25,87
2015-05-26,84
2015-05-27,82
2015-05-28,82
2015-05-29,84
2015-05-30,89
2015-05-31,94
2015-06-01,86
2015-06-02,84
2015-06-03,83
2015-06-04,84
2015-06-05,82
2015-06-06,91
2015-06-07,94
2015-06-08,83
2015-06-09,82
2015-06-10,80
2015-06-11,81
2015-06-12,80
2015-06-13,88
2015-06-14,97
2015-06-15,91
2015-06-16,86
2015-06-17,86
2015-06-18,87
2015-06-19,87
2015-06-20,93
2015-06-21,97
2015-06-22,88
2015-06-23,86
2015-06-24,87
2015-06-25,85
2015-06-26,85
2015-06-27,92
2015-06-28,97
2015-06-29,86
2015-06-30,84
2015-07-01,86
2015-07-02,86
2015-07-03,85
2015-07-04,91
2015-07-05,96
2015-07-06,86
2015-07-07,84
2015-07-08,86
2015-07-09,85
2015-07-10,85
2015-07-11,91
2015-07-12,96
2015-07-13,84
2015-07-14,84
2015-07-15,82
2015-07-16,82
2015-07-17,83
2015-07-18,90
2015-07-19,97
2015-07-20,87
2015-07-21,84
2015-07-22,82
2015-07-23,82
2015-07-24,84
2015-07-25,88
2015-07-26,96
2015-07-27,88
2015-07-28,84
2015-07-29,85
2015-07-30,85
2015-07-31,85
2015-08-01,89
2015-08-02,93
2015-08-03,83
2015-08-04,83
2015-08-05,84
2015-08-06,83
2015-08-07,84
2015-08-08,88
2015-08-09,94
