Date,Volume
2015-03-01,85
2015-03-02,114
2015-03-03,121
2015-03-04,131
2015-03-05,106
2015-03-06,90
2015-03-07,86
2015-03-08,83
2015-03-09,101
2015-03-10,127
2015-03-11,112
2015-03-12,162
2015-03-13,112
2015-03-14,66
2015-03-15,77
2015-03-16,110
2015-03-17,103
2015-03-18,129
2015-03-19,126
2015-03-20,97
2015-03-21,49
2015-03-22,78
2015-03-23,89
2015-03-24,111
2015-03-25,97
2015-03-26,111
2015-03-27,110
2015-03-28,60
2015-03-29,85
2015-03-30,144
2015-03-31,104
2015-04-01,160
2015-04-02,137
2015-04-03,110
2015-04-04,79
2015-04-05,82
2015-04-06,149
2015-04-07,193
2015-04-08,208
2015-04-09,181
2015-04-10,203
2015-04-11,114
2015-04-12,84
2015-04-13,128
2015-04-14,154
2015-04-15,123
2015-04-16,152
2015-04-17,136
2015-04-18,93
2015-04-19,84
2015-04-20,132
2015-04-21,158
2015-04-22,164
2015-04-23,134
2015-04-24,168
2015-04-25,80
2015-04-26,90
2015-04-27,232
2015-04-28,250
2015-04-29,222
2015-04-30,195
2015-05-01,160
2015-05-02,100
2015-05-03,88
2015-05-04,143
2015-05-05,122
2015-05-06,151
2015-05-07,179
2015-05-08,151
2015-05-09,76
2015-05-10,84
2015-05-11,148
2015-05-12,147
2015-05-13,120
2015-05-14,141
2015-05-15,159
2015-05-16,84
2015-05-17,80
2015-05-18,148
2015-05-19,160
2015-05-20,171
2015-05-21,129
2015-05-22,127
2015-05-23,59
2015-05-24,81
2015-05-25,121
2015-05-26,142
2015-05-27,150
2015-05-28,138
2015-05-29,152
2015-05-30,73
2015-05-31,85
2015-06-01,99
2015-06-02,102
2015-06-03,93
2015-06-04,108
2015-06-05,102
2015-06-06,65
2015-06-07,81
2015-06-08,134
2015-06-09,124
2015-06-10,151
2015-06-11,125
2015-06-12,106
2015-06-13,72
2015-06-14,82
2015-06-15,106
2015-06-16,141
2015-06-17,155
2015-06-18,120
2015-06-19,139
2015-06-20,88
2015-06-21,88
2015-06-22,129
2015-06-23,132
2015-06-24,116
2015-06-25,156
2015-06-26,174
2015-06-27,62
2015-06-28,70
2015-06-29,116
2015-06-30,109
2015-07-01,100
2015-07-02,110
2015-07-03,110
2015-07-04,61
2015-07-05,78
2015-07-06,100
2015-07-07,116
2015-07-08,124
2015-07-09,128
2015-07-10,95
2015-07-11,67
2015-07-12,81
2015-07-13,166
2015-07-14,164
2015-07-15,145
2015-07-16,192
2015-07-17,155
2015-07-18,85
2015-07-19,86
2015-07-20,155
2015-07-21,167
2015-07-22,167
2015-07-23,193
2015-07-24,176
2015-07-25,121
2015-07-26,79
2015-07-27,158
2015-07-28,167
2015-07-29,159
2015-07-30,158
2015-07-31,129
2015-08-01,82
2015-08-02,81
2015-08-03,118
2015-08-04,131
2015-08-05,118
2015-08-06,126
2015-08-07,92
2015-08-08,75
2015-08-09,77
2015-08-10,140
2015-08-11,134
2015-08-12,167
2015-08-13,132
2015-08-14,132
2015-08-15,88
2015-08-16,81
2015-08-17,120
2015-08-18,133
2015-08-19,165
2015-08-20,138
2015-08-21,140
2015-08-22,68
2015-08-23,76
2015-08-24,122
2015-08-25,127
2015-08-26,133
2015-08-27,138
2015-08-28,146
2015-08-30,81
2015-08-31,158
2015-09-01,156
2015-09-02,148
2015-09-03,169
2015-09-04,138
2015-09-05,94
2015-09-06,73
2015-09-07,90
2015-09-08,77
2015-09-09,89
2015-09-10,92
2015-09-11,82
2015-09-12,48
2015-09-13,86
2015-09-14,131
2015-09-15,156
2015-09-16,150
2015-09-17,131
2015-09-18,121
2015-09-19,89
2015-09-20,75
2015-09-21,99
2015-09-22,104
2015-09-23,86
2015-09-24,103
2015-09-25,69
2015-09-26,56
2015-09-27,74
2015-09-28,121
2015-09-29,134
2015-09-30,101
2015-10-01,114
2015-10-02,101
2015-10-03,52
2015-10-04,86
2015-10-05,148
2015-10-06,174
2015-10-07,188
2015-10-08,186
2015-10-09,174
2015-10-10,94
2015-10-11,79
2015-10-12,118
2015-10-13,145
2015-10-14,123
2015-10-15,137
2015-10-16,123
2015-10-17,79
2015-10-18,80
2015-10-19,139
2015-10-20,133
2015-10-21,133
2015-10-22,106
2015-10-23,111
2015-10-24,76
2015-10-25,88
2015-10-26,184
2015-10-27,198
2015-10-28,204
2015-10-29,176
2015-10-30,143
2015-10-31,90
2015-11-01,91
2015-11-02,192
2015-11-03,186
2015-11-04,190
2015-11-05,196
2015-11-06,184
2015-11-07,97
2015-11-08,78
2015-11-09,131
2015-11-10,123
2015-11-11,129
2015-11-12,113
2015-11-13,120
2015-11-14,62
2015-11-15,84
2015-11-16,149
2015-11-17,182
2015-11-18,184
2015-11-19,176
2015-11-20,188
2015-11-21,77
2015-11-22,80
2015-11-23,156
2015-11-24,136
2015-11-25,167
2015-11-26,156
2015-11-27,132
2015-11-28,85
2015-11-29,79
2015-11-30,112
2015-12-01,132
2015-12-02,118
2015-12-03,107
2015-12-04,115
2015-12-05,62
2015-12-06,80
2015-12-07,178
2015-12-08,158
2015-12-09,150
2015-12-10,180
2015-12-11,146
2015-12-12,102
2015-12-13,80
2015-12-14,135
2015-12-15,147
2015-12-16,151
2015-12-17,147
2015-12-18,126
2015-12-19,80
2015-12-20,64
2015-12-21,92
2015-12-22,90
2015-12-23,71
2015-12-24,66
2015-12-25,52
2015-12-26,39
2015-12-27,57
2015-12-28,85
2015-12-29,91
2015-12-30,102
2015-12-31,70
2016-01-01,54
2016-01-02,57
2016-01-03,75
2016-01-04,141
2016-01-05,127
2016-01-06,124
2016-01-07,129
2016-01-08,121
2016-01-09,81
