Date,Volume
2015-03-01,97
2015-03-02,81
2015-03-03,81
2015-03-04,83
2015-03-05,86
2015-03-06,91
2015-03-07,104
2015-03-08,95
2015-03-09,78
2015-03-10,82
2015-03-11,82
2015-03-12,84
2015-03-13,88
2015-03-14,103
2015-03-15,96
2015-03-16,80
2015-03-17,82
2015-03-18,83
2015-03-19,84
2015-03-20,89
2015-03-21,104
2015-03-22,97
2015-03-23,81
2015-03-24,82
2015-03-25,84
2015-03-26,86
2015-03-27,93
2015-03-28,107
2015-03-29,98
2015-03-30,80
2015-03-31,80
2015-04-01,85
2015-04-02,89
2015-04-03,93
2015-04-04,101
2015-04-05,96
2015-04-06,86
2015-04-07,79
2015-04-08,79
2015-04-09,81
2015-04-10,86
2015-04-11,99
2015-04-12,95
2015-04-13,80
2015-04-14,81
2015-04-15,81
2015-04-16,83
2015-04-17,88
2015-04-18,101
2015-04-19,96
2015-04-20,80
2015-04-21,83
2015-04-22,83
2015-04-23,86
2015-04-24,89
2015-04-25,102
2015-04-26,97
2015-04-27,81
2015-04-28,84
2015-04-29,85
2015-04-30,89
2015-05-01,99
2015-05-02,100
2015-05-03,96
2015-05-04,80
2015-05-05,84
2015-05-06,83
2015-05-07,87
2015-05-08,90
2015-05-09,102
2015-05-10,96
2015-05-11,79
2015-05-12,81
2015-05-13,82
2015-05-14,87
2015-05-15,90
2015-05-16,101
2015-05-17,97
2015-05-18,83
2015-05-19,84
2015-05-20,85
2015-05-21,86
2015-05-22,92
2015-05-23,104
2015-05-24,97
2015-05-25,84
2015-05-26,79
2015-05-27,81
2015-05-28,82
2015-05-29,89
2015-05-30,99
2015-05-31,98
2015-06-01,81
2015-06-02,83
2015-06-03,83
2015-06-04,88
2015-06-05,90
2015-06-06,100
2015-06-07,98
2015-06-08,82
2015-06-09,85
2015-06-10,85
2015-06-11,87
2015-06-12,91
2015-06-13,103
2015-06-14,96
2015-06-15,80
2015-06-16,82
2015-06-17,82
2015-06-18,85
2015-06-19,89
2015-06-20,100
2015-06-21,96
2015-06-22,82
2015-06-23,85
2015-06-24,85
2015-06-25,87
2015-06-26,89
2015-06-27,100
2015-06-28,96
2015-06-29,82
2015-06-30,82
2015-07-01,82
2015-07-02,84
2015-07-03,90
2015-07-04,98
2015-07-05,95
2015-07-06,81
2015-07-07,83
2015-07-08,84
2015-07-09,87
2015-07-10,89
2015-07-11,99
2015-07-12,97
2015-07-13,82
2015-07-14,84
2015-07-15,84
2015-07-16,85
2015-07-17,87
2015-07-18,102
2015-07-19,98
2015-07-20,84
2015-07-21,84
2015-07-22,84
2015-07-23,85
2015-07-24,88
2015-07-25,98
2015-07-26,98
2015-07-27,84
2015-07-28,86
2015-07-29,87
2015-07-30,88
2015-07-31,93
2015-08-01,101
2015-08-02,97
2015-08-03,84
2015-08-04,86
2015-08-05,86
2015-08-06,87
