Date,Volume
2015-04-12,48
2015-04-13,40
2015-04-14,81
2015-04-15,0
2015-04-16,40
2015-04-17,0
2015-04-18,0
2015-06-07,24
2015-06-08,0
2015-06-09,0
2015-06-10,0
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,24
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0
2015-06-20,24
2015-09-13,23
2015-09-14,0
2015-09-15,19
2015-09-16,0
2015-09-17,0
2015-09-18,20
2015-09-19,0
2016-04-17,23
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,0
2016-04-22,20
2016-04-23,0
2016-04-24,23
2016-04-25,0
2016-04-26,0
2016-04-27,20
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-06-12,23
2016-06-13,0
2016-06-14,0
2016-06-15,19
2016-06-16,0
2016-06-17,0
2016-06-18,23
2016-10-23,47
2016-10-24,40
2016-10-25,0
2016-10-26,40
2016-10-27,41
2016-10-28,43
2016-10-29,0
2016-11-06,31
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,27
2016-11-11,28
2016-11-12,0
2016-11-20,23
2016-11-21,19
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2017-01-22,22
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,20
2017-01-28,0
2017-02-05,22
2017-02-06,0
2017-02-07,19
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-11,0
