Date,Volume
2015-03-01,85
2015-03-02,115
2015-03-03,119
2015-03-04,122
2015-03-05,106
2015-03-06,83
2015-03-07,75
2015-03-08,83
2015-03-09,110
2015-03-10,122
2015-03-11,119
2015-03-12,141
2015-03-13,113
2015-03-14,66
2015-03-15,77
2015-03-16,127
2015-03-17,117
2015-03-18,135
2015-03-19,139
2015-03-20,105
2015-03-21,59
2015-03-22,78
2015-03-23,94
2015-03-24,116
2015-03-25,116
2015-03-26,122
2015-03-27,116
2015-03-28,64
2015-03-29,85
2015-03-30,166
2015-03-31,129
2015-04-01,173
2015-04-02,152
2015-04-03,125
2015-04-04,96
2015-04-05,82
2015-04-06,133
2015-04-07,164
2015-04-08,183
2015-04-09,164
2015-04-10,196
2015-04-11,112
2015-04-12,84
2015-04-13,136
2015-04-14,153
2015-04-15,126
2015-04-16,149
2015-04-17,149
2015-04-18,82
2015-04-19,84
2015-04-20,114
2015-04-21,147
2015-04-22,150
2015-04-23,137
2015-04-24,149
2015-04-25,82
2015-04-26,90
2015-04-27,228
2015-04-28,230
2015-04-29,228
2015-04-30,193
2015-05-01,145
2015-05-02,103
2015-05-03,88
2015-05-04,156
2015-05-05,145
2015-05-06,166
2015-05-07,181
2015-05-08,162
2015-05-09,82
2015-05-10,84
2015-05-11,141
2015-05-12,138
2015-05-13,113
2015-05-14,141
2015-05-15,141
2015-05-16,85
2015-05-17,80
2015-05-18,158
2015-05-19,171
2015-05-20,167
2015-05-21,148
2015-05-22,137
2015-05-23,68
2015-05-24,81
2015-05-25,142
2015-05-26,156
2015-05-27,152
2015-05-28,152
2015-05-29,152
2015-05-30,81
2015-05-31,85
2015-06-01,102
2015-06-02,96
2015-06-03,99
2015-06-04,107
2015-06-05,99
2015-06-06,59
2015-06-07,81
2015-06-08,142
2015-06-09,138
2015-06-10,145
2015-06-11,128
2015-06-12,109
2015-06-13,64
2015-06-14,82
2015-06-15,123
2015-06-16,153
2015-06-17,169
2015-06-18,133
2015-06-19,147
2015-06-20,80
2015-06-21,88
2015-06-22,133
2015-06-23,143
2015-06-24,126
2015-06-25,145
2015-06-26,148
2015-06-27,64
2015-06-28,70
2015-06-29,99
2015-06-30,104
2015-07-01,92
2015-07-02,107
2015-07-03,102
2015-07-04,59
2015-07-05,78
2015-07-06,104
2015-07-07,113
2015-07-08,117
2015-07-09,115
2015-07-10,99
2015-07-11,70
2015-07-12,81
2015-07-13,166
2015-07-14,162
2015-07-15,155
2015-07-16,189
2015-07-17,162
2015-07-18,81
2015-07-19,86
2015-07-20,169
2015-07-21,169
2015-07-22,172
2015-07-23,198
2015-07-24,160
2015-07-25,121
2015-07-26,79
2015-07-27,152
2015-07-28,154
2015-07-29,167
2015-07-30,156
2015-07-31,132
2015-08-01,77
2015-08-02,81
2015-08-03,132
2015-08-04,140
2015-08-05,142
2015-08-06,125
2015-08-07,117
2015-08-08,84
2015-08-09,77
2015-08-10,135
2015-08-11,139
2015-08-12,170
2015-08-13,139
2015-08-14,143
2015-08-15,81
2015-08-16,81
2015-08-17,127
2015-08-18,127
2015-08-19,167
2015-08-20,136
2015-08-21,134
2015-08-22,67
2015-08-23,76
2015-08-24,123
2015-08-25,131
2015-08-26,126
2015-08-27,126
2015-08-28,137
2015-08-30,81
2015-08-31,182
2015-09-01,187
2015-09-02,178
2015-09-03,185
2015-09-04,150
2015-09-05,113
2015-09-06,73
2015-09-07,89
2015-09-08,75
2015-09-09,84
2015-09-10,96
2015-09-11,77
2015-09-12,59
2015-09-13,86
2015-09-14,158
2015-09-15,172
2015-09-16,152
2015-09-17,119
2015-09-18,130
2015-09-19,93
2015-09-20,75
2015-09-21,94
2015-09-22,110
