Date,Volume
2015-03-01,44
2015-03-02,55
2015-03-03,47
2015-03-04,55
2015-03-05,56
2015-03-06,47
2015-03-07,59
2015-03-08,48
2015-03-09,47
2015-03-10,42
2015-03-11,42
2015-03-12,49
2015-03-13,42
2015-03-14,41
2015-03-15,48
2015-03-16,45
2015-03-17,51
2015-03-18,52
2015-03-19,58
2015-03-20,55
2015-03-21,43
2015-03-22,51
2015-03-23,68
2015-03-24,62
2015-03-25,91
2015-03-26,56
2015-03-27,61
2015-03-28,68
2015-03-29,49
2015-03-30,66
2015-03-31,83
2015-04-01,67
2015-04-02,67
2015-04-03,52
2015-04-04,47
2015-04-05,46
2015-04-06,53
2015-04-07,67
2015-04-08,61
2015-04-09,64
2015-04-10,57
2015-04-11,54
2015-04-12,47
2015-04-13,61
2015-04-14,48
2015-04-15,52
2015-04-16,51
2015-04-17,56
2015-04-18,51
2015-04-19,41
2015-04-20,45
2015-04-21,49
2015-04-22,43
2015-04-23,50
2015-04-24,38
2015-04-25,42
2015-04-26,42
2015-04-27,42
2015-04-28,45
2015-04-29,36
2015-04-30,45
2015-05-01,40
2015-05-02,42
2015-05-03,45
2015-05-04,54
2015-05-05,56
2015-05-06,48
2015-05-07,55
2015-05-08,54
2015-05-09,34
2015-05-10,48
2015-05-11,52
2015-05-12,56
2015-05-13,49
2015-05-14,48
2015-05-15,62
2015-05-16,42
2015-05-17,46
2015-05-18,52
2015-05-19,47
2015-05-20,53
2015-05-21,48
2015-05-22,53
2015-05-23,46
2015-05-24,49
2015-05-25,56
2015-05-26,54
2015-05-27,45
2015-05-28,50
2015-05-29,53
2015-05-30,54
2015-05-31,48
2015-06-01,66
2015-06-02,68
2015-06-03,62
2015-06-04,68
2015-06-05,61
2015-06-06,60
2015-06-07,50
2015-06-08,52
2015-06-09,56
2015-06-10,44
2015-06-11,46
2015-06-12,57
2015-06-13,51
2015-06-14,46
2015-06-15,55
2015-06-16,51
2015-06-17,45
2015-06-18,44
2015-06-19,40
2015-06-20,44
2015-06-21,53
2015-06-22,59
2015-06-23,56
2015-06-24,64
2015-06-25,54
2015-06-26,58
2015-06-27,37
2015-06-28,49
2015-06-29,55
2015-06-30,50
2015-07-01,47
2015-07-02,54
2015-07-03,58
2015-07-04,45
2015-07-05,62
2015-07-06,82
2015-07-07,73
2015-07-08,66
2015-07-09,111
2015-07-10,108
2015-07-11,74
2015-07-12,53
2015-07-13,55
2015-07-14,53
2015-07-15,50
2015-07-16,48
2015-07-17,49
2015-07-18,55
2015-07-19,52
2015-07-20,96
2015-07-21,65
2015-07-22,81
2015-07-23,83
2015-07-24,86
2015-07-25,65
2015-07-26,55
2015-07-27,68
2015-07-28,60
2015-07-29,56
2015-07-30,62
2015-07-31,49
2015-08-01,58
2015-08-02,77
2015-08-03,77
2015-08-04,97
2015-08-05,79
2015-08-06,111
2015-08-07,148
2015-08-08,145
2015-08-09,56
2015-08-10,40
2015-08-11,45
2015-08-12,36
2015-08-13,37
2015-08-14,35
2015-08-15,31
2015-08-16,54
2015-08-17,65
2015-08-18,60
2015-08-19,55
2015-08-20,52
2015-08-21,57
2015-08-22,54
2015-08-23,49
2015-08-24,54
2015-08-25,54
2015-08-26,52
2015-08-27,44
2015-08-28,44
2015-08-30,49
2015-08-31,50
2015-09-01,41
2015-09-02,53
2015-09-03,48
2015-09-04,49
2015-09-05,41
2015-09-06,55
2015-09-07,65
2015-09-08,75
2015-09-09,79
2015-09-10,65
2015-09-11,81
2015-09-12,60
2015-09-13,48
2015-09-14,51
2015-09-15,65
2015-09-16,56
2015-09-17,58
2015-09-18,52
2015-09-19,43
2015-09-20,46
2015-09-21,44
2015-09-22,45
2015-09-23,51
2015-09-24,50
2015-09-25,38
2015-09-26,40
2015-09-27,69
2015-09-28,74
2015-09-29,69
2015-09-30,66
2015-10-01,48
2015-10-02,50
2015-10-03,44
2015-10-04,51
2015-10-05,62
2015-10-06,70
2015-10-07,62
2015-10-08,58
2015-10-09,49
2015-10-10,57
2015-10-11,52
2015-10-12,63
2015-10-13,60
2015-10-14,54
2015-10-15,50
2015-10-16,52
2015-10-17,42
2015-10-18,52
2015-10-19,63
2015-10-20,53
2015-10-21,55
2015-10-22,59
2015-10-23,50
2015-10-24,38
2015-10-25,54
2015-10-26,64
2015-10-27,64
2015-10-28,63
2015-10-29,63
2015-10-30,67
2015-10-31,45
2015-11-01,56
2015-11-02,66
2015-11-03,70
2015-11-04,59
2015-11-05,62
2015-11-06,76
2015-11-07,59
2015-11-08,53
2015-11-09,53
2015-11-10,54
2015-11-11,50
2015-11-12,53
2015-11-13,53
2015-11-14,41
2015-11-15,51
2015-11-16,100
2015-11-17,82
2015-11-18,119
2015-11-19,89
2015-11-20,89
2015-11-21,79
2015-11-22,51
2015-11-23,60
2015-11-24,55
2015-11-25,48
2015-11-26,56
2015-11-27,42
2015-11-28,48
2015-11-29,48
2015-11-30,50
2015-12-01,56
2015-12-02,61
2015-12-03,48
2015-12-04,48
2015-12-05,36
2015-12-06,48
2015-12-07,75
2015-12-08,65
2015-12-09,61
2015-12-10,56
2015-12-11,56
2015-12-12,45
2015-12-13,44
2015-12-14,56
2015-12-15,49
2015-12-16,40
2015-12-17,40
2015-12-18,46
2015-12-19,37
2015-12-20,48
2015-12-21,66
2015-12-22,48
2015-12-23,56
2015-12-24,56
2015-12-25,48
2015-12-26,37
2015-12-27,44
2015-12-28,64
2015-12-29,64
2015-12-30,76
2015-12-31,53
2016-01-01,60
2016-01-02,42
2016-01-03,43
2016-01-04,58
2016-01-05,55
2016-01-06,53
2016-01-07,53
2016-01-08,50
2016-01-09,38
2016-01-10,38
2016-01-11,53
2016-01-12,50
2016-01-13,46
2016-01-14,53
2016-01-15,43
2016-01-16,34
2016-01-17,38
2016-01-18,54
2016-01-19,49
2016-01-20,45
2016-01-21,43
2016-01-22,42
2016-01-23,27
2016-01-24,35
2016-01-25,44
2016-01-26,50
2016-01-27,48
2016-01-28,49
2016-01-29,48
2016-01-30,44
2016-01-31,40
2016-02-01,80
2016-02-02,81
2016-02-03,73
2016-02-04,71
2016-02-05,78
2016-02-06,61
2016-02-07,29
2016-02-08,27
2016-02-09,37
2016-02-10,40
2016-02-11,48
2016-02-12,63
2016-02-13,55
2016-02-14,49
2016-02-15,96
2016-02-16,98
2016-02-17,89
2016-02-18,73
2016-02-19,76
2016-02-20,56
2016-02-21,46
2016-02-22,58
2016-02-23,75
2016-02-24,67
2016-02-25,75
2016-02-27,16
2016-02-28,47
2016-02-29,50
2016-03-01,77
2016-03-02,60
2016-03-03,77
2016-03-04,60
2016-03-05,47
2016-03-06,43
2016-03-07,60
2016-03-08,51
2016-03-09,57
2016-03-10,65
2016-03-11,43
2016-03-12,37
2016-03-13,50
2016-03-14,62
2016-03-15,59
2016-03-16,65
2016-03-17,71
2016-03-18,59
2016-03-19,62
2016-03-20,51
2016-03-21,57
2016-03-22,46
2016-03-23,57
2016-03-24,44
2016-03-25,46
2016-03-26,30
2016-03-27,45
2016-03-28,57
2016-03-29,54
2016-03-30,61
2016-03-31,64
2016-04-01,61
2016-04-02,41
2016-04-03,42
2016-04-04,42
2016-04-05,48
2016-04-06,67
2016-04-07,54
2016-04-08,67
2016-04-09,42
2016-04-10,43
2016-04-11,70
2016-04-12,55
2016-04-13,64
2016-04-14,52
2016-04-15,58
2016-04-16,52
2016-04-17,41
2016-04-18,61
2016-04-19,46
2016-04-20,46
2016-04-21,43
2016-04-22,49
2016-04-23,46
2016-04-24,43
2016-04-25,52
2016-04-26,52
2016-04-27,58
2016-04-28,52
2016-04-29,64
2016-04-30,39
2016-05-01,42
2016-05-02,59
2016-05-03,66
2016-05-04,63
2016-05-05,77
2016-05-06,52
2016-05-07,42
2016-05-08,44
2016-05-09,49
2016-05-10,55
2016-05-11,49
2016-05-12,49
2016-05-13,46
2016-05-14,38
2016-05-15,45
2016-05-16,37
2016-05-17,50
2016-05-18,40
2016-05-19,55
2016-05-20,45
2016-05-21,47
2016-05-22,48
2016-05-23,48
2016-05-24,59
2016-05-25,73
2016-05-26,64
2016-05-27,56
2016-05-28,42
2016-05-29,46
2016-05-30,62
2016-05-31,62
2016-06-01,55
2016-06-02,69
2016-06-03,72
2016-06-04,69
2016-06-05,43
2016-06-06,58
2016-06-07,58
2016-06-08,55
2016-06-09,49
2016-06-10,49
2016-06-11,46
2016-06-12,47
2016-06-13,59
2016-06-14,54
2016-06-15,51
2016-06-16,44
2016-06-17,44
2016-06-18,29
2016-06-19,100
2016-06-20,126
2016-06-21,113
2016-06-22,146
2016-06-23,326
2016-06-24,666
2016-06-25,286
2016-06-26,51
2016-06-27,60
2016-06-28,48
2016-06-29,48
2016-06-30,41
2016-07-01,44
2016-07-02,30
2016-07-03,60
2016-07-04,80
2016-07-05,88
2016-07-06,116
2016-07-07,172
2016-07-08,112
2016-07-09,60
2016-07-10,45
2016-07-11,63
2016-07-12,45
2016-07-13,57
2016-07-14,48
2016-07-15,48
2016-07-16,60
2016-07-17,42
2016-07-18,60
2016-07-19,51
2016-07-20,54
2016-07-21,48
2016-07-22,45
2016-07-23,36
2016-07-24,43
2016-07-25,57
2016-07-26,51
2016-07-27,54
2016-07-28,45
2016-07-29,54
2016-07-30,40
2016-07-31,50
2016-08-01,69
2016-08-02,52
2016-08-03,52
2016-08-04,55
2016-08-05,50
2016-08-06,33
2016-08-07,39
2016-08-08,41
2016-08-09,47
2016-08-10,36
2016-08-11,44
2016-08-12,47
2016-08-13,41
2016-08-14,42
2016-08-15,52
2016-08-16,63
2016-08-17,59
2016-08-18,56
2016-08-19,56
2016-08-20,45
2016-08-21,46
2016-08-22,92
2016-08-23,72
2016-08-24,65
2016-08-26,191
2016-08-27,187
2016-08-28,43
2016-08-29,43
2016-08-30,39
2016-08-31,55
2016-09-01,45
2016-09-02,42
2016-09-03,42
2016-09-04,44
2016-09-05,59
2016-09-06,51
2016-09-07,52
2016-09-08,56
2016-09-09,62
2016-09-10,64
2016-09-11,55
2016-09-12,79
2016-09-13,101
2016-09-14,88
2016-09-15,49
2016-09-16,69
2016-09-17,71
2016-09-18,48
2016-09-19,51
2016-09-20,44
2016-09-21,46
2016-09-22,49
2016-09-23,41
2016-09-24,38
2016-09-25,60
2016-09-26,125
2016-09-27,127
2016-09-28,88
2016-09-29,62
2016-09-30,65
2016-10-01,63
2016-10-02,52
2016-10-03,62
2016-10-04,60
2016-10-05,68
2016-10-06,68
2016-10-07,60
2016-10-08,55
2016-10-09,46
2016-10-10,36
2016-10-11,51
2016-10-12,57
2016-10-13,54
2016-10-14,53
2016-10-15,52
2016-10-16,51
2016-10-17,60
2016-10-18,79
2016-10-19,78
2016-10-20,91
2016-10-21,88
2016-10-22,48
2016-10-23,49
2016-10-24,56
2016-10-25,47
2016-10-26,56
2016-10-27,57
2016-10-28,63
2016-10-29,45
2016-10-30,46
2016-10-31,31
2016-11-01,56
2016-11-02,53
2016-11-03,53
2016-11-04,44
2016-11-05,45
2016-11-06,44
2016-11-07,48
2016-11-08,38
2016-11-09,41
2016-11-10,38
2016-11-11,41
2016-11-12,32
2016-11-13,44
2016-11-14,51
2016-11-15,47
2016-11-16,53
2016-11-17,40
2016-11-18,50
2016-11-19,37
2016-11-20,54
2016-11-21,87
2016-11-22,110
2016-11-23,97
2016-11-24,73
2016-11-25,79
2016-11-26,59
2016-11-27,44
2016-11-28,48
2016-11-29,59
