Date,Volume
2015-03-15,48
2015-03-16,0
2015-03-17,0
2015-03-18,41
2015-03-19,82
2015-03-20,0
2015-03-21,0
2015-03-22,43
2015-03-23,0
2015-03-24,37
2015-03-25,55
2015-03-26,44
2015-03-27,39
2015-03-28,0
2015-04-05,49
2015-04-06,42
2015-04-07,38
2015-04-08,0
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,85
2015-04-13,47
2015-04-14,0
2015-04-15,47
2015-04-16,47
2015-04-17,48
2015-04-18,0
2015-04-26,57
2015-04-27,0
2015-04-28,23
2015-04-29,0
2015-04-30,33
2015-05-01,0
2015-05-02,0
2015-05-03,32
2015-05-04,0
2015-05-05,0
2015-05-06,27
2015-05-07,27
2015-05-08,0
2015-05-09,0
2015-05-24,40
2015-05-25,0
2015-05-26,21
2015-05-27,21
2015-05-28,22
2015-05-29,0
2015-05-30,0
2015-06-14,84
2015-06-15,69
2015-06-16,69
2015-06-17,71
2015-06-18,119
2015-06-19,73
2015-06-20,86
2015-06-21,65
2015-06-22,0
2015-06-23,55
2015-06-24,55
2015-06-25,55
2015-06-26,0
2015-06-27,66
2015-07-05,24
2015-07-06,0
2015-07-07,0
2015-07-08,19
2015-07-09,19
2015-07-10,0
2015-07-11,0
2015-07-26,40
2015-07-27,0
2015-07-28,32
2015-07-29,32
2015-07-30,0
2015-07-31,34
2015-08-01,0
2015-08-23,59
2015-08-24,0
2015-08-25,49
2015-08-26,0
2015-08-27,49
2015-08-28,0
2015-08-30,78
2015-08-31,97
2015-09-01,0
2015-09-02,66
2015-09-03,0
2015-09-04,69
2015-09-05,0
2015-09-06,54
2015-09-07,48
2015-09-08,45
2015-09-09,90
2015-09-10,0
2015-09-11,47
2015-09-12,52
2015-09-13,53
2015-09-14,0
2015-09-15,0
2015-09-16,46
2015-09-17,46
2015-09-18,0
2015-09-19,0
2015-10-11,22
2015-10-12,0
2015-10-13,18
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-11-29,51
2015-11-30,21
2015-12-01,44
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-13,68
2015-12-14,0
2015-12-15,151
2015-12-16,0
2015-12-17,61
2015-12-18,0
2015-12-19,74
2015-12-20,42
2015-12-21,24
2015-12-22,0
2015-12-23,26
2015-12-24,0
2015-12-25,0
2015-12-26,0
2016-01-10,23
2016-01-11,0
2016-01-12,0
2016-01-13,20
2016-01-14,0
2016-01-15,0
2016-01-16,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-06-26,32
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,32
2016-07-24,25
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,44
2016-07-30,0
2016-08-21,51
2016-08-22,0
2016-08-23,0
2016-08-24,42
2016-08-26,0
2016-08-27,0
2016-09-04,25
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-25,24
2016-09-26,0
2016-09-27,0
2016-09-28,0
2016-09-29,0
2016-09-30,0
2016-10-01,0
2016-12-04,22
2016-12-05,0
2016-12-06,19
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-10,0
2016-12-18,24
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-24,0
2017-01-01,70
2017-01-02,117
2017-01-03,56
2017-01-04,56
2017-01-05,0
2017-01-06,0
2017-01-07,62
2017-01-08,66
2017-01-09,38
2017-01-10,37
2017-01-11,0
2017-01-12,0
2017-01-13,59
2017-01-14,44
2017-01-15,65
2017-01-16,0
2017-01-17,0
2017-01-18,28
2017-01-19,28
2017-01-20,0
2017-01-21,32
2017-01-22,58
2017-01-23,50
2017-01-24,0
2017-01-25,76
2017-01-26,0
2017-01-27,0
2017-01-28,59
2017-01-29,43
2017-01-30,37
2017-01-31,0
2017-02-01,36
2017-02-02,0
2017-02-03,38
2017-02-04,0
2017-02-05,65
2017-02-06,0
2017-02-07,0
2017-02-08,58
2017-02-09,58
2017-02-10,61
2017-02-11,0
2017-02-12,57
2017-02-13,0
2017-02-14,0
2017-02-15,75
2017-02-16,49
2017-02-17,49
2017-02-18,142
2017-02-19,64
2017-02-20,0
2017-02-21,56
2017-02-23,0
2017-02-24,0
2017-02-25,78
2017-02-26,35
2017-02-27,15
2017-02-28,15
2017-03-01,14
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,21
2017-03-06,0
2017-03-07,35
2017-03-08,18
2017-03-09,0
2017-03-10,19
2017-03-11,21
2017-03-12,21
2017-03-13,0
2017-03-14,38
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-18,22
2017-03-19,86
2017-03-20,77
2017-03-21,152
2017-03-22,75
2017-03-23,116
2017-03-24,78
2017-03-25,179
