Date,Volume
2015-03-01,12
2015-03-02,6
2015-03-03,12
2015-03-04,15
2015-03-05,9
2015-03-06,12
2015-03-07,18
2015-03-08,14
2015-03-09,11
2015-03-10,11
2015-03-11,7
2015-03-12,11
2015-03-13,11
2015-03-14,9
2015-03-15,11
2015-03-16,8
2015-03-17,8
2015-03-18,8
2015-03-19,8
2015-03-20,8
2015-03-21,11
2015-03-22,18
2015-03-23,10
2015-03-24,21
2015-03-25,43
2015-03-26,25
2015-03-27,10
2015-03-28,32
2015-03-29,14
2015-03-30,5
2015-03-31,5
2015-04-01,14
2015-04-02,5
2015-04-03,14
2015-04-04,16
2015-04-05,14
2015-04-06,19
2015-04-07,8
2015-04-08,11
2015-04-09,11
2015-04-10,11
2015-04-11,14
2015-04-12,11
2015-04-13,8
2015-04-14,6
2015-04-15,6
2015-04-16,6
2015-04-17,4
2015-04-18,11
2015-04-19,11
2015-04-20,8
2015-04-21,8
2015-04-22,11
2015-04-23,13
2015-04-24,11
2015-04-25,13
2015-04-26,16
2015-04-27,5
2015-04-28,8
2015-04-29,10
2015-04-30,13
2015-05-01,16
2015-05-02,18
2015-05-03,15
2015-05-04,8
2015-05-05,6
2015-05-06,8
2015-05-07,6
2015-05-08,10
2015-05-09,8
2015-05-10,14
2015-05-11,10
2015-05-12,10
2015-05-13,28
2015-05-14,14
2015-05-15,17
2015-05-16,14
2015-05-17,13
2015-05-18,13
2015-05-19,9
2015-05-20,9
2015-05-21,13
2015-05-22,13
2015-05-23,13
2015-05-24,15
2015-05-25,10
2015-05-26,10
2015-05-27,10
2015-05-28,15
2015-05-29,8
2015-05-30,12
2015-05-31,14
2015-06-01,9
2015-06-02,7
2015-06-03,9
2015-06-04,11
2015-06-05,9
2015-06-06,11
2015-06-07,13
2015-06-08,9
2015-06-09,16
2015-06-10,19
2015-06-11,19
2015-06-12,13
2015-06-13,13
2015-06-14,20
2015-06-15,13
2015-06-16,10
2015-06-17,20
2015-06-18,40
2015-06-19,23
2015-06-20,20
2015-06-21,15
2015-06-22,7
2015-06-23,7
2015-06-24,9
2015-06-25,5
2015-06-26,5
2015-06-27,9
2015-06-28,13
2015-06-29,7
2015-06-30,5
2015-07-01,7
2015-07-02,7
2015-07-03,9
2015-07-04,11
2015-07-05,14
2015-07-06,8
2015-07-07,8
2015-07-08,14
2015-07-09,5
2015-07-10,11
2015-07-11,19
2015-07-12,12
2015-07-13,6
2015-07-14,8
2015-07-15,4
2015-07-16,10
2015-07-17,6
2015-07-18,6
2015-07-19,16
2015-07-20,9
2015-07-21,16
2015-07-22,16
2015-07-23,16
2015-07-24,16
2015-07-25,16
2015-07-26,19
2015-07-27,33
2015-07-28,28
2015-07-29,28
2015-07-30,19
2015-07-31,42
2015-08-01,38
2015-08-02,25
2015-08-03,13
2015-08-04,8
2015-08-05,10
2015-08-06,10
2015-08-07,7
2015-08-08,10
2015-08-09,100
2015-08-10,62
2015-08-11,29
2015-08-12,17
2015-08-13,10
2015-08-14,9
2015-08-15,9
2015-08-16,29
2015-08-17,16
2015-08-18,14
2015-08-19,14
2015-08-20,16
2015-08-21,20
2015-08-22,26
2015-08-23,23
2015-08-24,13
2015-08-25,25
2015-08-26,18
2015-08-27,13
2015-08-28,16
2015-08-30,24
