Date,Volume
2015-03-01,29
2015-03-02,51
2015-03-03,0
2015-03-04,0
2015-03-05,34
2015-03-06,40
2015-03-07,30
2015-03-08,39
2015-03-09,51
2015-03-10,28
2015-03-11,22
2015-03-12,22
2015-03-13,46
2015-03-14,26
2015-03-29,41
2015-03-30,11
2015-03-31,22
2015-04-01,11
2015-04-02,11
2015-04-03,25
2015-04-04,13
2015-04-26,43
2015-04-27,11
2015-04-28,11
2015-04-29,10
2015-04-30,22
2015-05-01,0
2015-05-02,13
2015-05-03,40
2015-05-04,67
2015-05-05,34
2015-05-06,22
2015-05-07,22
2015-05-08,23
2015-05-09,27
2015-05-10,26
2015-05-11,21
2015-05-12,20
2015-05-13,21
2015-05-14,21
2015-05-15,22
2015-05-16,25
2015-06-07,23
2015-06-08,18
2015-06-09,37
2015-06-10,19
2015-06-11,19
2015-06-12,19
2015-06-13,23
2015-06-14,36
2015-06-15,19
2015-06-16,14
2015-06-17,10
2015-06-18,15
2015-06-19,10
2015-06-20,24
2015-06-21,40
2015-06-22,16
2015-06-23,32
2015-06-24,33
2015-06-25,0
2015-06-26,23
2015-06-27,20
2015-06-28,23
2015-06-29,19
2015-06-30,25
2015-07-01,0
2015-07-02,38
2015-07-03,20
2015-07-04,0
2015-07-05,36
2015-07-06,58
2015-07-07,0
2015-07-08,29
2015-07-09,29
2015-07-10,31
2015-07-11,59
2015-07-12,37
2015-07-13,8
2015-07-14,8
2015-07-15,8
2015-07-16,0
2015-07-17,9
2015-07-18,11
2015-07-19,44
2015-07-20,35
2015-07-21,34
2015-07-22,34
2015-07-23,34
2015-07-24,0
2015-07-25,61
2015-07-26,23
2015-07-27,0
2015-07-28,19
2015-07-29,19
2015-07-30,19
2015-07-31,30
2015-08-01,23
2015-08-02,40
2015-08-03,0
2015-08-04,64
2015-08-05,77
2015-08-06,33
2015-08-07,34
2015-08-08,59
2015-08-09,29
2015-08-10,24
2015-08-11,0
2015-08-12,24
2015-08-13,0
2015-08-14,38
2015-08-15,30
2015-08-23,45
2015-08-24,76
2015-08-25,56
2015-08-26,58
2015-08-27,38
2015-08-28,41
2015-08-30,41
2015-08-31,19
2015-09-01,22
2015-09-02,29
2015-09-03,0
2015-09-04,15
2015-09-05,17
2015-09-06,44
2015-09-07,38
2015-09-08,54
2015-09-09,54
2015-09-10,55
2015-09-11,57
2015-09-12,0
2015-09-13,43
2015-09-14,36
2015-09-15,0
2015-09-16,36
2015-09-17,0
2015-09-18,37
2015-09-19,44
