Date,Volume
2015-04-12,75
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,38
2015-04-17,0
2015-04-18,66
2015-04-19,74
2015-04-20,64
2015-04-21,64
2015-04-22,64
2015-04-23,194
2015-04-24,200
2015-04-25,0
2015-04-26,75
2015-04-27,62
2015-04-28,125
2015-04-29,0
2015-04-30,0
2015-05-01,0
2015-05-02,156
2015-05-10,50
2015-05-11,41
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,42
2015-05-16,0
2015-06-21,37
2015-06-22,31
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-08-02,37
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2016-01-03,0
2016-01-04,0
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,0
2016-04-24,0
2016-04-25,0
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-09-04,38
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-10-09,37
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,0
2016-10-14,0
2016-10-15,0
2017-03-19,32
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,0
