Date,Volume
2015-03-01,66
2015-03-02,37
2015-03-03,42
2015-03-04,29
2015-03-05,29
2015-03-06,30
2015-03-07,17
2015-03-08,66
2015-03-09,55
2015-03-10,55
2015-03-11,55
2015-03-12,85
2015-03-13,68
2015-03-14,32
2015-03-15,48
2015-03-16,0
2015-03-17,21
2015-03-18,21
2015-03-19,41
2015-03-20,31
2015-03-21,81
2015-03-22,72
2015-03-23,67
2015-03-24,53
2015-03-25,39
2015-03-26,73
2015-03-27,37
2015-03-28,33
2015-03-29,81
2015-03-30,195
2015-03-31,174
2015-04-01,156
2015-04-02,117
2015-04-03,147
2015-04-04,120
2015-04-05,40
2015-04-06,28
2015-04-07,31
2015-04-08,21
2015-04-09,40
2015-04-10,28
2015-04-11,45
2015-04-12,54
2015-04-13,23
2015-04-14,33
2015-04-15,34
2015-04-16,23
2015-04-17,36
2015-04-18,63
2015-04-19,87
2015-04-20,58
2015-04-21,89
2015-04-22,28
2015-04-23,100
2015-04-24,61
2015-04-25,104
2015-04-26,83
2015-04-27,61
2015-04-28,69
2015-04-29,87
2015-04-30,41
2015-05-01,89
2015-05-02,63
2015-05-03,67
2015-05-04,56
2015-05-05,101
2015-05-06,101
2015-05-07,68
2015-05-08,59
2015-05-09,54
2015-05-10,69
2015-05-11,37
2015-05-12,49
2015-05-13,37
2015-05-14,32
2015-05-15,53
2015-05-16,55
2015-05-17,64
2015-05-18,96
2015-05-19,72
2015-05-20,84
2015-05-21,111
2015-05-22,38
2015-05-23,65
2015-05-24,67
2015-05-25,22
2015-05-26,63
2015-05-27,64
2015-05-28,65
2015-05-29,69
2015-05-30,61
2015-05-31,82
2015-06-01,108
2015-06-02,68
2015-06-03,123
2015-06-04,85
2015-06-05,116
2015-06-06,116
2015-06-07,72
2015-06-08,50
2015-06-09,37
2015-06-10,37
2015-06-11,34
2015-06-12,81
2015-06-13,72
2015-06-14,61
2015-06-15,65
2015-06-16,54
2015-06-17,67
2015-06-18,51
2015-06-19,71
2015-06-20,54
2015-06-21,76
2015-06-22,157
2015-06-23,84
2015-06-24,64
2015-06-25,160
2015-06-26,131
2015-06-27,204
2015-06-28,56
2015-06-29,28
2015-06-30,28
2015-07-01,31
2015-07-02,37
2015-07-03,40
2015-07-04,46
2015-07-05,67
2015-07-06,72
2015-07-07,53
2015-07-08,72
2015-07-09,98
2015-07-10,38
2015-07-11,154
2015-07-12,55
2015-07-13,20
2015-07-14,40
2015-07-15,15
2015-07-16,31
2015-07-17,33
2015-07-18,29
2015-07-19,53
2015-07-20,37
2015-07-21,17
2015-07-22,17
2015-07-23,61
2015-07-24,46
2015-07-25,31
2015-07-26,65
2015-07-27,55
2015-07-28,90
2015-07-29,135
2015-07-30,90
2015-07-31,142
2015-08-01,195
2015-08-02,35
2015-08-03,22
2015-08-04,14
2015-08-05,44
2015-08-06,29
2015-08-07,30
2015-08-08,23
2015-08-09,35
2015-08-10,0
2015-08-11,24
2015-08-12,12
2015-08-13,16
2015-08-14,21
2015-08-15,14
2015-08-16,51
2015-08-17,14
2015-08-18,13
2015-08-19,14
2015-08-20,19
2015-08-21,29
2015-08-22,28
2015-08-23,54
2015-08-24,66
2015-08-25,69
2015-08-26,60
2015-08-27,69
2015-08-28,129
2015-08-30,49
2015-08-31,21
2015-09-01,20
2015-09-02,15
2015-09-03,10
2015-09-04,22
2015-09-05,12
2015-09-06,37
2015-09-07,29
2015-09-08,18
2015-09-09,62
2015-09-10,18
2015-09-11,20
2015-09-12,44
2015-09-13,51
2015-09-14,85
2015-09-15,42
2015-09-16,85
2015-09-17,42
2015-09-18,136
2015-09-19,136
2015-09-20,49
2015-09-21,36
2015-09-22,18
2015-09-23,36
2015-09-24,18
2015-09-25,38
2015-09-26,32
2015-09-27,50
2015-09-28,26
2015-09-29,35
2015-09-30,30
2015-10-01,35
2015-10-02,37
2015-10-03,21
2015-10-04,38
2015-10-05,27
2015-10-06,15
2015-10-07,13
2015-10-08,0
2015-10-09,19
2015-10-10,0
2015-10-11,57
2015-10-12,59
2015-10-13,45
2015-10-14,71
2015-10-15,37
2015-10-16,28
2015-10-17,111
2015-10-18,66
2015-10-19,28
2015-10-20,74
2015-10-21,57
2015-10-22,57
2015-10-23,120
2015-10-24,48
2015-10-25,67
2015-10-26,39
2015-10-27,19
2015-10-28,33
2015-10-29,0
2015-10-30,47
2015-10-31,39
2015-11-01,70
2015-11-02,35
2015-11-03,27
2015-11-04,34
2015-11-05,17
2015-11-06,24
2015-11-07,34
2015-11-08,88
2015-11-09,72
2015-11-10,99
2015-11-11,65
2015-11-12,76
2015-11-13,65
2015-11-14,382
2015-11-15,51
2015-11-16,92
2015-11-17,60
2015-11-18,92
2015-11-19,60
2015-11-20,111
2015-11-21,213
2015-11-22,46
2015-11-23,40
2015-11-24,25
2015-11-25,13
2015-11-26,13
2015-11-27,28
2015-11-28,52
2015-11-29,63
2015-11-30,25
2015-12-01,35
2015-12-02,63
2015-12-03,27
2015-12-04,38
2015-12-05,37
2015-12-06,69
2015-12-07,33
2015-12-08,51
2015-12-09,44
2015-12-10,51
2015-12-11,22
2015-12-12,35
2015-12-13,54
2015-12-14,41
2015-12-15,51
2015-12-16,0
2015-12-17,29
2015-12-18,68
2015-12-19,93
2015-12-20,60
2015-12-21,52
2015-12-22,27
2015-12-23,102
2015-12-24,47
2015-12-25,35
2015-12-26,52
2015-12-27,58
2015-12-28,80
2015-12-29,80
2015-12-30,70
2015-12-31,51
2016-01-01,67
2016-01-02,0
2016-01-03,46
2016-01-04,40
2016-01-05,21
2016-01-06,21
2016-01-07,40
2016-01-08,21
2016-01-09,46
2016-01-10,28
2016-01-11,35
2016-01-12,23
2016-01-13,25
2016-01-14,49
2016-01-15,25
2016-01-16,28
2016-01-17,41
