Date,Volume
2015-03-01,6
2015-03-02,0
2015-03-03,0
2015-03-04,5
2015-03-05,5
2015-03-06,0
2015-03-07,0
2015-04-12,7
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-06-07,7
2015-06-08,0
2015-06-09,0
2015-06-10,0
2015-06-11,5
2015-06-12,0
2015-06-13,0
2015-07-12,10
2015-07-13,0
2015-07-14,0
2015-07-15,8
2015-07-16,0
2015-07-17,8
2015-07-18,0
2015-08-02,7
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,7
2015-08-09,6
2015-08-10,0
2015-08-11,4
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,5
2015-08-23,19
2015-08-24,12
2015-08-25,6
2015-08-26,6
2015-08-27,0
2015-08-28,0
2015-08-30,8
2015-08-31,6
2015-09-01,0
2015-09-02,0
2015-09-03,6
2015-09-04,0
2015-09-05,0
2015-10-04,10
2015-10-05,0
2015-10-06,0
2015-10-07,4
2015-10-08,4
2015-10-09,0
2015-10-10,0
2015-10-11,14
2015-10-12,12
2015-10-13,0
2015-10-14,0
2015-10-15,12
2015-10-16,12
2015-10-17,14
2015-10-18,12
2015-10-19,10
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,12
2015-10-25,10
2015-10-26,8
2015-10-27,8
2015-10-28,0
2015-10-29,17
2015-10-30,0
2015-10-31,0
2015-11-01,12
2015-11-02,10
2015-11-03,0
2015-11-04,9
2015-11-05,0
2015-11-06,10
2015-11-07,11
2015-11-08,20
2015-11-09,8
2015-11-10,8
2015-11-11,8
2015-11-12,0
2015-11-13,9
2015-11-14,0
2015-12-06,14
2015-12-07,5
2015-12-08,0
2015-12-09,5
2015-12-10,6
2015-12-11,0
2015-12-12,0
2015-12-13,29
2015-12-14,37
2015-12-15,25
2015-12-16,53
2015-12-17,26
2015-12-18,0
2015-12-19,31
2015-12-20,11
2015-12-21,0
2015-12-22,9
2015-12-23,10
2015-12-24,11
2015-12-25,12
2015-12-26,11
2015-12-27,9
2015-12-28,7
2015-12-29,7
2015-12-30,8
2015-12-31,0
2016-01-01,0
2016-01-02,9
2016-01-17,13
2016-01-18,11
2016-01-19,11
2016-01-20,0
2016-01-21,0
2016-01-22,11
2016-01-23,0
2016-01-24,13
2016-01-25,11
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-02-14,9
2016-02-15,8
2016-02-16,15
2016-02-17,0
2016-02-18,7
2016-02-19,0
2016-02-20,9
2016-02-21,9
2016-02-22,0
2016-02-23,0
