Date,Volume
2015-03-29,35
2015-03-30,0
2015-03-31,0
2015-04-01,29
2015-04-02,0
2015-04-03,32
2015-04-04,35
2015-04-19,45
2015-04-20,37
2015-04-21,0
2015-04-22,56
2015-04-23,39
2015-04-24,40
2015-04-25,0
2015-05-10,68
2015-05-11,0
2015-05-12,0
2015-05-13,37
2015-05-14,38
2015-05-15,39
2015-05-16,44
2015-06-14,45
2015-06-15,0
2015-06-16,24
2015-06-17,24
2015-06-18,0
2015-06-19,26
2015-06-20,30
2015-07-05,38
2015-07-06,20
2015-07-07,0
2015-07-08,20
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-08-02,23
2015-08-03,57
2015-08-04,0
2015-08-05,0
2015-08-06,19
2015-08-07,0
2015-08-08,0
2015-08-16,22
2015-08-17,0
2015-08-18,18
2015-08-19,18
2015-08-20,18
2015-08-21,0
2015-08-22,0
2015-08-23,37
2015-08-24,0
2015-08-25,0
2015-08-26,31
2015-08-27,31
2015-08-28,33
2015-08-30,33
2015-08-31,27
2015-09-01,27
2015-09-02,0
2015-09-03,27
2015-09-04,0
2015-09-05,0
2015-09-06,36
2015-09-07,31
2015-09-08,30
2015-09-09,30
2015-09-10,45
2015-09-11,0
2015-09-12,0
2015-09-13,72
2015-09-14,0
2015-09-15,62
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,76
2015-10-11,35
2015-10-12,30
2015-10-13,29
2015-10-14,0
2015-10-15,29
2015-10-16,0
2015-10-17,0
2015-11-08,42
2015-11-09,0
2015-11-10,36
2015-11-11,0
2015-11-12,0
2015-11-13,0
2015-11-14,0
2015-11-15,35
2015-11-16,46
2015-11-17,0
2015-11-18,61
2015-11-19,0
2015-11-20,32
2015-11-21,0
2015-12-13,29
2015-12-14,37
2015-12-15,26
2015-12-16,25
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,63
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,66
2015-12-25,71
2015-12-26,66
2016-01-10,54
2016-01-11,0
2016-01-12,46
2016-01-13,0
2016-01-14,0
2016-01-15,49
2016-01-16,0
2016-02-07,22
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,9
2016-02-13,0
2016-02-21,43
2016-02-22,37
2016-02-23,75
2016-02-24,38
2016-02-25,38
2016-02-27,0
2016-02-28,43
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,77
2016-03-04,0
2016-03-05,43
2016-03-06,36
2016-03-07,32
2016-03-08,47
2016-03-09,32
2016-03-10,32
2016-03-11,33
2016-03-12,0
2016-03-13,22
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,20
2016-03-19,22
2016-04-10,65
2016-04-11,58
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-24,29
2016-04-25,0
2016-04-26,0
2016-04-27,25
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-06-19,45
2016-06-20,38
2016-06-21,38
2016-06-22,0
2016-06-23,60
2016-06-24,0
2016-06-25,0
2016-06-26,30
2016-06-27,37
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,27
2016-07-02,0
2016-07-17,55
2016-07-18,47
2016-07-19,46
2016-07-20,0
2016-07-21,47
2016-07-22,0
2016-07-23,0
2016-07-31,36
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,31
2016-08-05,33
2016-08-06,0
2016-08-21,24
2016-08-22,20
2016-08-23,0
2016-08-24,0
2016-08-26,12
2016-08-27,0
2016-09-25,45
2016-09-26,0
2016-09-27,37
2016-09-28,39
2016-09-29,76
2016-09-30,40
2016-10-01,0
2016-10-02,30
2016-10-03,0
2016-10-04,26
2016-10-05,0
2016-10-06,0
2016-10-07,28
2016-10-08,0
2016-10-16,30
2016-10-17,26
2016-10-18,26
2016-10-19,0
2016-10-20,26
2016-10-21,0
2016-10-22,0
2016-11-06,58
2016-11-07,50
2016-11-08,0
2016-11-09,69
2016-11-10,100
2016-11-11,54
2016-11-12,0
2016-11-27,63
2016-11-28,92
2016-11-29,225
2016-11-30,56
2016-12-01,56
2016-12-02,58
2016-12-03,65
2016-12-11,49
2016-12-12,43
2016-12-13,0
2016-12-14,43
2016-12-15,0
2016-12-16,0
2016-12-17,0
2017-01-01,44
2017-01-02,0
2017-01-03,53
2017-01-04,34
2017-01-05,35
2017-01-06,35
2017-01-07,0
2017-01-08,20
2017-01-09,0
2017-01-10,17
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-14,0
2017-01-15,61
2017-01-16,54
2017-01-17,54
2017-01-18,54
2017-01-19,0
2017-01-20,56
2017-01-21,0
2017-02-05,61
2017-02-06,54
2017-02-07,54
2017-02-08,54
2017-02-09,0
2017-02-10,0
2017-02-11,63
2017-02-12,40
2017-02-13,69
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,81
2017-02-19,27
2017-02-20,0
2017-02-21,34
2017-02-23,0
2017-02-24,0
2017-02-25,0
2017-02-26,40
2017-02-27,0
2017-02-28,0
2017-03-01,34
2017-03-02,34
2017-03-03,0
2017-03-04,0
2017-03-05,46
2017-03-06,39
2017-03-07,39
2017-03-08,40
2017-03-09,40
2017-03-10,0
2017-03-11,0
2017-03-19,47
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,28
2017-03-24,28
2017-03-25,32
