Date,Volume
2015-03-01,16
2015-03-02,14
2015-03-03,0
2015-03-04,0
2015-03-05,0
2015-03-06,0
2015-03-07,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-05-03,17
2015-05-04,0
2015-05-05,14
2015-05-06,14
2015-05-07,14
2015-05-08,0
2015-05-09,0
2015-06-21,38
2015-06-22,63
2015-06-23,31
2015-06-24,32
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-07-05,17
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-09-20,16
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,14
2015-09-26,0
2015-11-01,15
2015-11-02,0
2015-11-03,0
2015-11-04,12
2015-11-05,12
2015-11-06,0
2015-11-07,0
2015-12-06,20
2015-12-07,0
2015-12-08,0
2015-12-09,0
2015-12-10,17
2015-12-11,17
2015-12-12,20
2016-02-14,16
2016-02-15,0
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,16
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-06-12,16
2016-06-13,0
2016-06-14,0
2016-06-15,14
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-08-07,18
2016-08-08,0
2016-08-09,15
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-13,0
2016-09-11,39
2016-09-12,34
2016-09-13,33
2016-09-14,33
2016-09-15,33
2016-09-16,0
2016-09-17,0
2016-10-09,49
2016-10-10,0
2016-10-11,42
2016-10-12,87
2016-10-13,65
2016-10-14,0
2016-10-15,0
2016-10-30,16
2016-10-31,14
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,14
2016-11-05,0
2016-11-13,16
2016-11-14,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-19,0
2017-01-22,15
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,15
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,13
2017-02-03,13
2017-02-04,0
