Date,Volume
2015-03-01,4
2015-03-02,7
2015-03-03,7
2015-03-04,5
2015-03-05,3
2015-03-06,6
2015-03-07,4
2015-03-08,9
2015-03-09,8
2015-03-10,5
2015-03-11,5
2015-03-12,4
2015-03-13,4
2015-03-14,6
2015-03-15,5
2015-03-16,5
2015-03-17,2
2015-03-18,5
2015-03-19,5
2015-03-20,3
2015-03-21,6
2015-03-22,5
2015-03-23,3
2015-03-24,4
2015-03-25,7
2015-03-26,5
2015-03-27,2
2015-03-28,6
2015-03-29,6
2015-03-30,11
2015-03-31,9
2015-04-01,5
2015-04-02,12
2015-04-03,5
2015-04-04,23
2015-04-05,10
2015-04-06,9
2015-04-07,5
2015-04-08,8
2015-04-09,5
2015-04-10,3
2015-04-11,14
2015-04-12,11
2015-04-13,16
2015-04-14,26
2015-04-15,16
2015-04-16,10
2015-04-17,19
2015-04-18,12
2015-04-19,8
2015-04-20,3
2015-04-21,5
2015-04-22,4
2015-04-23,2
2015-04-24,3
2015-04-25,3
2015-04-26,8
2015-04-27,2
2015-04-28,2
2015-04-29,4
2015-04-30,6
2015-05-01,4
2015-05-02,6
2015-05-03,8
2015-05-04,13
2015-05-05,12
2015-05-06,5
2015-05-07,6
2015-05-08,8
2015-05-09,14
2015-05-10,14
2015-05-11,9
2015-05-12,12
2015-05-13,14
2015-05-14,11
2015-05-15,6
2015-05-16,19
2015-05-17,9
2015-05-18,5
2015-05-19,4
2015-05-20,5
2015-05-21,8
2015-05-22,11
2015-05-23,7
2015-05-24,7
2015-05-25,8
2015-05-26,7
2015-05-27,7
2015-05-28,2
2015-05-29,5
2015-05-30,6
2015-05-31,10
2015-06-01,7
2015-06-02,13
2015-06-03,11
2015-06-04,14
2015-06-05,8
2015-06-06,6
2015-06-07,7
2015-06-08,14
2015-06-09,17
2015-06-10,14
2015-06-11,16
2015-06-12,10
2015-06-13,10
2015-06-14,4
2015-06-15,3
2015-06-16,3
2015-06-17,2
2015-06-18,3
2015-06-19,5
2015-06-20,12
2015-06-21,9
2015-06-22,7
2015-06-23,7
2015-06-24,0
2015-06-25,6
2015-06-26,5
2015-06-27,3
2015-06-28,11
2015-06-29,25
2015-06-30,13
2015-07-01,4
2015-07-02,12
2015-07-03,18
2015-07-04,14
2015-07-05,10
2015-07-06,5
2015-07-07,8
2015-07-08,8
2015-07-09,4
2015-07-10,3
2015-07-11,8
2015-07-12,9
2015-07-13,9
2015-07-14,15
2015-07-15,18
2015-07-16,5
2015-07-17,14
2015-07-18,15
2015-07-19,6
2015-07-20,2
2015-07-21,4
2015-07-22,2
2015-07-23,4
2015-07-24,2
2015-07-25,2
2015-07-26,12
2015-07-27,8
2015-07-28,6
2015-07-29,8
2015-07-30,10
2015-07-31,15
2015-08-01,12
2015-08-02,4
2015-08-03,4
2015-08-04,3
2015-08-05,3
2015-08-06,3
2015-08-07,4
2015-08-08,4
2015-08-09,11
2015-08-10,28
2015-08-11,15
2015-08-12,31
2015-08-13,19
2015-08-14,16
2015-08-15,41
2015-08-16,11
2015-08-17,6
2015-08-18,9
2015-08-19,5
2015-08-20,6
2015-08-21,17
2015-08-22,8
2015-08-23,12
2015-08-24,8
2015-08-25,13
2015-08-26,7
2015-08-27,8
2015-08-28,8
2015-08-30,14
2015-08-31,23
2015-09-01,17
2015-09-02,21
2015-09-03,21
2015-09-04,27
2015-09-05,48
2015-09-06,19
2015-09-07,48
2015-09-08,33
2015-09-09,26
2015-09-10,24
2015-09-11,11
2015-09-12,12
2015-09-13,17
2015-09-14,14
2015-09-15,16
2015-09-16,16
2015-09-17,14
2015-09-18,9
2015-09-19,13
2015-09-20,18
2015-09-21,14
2015-09-22,20
2015-09-23,13
2015-09-24,26
2015-09-25,23
2015-09-26,28
2015-09-27,12
2015-09-28,6
2015-09-29,8
2015-09-30,6
2015-10-01,6
2015-10-02,5
2015-10-03,8
2015-10-04,19
2015-10-05,17
2015-10-06,21
2015-10-07,8
2015-10-08,21
2015-10-09,9
2015-10-10,30
2015-10-11,16
2015-10-12,18
2015-10-13,15
2015-10-14,11
2015-10-15,12
2015-10-16,9
2015-10-17,14
2015-10-18,15
2015-10-19,7
2015-10-20,8
2015-10-21,4
